RouteID,RouteType,URLPath,QueryKey,AliasKey,ParentRoute,EntrySource,NavigationSource,AuthorizedRoles,GuardCondition,RenderedPage,RenderedComponent,LazyImport,RedirectTarget,ReachableFromNavigation,ReachableByDeepLink,HiddenButSupported,CompatibilityStatus,TestCoverage,EvidencePaths,InitialReachabilityStatus,Confidence,Notes
"ROUTE-STU-004","PATH_ROUTE","/student/account","","","","frontend/src/App.jsx:159","Student Sidebar: Account (id: student-account)","student","LayoutShell allowedAccountTypes=[student] requiredRoles=[student]","AccountPage.jsx","AccountPage","YES","","YES","YES","NO","CURRENT","frontend/src/tests/liveE2EIntegration.test.js","frontend/src/App.jsx:159,frontend/src/pages/common/AccountPage.jsx","PROVEN ROUTE-REACHABLE","HIGH","Student profile, program, year level, and credentials management"
"ROUTE-STU-005","PATH_ROUTE","/student/settings","","","","frontend/src/App.jsx:160","Topbar Settings Link","student","LayoutShell allowedAccountTypes=[student] requiredRoles=[student]","SettingsPage.jsx","SettingsPage","YES","","NO","YES","YES","CURRENT","frontend/src/pages/common/SettingsPage.jsx","frontend/src/App.jsx:160,frontend/src/pages/common/SettingsPage.jsx","PROVEN ROUTE-REACHABLE","HIGH","Student UI theme, preferences, and session controls"
"ROUTE-STU-006","PATH_ROUTE","/student/notifications","","","","frontend/src/App.jsx:161","Topbar Notification Bell Icon","student","LayoutShell allowedAccountTypes=[student] requiredRoles=[student]","NotificationsPage.jsx","NotificationsPage","YES","","NO","YES","YES","CURRENT","frontend/src/pages/common/NotificationsPage.jsx","frontend/src/App.jsx:161,frontend/src/pages/common/NotificationsPage.jsx","PROVEN ROUTE-REACHABLE","HIGH","Student notification feed and system alerts"
"ROUTE-PER-001","PATH_ROUTE","/personnel/dashboard","","","","frontend/src/App.jsx:145","Personnel/Coordinator/Dean/Moderator Sidebar: Dashboard Overview","personnel, dean, program_coordinator, organization_moderator","LayoutShell allowedAccountTypes=[personnel] requiredRoles=[personnel]","PersonnelDashboardPage.jsx","PersonnelDashboardPage","YES","","YES","YES","NO","CURRENT","frontend/src/tests/liveE2EIntegration.test.js","frontend/src/App.jsx:145,frontend/src/pages/personnel/PersonnelDashboardPage.jsx","PROVEN ROUTE-REACHABLE","HIGH","Core multi-context dashboard gateway: renders Personnel portfolio, Coordinator workspace, or Moderator studio"
"ROUTE-PER-002","PATH_ROUTE","/personnel/portfolio/edit","","","","frontend/src/App.jsx:146","Personnel Sidebar: Edit Portfolio (id: personnel-portfolio-edit)","personnel","ActiveRoleGuard allowedActiveContexts=[personnel]","PersonnelPortfolioEditPage.jsx","PersonnelPortfolioEditPage","YES","","YES","YES","NO","CURRENT","frontend/src/tests/liveE2EIntegration.test.js","frontend/src/App.jsx:146,frontend/src/pages/personnel/PersonnelPortfolioEditPage.jsx","PROVEN ROUTE-REACHABLE","HIGH","Faculty portfolio editor, accomplishment CRUD, and evidence document manager"
"ROUTE-PER-003","PATH_ROUTE","/personnel/portfolio","","","","frontend/src/App.jsx:147","Personnel Sidebar: Portfolio (id: personnel-portfolio-showcase)","personnel","ActiveRoleGuard allowedActiveContexts=[personnel]","PersonnelPortfolioPage.jsx","PersonnelPortfolioPage","YES","","YES","YES","NO","CURRENT","frontend/src/tests/usePersonnelPortfolio.test.js","frontend/src/App.jsx:147,frontend/src/pages/personnel/PersonnelPortfolioPage.jsx","PROVEN ROUTE-REACHABLE","HIGH","Personnel professional dossier presentation and export booklet"
"ROUTE-PER-004","PATH_ROUTE","/personnel/achievements","","","","frontend/src/App.jsx:148","Legacy Path / Deep Link","personnel","ActiveRoleGuard allowedActiveContexts=[personnel]","PersonnelAchievementsPage.jsx","PersonnelAchievementsPage","YES","","NO","YES","YES","CURRENT","frontend/src/tests/ui_achievements.test.jsx","frontend/src/App.jsx:148,frontend/src/pages/personnel/PersonnelAchievementsPage.jsx","PROVEN ROUTE-REACHABLE","HIGH","Personnel achievements catalog and filter workspace"
"ROUTE-PER-005","PATH_ROUTE","/personnel/account","","","","frontend/src/App.jsx:149","Personnel Sidebar: Account (id: personnel-account)","personnel, dean, program_coordinator, organization_moderator","LayoutShell allowedAccountTypes=[personnel] requiredRoles=[personnel]","AccountPage.jsx","AccountPage","YES","","YES","YES","NO","CURRENT","frontend/src/tests/liveE2EIntegration.test.js","frontend/src/App.jsx:149,frontend/src/pages/common/AccountPage.jsx","PROVEN ROUTE-REACHABLE","HIGH","Personnel profile, academic placement, role context switcher"
"ROUTE-PER-006","PATH_ROUTE","/personnel/settings","","","","frontend/src/App.jsx:150","Topbar Settings Link","personnel, dean, program_coordinator, organization_moderator","LayoutShell allowedAccountTypes=[personnel] requiredRoles=[personnel]","SettingsPage.jsx","SettingsPage","YES","","NO","YES","YES","CURRENT","frontend/src/pages/common/SettingsPage.jsx","frontend/src/App.jsx:150,frontend/src/pages/common/SettingsPage.jsx","PROVEN ROUTE-REACHABLE","HIGH","Personnel theme and notification preferences"
"ROUTE-PER-007","PATH_ROUTE","/personnel/notifications","","","","frontend/src/App.jsx:151","Topbar Notification Bell Icon","personnel, dean, program_coordinator, organization_moderator","LayoutShell allowedAccountTypes=[personnel] requiredRoles=[personnel]","NotificationsPage.jsx","NotificationsPage","YES","","NO","YES","YES","CURRENT","frontend/src/pages/common/NotificationsPage.jsx","frontend/src/App.jsx:151,frontend/src/pages/common/NotificationsPage.jsx","PROVEN ROUTE-REACHABLE","HIGH","Personnel notifications and approval alerts"
"ROUTE-HR-001","PATH_ROUTE","/hr/dashboard","","","","frontend/src/App.jsx:166","HR Sidebar: HR Dashboard (id: hr-dashboard)","hr_admin","LayoutShell allowedAccountTypes=[hr_admin] requiredRoles=[hr_staff]","HRDashboardPage.jsx","HRDashboardPage","YES","","YES","YES","NO","CURRENT","frontend/src/tests/liveE2EIntegration.test.js","frontend/src/App.jsx:166,frontend/src/pages/hr-admin/HRDashboardPage.jsx","PROVEN ROUTE-REACHABLE","HIGH","HR executive command dashboard with institutional KPIs, faculty statistics, and action queues"
"ROUTE-HR-002","PATH_ROUTE","/hr/personnel-directory","","","","frontend/src/App.jsx:167","HR Sidebar: Personnel Directory (id: hr-personnel-directory)","hr_admin","LayoutShell allowedAccountTypes=[hr_admin] requiredRoles=[hr_staff]","HRPersonnelDirectoryPage.jsx","HRPersonnelDirectoryPage","YES","","YES","YES","NO","CURRENT","frontend/src/pages/hr-admin/personnel-directory/__tests__/PersonnelDirectorySearchAndFilter.test.js","frontend/src/App.jsx:167,frontend/src/pages/hr-admin/HRPersonnelDirectoryPage.jsx","PROVEN ROUTE-REACHABLE","HIGH","Personnel roster, onboarding modal, Dean assignments, and profile management"
"ROUTE-HR-003","PATH_ROUTE","/hr/evaluation-submissions","","","","frontend/src/App.jsx:168","HR Sidebar: Evaluation Submissions (id: hr-evaluation-submissions)","hr_admin","LayoutShell allowedAccountTypes=[hr_admin] requiredRoles=[hr_staff]","HREvaluationSubmissionsPage.jsx","HREvaluationSubmissionsPage","YES","","YES","YES","NO","CURRENT","frontend/src/pages/hr-admin/evaluation-submissions/evaluation/rating/__tests__/NDMURatingEngine.test.js","frontend/src/App.jsx:168,frontend/src/pages/hr-admin/HREvaluationSubmissionsPage.jsx","PROVEN ROUTE-REACHABLE","HIGH","HR portfolio evaluation studio with 6-criteria matrix engine and evidence pane"
"ROUTE-HR-004","PATH_ROUTE","/hr/faculty-evaluation-and-ranking","","","","frontend/src/App.jsx:169","Direct Link / Legacy Alias","hr_admin","LayoutShell allowedAccountTypes=[hr_admin] requiredRoles=[hr_staff]","HRFacultyEvaluationOversightPage.jsx","HRFacultyEvaluationOversightPage","YES","","NO","YES","YES","CURRENT","frontend/src/tests/liveE2EIntegration.test.js","frontend/src/App.jsx:169,frontend/src/pages/hr-admin/HRFacultyEvaluationOversightPage.jsx","PROVEN ROUTE-REACHABLE","HIGH","Institutional faculty ranking oversight and points summary"
"ROUTE-HR-005","PATH_ROUTE","/hr/audit-trail","","","","frontend/src/App.jsx:170","HR Sidebar: HR Audit Trail (id: hr-audit-trail)","hr_admin","LayoutShell allowedAccountTypes=[hr_admin] requiredRoles=[hr_staff]","HRAuditTrailPage.jsx","HRAuditTrailPage","YES","","YES","YES","NO","CURRENT","frontend/src/tests/liveE2EIntegration.test.js","frontend/src/App.jsx:170,frontend/src/pages/hr-admin/HRAuditTrailPage.jsx","PROVEN ROUTE-REACHABLE","HIGH","HR governance immutable audit trail log"
"ROUTE-HR-006","PATH_ROUTE","/hr/rank-assignment-logs","","","","frontend/src/App.jsx:171","HR Sidebar: Rank Assignment Logs (id: hr-rank-assignment-logs)","hr_admin","LayoutShell allowedAccountTypes=[hr_admin] requiredRoles=[hr_staff]","HRRankAssignmentLogsPage.jsx","HRRankAssignmentLogsPage","YES","","YES","YES","NO","CURRENT","frontend/src/tests/liveE2EIntegration.test.js","frontend/src/App.jsx:171,frontend/src/pages/hr-admin/HRRankAssignmentLogsPage.jsx","PROVEN ROUTE-REACHABLE","HIGH","Historical faculty rank change and promotional audit logs"
"ROUTE-HR-007","PATH_ROUTE","/hr/password-resets","","","","frontend/src/App.jsx:172","HR Sidebar: Password Resets (id: hr-password-resets)","hr_admin","LayoutShell allowedAccountTypes=[hr_admin] requiredRoles=[hr_staff]","HRPasswordResetRequestsPage.jsx","HRPasswordResetRequestsPage","YES","","YES","YES","NO","CURRENT","frontend/src/tests/passwordResetAdminService.test.js","frontend/src/App.jsx:172,frontend/src/pages/hr-admin/HRPasswordResetRequestsPage.jsx","PROVEN ROUTE-REACHABLE","HIGH","Personnel password reset verification and issuance queue"
"ROUTE-HR-008","PATH_ROUTE","/hr/account","","","","frontend/src/App.jsx:173","Topbar Profile / Redirect Target","hr_admin","LayoutShell allowedAccountTypes=[hr_admin] requiredRoles=[hr_staff]","AccountPage.jsx","AccountPage","YES","","NO","YES","YES","CURRENT","frontend/src/tests/liveE2EIntegration.test.js","frontend/src/App.jsx:173,frontend/src/pages/common/AccountPage.jsx","PROVEN ROUTE-REACHABLE","HIGH","HR Administrator profile account view"
"ROUTE-HR-009","PATH_ROUTE","/hr/settings","","","","frontend/src/App.jsx:174","Topbar Settings Link","hr_admin","LayoutShell allowedAccountTypes=[hr_admin] requiredRoles=[hr_staff]","SettingsPage.jsx","SettingsPage","YES","","NO","YES","YES","CURRENT","frontend/src/pages/common/SettingsPage.jsx","frontend/src/App.jsx:174,frontend/src/pages/common/SettingsPage.jsx","PROVEN ROUTE-REACHABLE","HIGH","HR Administrator UI settings"
"ROUTE-OSAD-001","PATH_ROUTE","/osad/dashboard","","","","frontend/src/App.jsx:186","OSAD Sidebar: OSAD Dashboard (id: osad-dashboard)","osad_admin","LayoutShell allowedAccountTypes=[osad_admin] requiredRoles=[osad_staff]","OSADDashboardPage.jsx","OSADDashboardPage","YES","","YES","YES","NO","CURRENT","frontend/src/tests/liveE2EIntegration.test.js","frontend/src/App.jsx:186,frontend/src/pages/osad-admin/OSADDashboardPage.jsx","PROVEN ROUTE-REACHABLE","HIGH","OSAD multi-workspace portal shell dispatching 10 specialized query tabs"
"ROUTE-OSAD-002","PATH_ROUTE","/osad/account","","","","frontend/src/App.jsx:187","Topbar Profile","osad_admin","LayoutShell allowedAccountTypes=[osad_admin] requiredRoles=[osad_staff]","AccountPage.jsx","AccountPage","YES","","NO","YES","YES","CURRENT","frontend/src/tests/liveE2EIntegration.test.js","frontend/src/App.jsx:187,frontend/src/pages/common/AccountPage.jsx","PROVEN ROUTE-REACHABLE","HIGH","OSAD administrator account details"
"ROUTE-OSAD-003","PATH_ROUTE","/osad/settings","","","","frontend/src/App.jsx:188","Topbar Settings","osad_admin","LayoutShell allowedAccountTypes=[osad_admin] requiredRoles=[osad_staff]","SettingsPage.jsx","SettingsPage","YES","","NO","YES","YES","CURRENT","frontend/src/pages/common/SettingsPage.jsx","frontend/src/App.jsx:188,frontend/src/pages/common/SettingsPage.jsx","PROVEN ROUTE-REACHABLE","HIGH","OSAD administrator preferences"
"ROUTE-OSAD-004","PATH_ROUTE","/osad/notifications","","","","frontend/src/App.jsx:189","Topbar Notification Bell","osad_admin","LayoutShell allowedAccountTypes=[osad_admin] requiredRoles=[osad_staff]","NotificationsPage.jsx","NotificationsPage","YES","","NO","YES","YES","CURRENT","frontend/src/pages/common/NotificationsPage.jsx","frontend/src/App.jsx:189,frontend/src/pages/common/NotificationsPage.jsx","PROVEN ROUTE-REACHABLE","HIGH","OSAD notifications feed"
"ROUTE-TAB-OSAD-001","QUERY_TAB_ROUTE","/osad/dashboard","tab=overview","","/osad/dashboard","frontend/src/pages/osad-admin/OSADDashboardPage.jsx:35","Sidebar: OSAD Dashboard (id: osad-dashboard)","osad_admin","active_role_context=osad_staff","OSADCommandCenterPage.jsx","OSADCommandCenterPage","NO","","YES","YES","NO","CURRENT","frontend/src/tests/liveE2EIntegration.test.js","frontend/src/pages/osad-admin/OSADDashboardPage.jsx,frontend/src/pages/osad-admin/OSADCommandCenterPage.jsx","PROVEN ROUTE-REACHABLE","HIGH","OSAD executive metrics, quick actions, and student engagement telemetry"
"ROUTE-TAB-OSAD-002","QUERY_TAB_ROUTE","/osad/dashboard","tab=academic-programs","tab=academic-structure","/osad/dashboard","frontend/src/pages/osad-admin/OSADDashboardPage.jsx:38","Sidebar: Academic Structure (id: osad-academic-structure)","osad_admin","active_role_context=osad_staff","OSADAcademicProgramsPage.jsx","OSADAcademicProgramsPage","NO","","YES","YES","NO","CURRENT","frontend/src/tests/OSADAcademicHierarchy.test.js","frontend/src/pages/osad-admin/OSADDashboardPage.jsx,frontend/src/pages/osad-admin/OSADAcademicProgramsPage.jsx","PROVEN ROUTE-REACHABLE","HIGH","Colleges and academic degree programs hierarchy manager"
"ROUTE-TAB-OSAD-003","QUERY_TAB_ROUTE","/osad/dashboard","tab=accounts","","/osad/dashboard","frontend/src/pages/osad-admin/OSADDashboardPage.jsx:194","Sidebar: Student Accounts (id: osad-student-accounts)","osad_admin","active_role_context=osad_staff","OSADStudentAccountsPage.jsx","OSADStudentAccountsPage","NO","","YES","YES","NO","CURRENT","frontend/src/tests/liveE2EIntegration.test.js","frontend/src/pages/osad-admin/OSADDashboardPage.jsx,frontend/src/pages/osad-admin/OSADStudentAccountsPage.jsx","PROVEN ROUTE-REACHABLE","HIGH","Student directory, dossiers, points audit, and account status controls"
"ROUTE-TAB-OSAD-004","QUERY_TAB_ROUTE","/osad/dashboard","tab=organizations","","/osad/dashboard","frontend/src/pages/osad-admin/OSADDashboardPage.jsx:204","Sidebar: Student Organizations (id: osad-student-organizations)","osad_admin","active_role_context=osad_staff","OSADStudentOrganizationsPage.jsx","OSADStudentOrganizationsPage","NO","","YES","YES","NO","CURRENT","frontend/src/tests/liveE2EIntegration.test.js","frontend/src/pages/osad-admin/OSADDashboardPage.jsx,frontend/src/pages/osad-admin/OSADStudentOrganizationsPage.jsx","PROVEN ROUTE-REACHABLE","HIGH","Student clubs, academic organizations, and moderator assignments"
"ROUTE-TAB-OSAD-005","QUERY_TAB_ROUTE","/osad/dashboard","tab=awards","","/osad/dashboard","frontend/src/pages/osad-admin/OSADDashboardPage.jsx:214","Sidebar: Award Categories (id: osad-award-categories)","osad_admin","active_role_context=osad_staff","OSADAwardCategoriesPage.jsx","OSADAwardCategoriesPage","NO","","YES","YES","NO","CURRENT","frontend/src/tests/AwardCycleModel.test.js","frontend/src/pages/osad-admin/OSADDashboardPage.jsx,frontend/src/pages/osad-admin/OSADAwardCategoriesPage.jsx","PROVEN ROUTE-REACHABLE","HIGH","Award categories, points threshold rules, and evaluation prerequisites"
"ROUTE-TAB-OSAD-006","QUERY_TAB_ROUTE","/osad/dashboard","tab=certificate-templates","","/osad/dashboard","frontend/src/pages/osad-admin/OSADDashboardPage.jsx:221","Sidebar: Certificate Templates (id: osad-certificate-templates)","osad_admin","active_role_context=osad_staff","OSADCertificateTemplatesPage.jsx","OSADCertificateTemplatesPage","NO","","YES","YES","NO","CURRENT","frontend/src/tests/CertificateTemplateRegistry.test.js","frontend/src/pages/osad-admin/OSADDashboardPage.jsx,frontend/src/pages/osad-admin/OSADCertificateTemplatesPage.jsx","PROVEN ROUTE-REACHABLE","HIGH","Institutional certificate templates editor, layout designer, and placeholder engine"
"ROUTE-TAB-OSAD-007","QUERY_TAB_ROUTE","/osad/dashboard","tab=candidate-review","tab=awardees","/osad/dashboard","frontend/src/pages/osad-admin/OSADDashboardPage.jsx:225","Sidebar: Award Candidate Review (id: osad-award-candidate-review)","osad_admin","active_role_context=osad_staff","OSADAwardCandidateReviewPage.jsx","OSADAwardCandidateReviewPage","NO","","YES","YES","NO","CURRENT","frontend/src/tests/AwardPortfolioReviewService.test.js","frontend/src/pages/osad-admin/OSADDashboardPage.jsx,frontend/src/pages/osad-admin/OSADAwardCandidateReviewPage.jsx","PROVEN ROUTE-REACHABLE","HIGH","Student award candidate review, 80% evaluation benchmark, and Dean confirmation engine"
"ROUTE-TAB-OSAD-008","QUERY_TAB_ROUTE","/osad/dashboard","tab=reports","","/osad/dashboard","frontend/src/pages/osad-admin/OSADDashboardPage.jsx:243","Sidebar: Accreditation Reports (id: osad-accreditation-reports)","osad_admin","active_role_context=osad_staff","OSADAccreditationReportsPage.jsx","OSADAccreditationReportsPage","NO","","YES","YES","NO","CURRENT","frontend/src/tests/Stage1CandidateReportService.test.js","frontend/src/pages/osad-admin/OSADDashboardPage.jsx,frontend/src/pages/osad-admin/OSADAccreditationReportsPage.jsx","PROVEN ROUTE-REACHABLE","HIGH","CHED/PAASCU accreditation matrix export and batch reporting center"
"ROUTE-TAB-OSAD-009","QUERY_TAB_ROUTE","/osad/dashboard","tab=audit","","/osad/dashboard","frontend/src/pages/osad-admin/OSADDashboardPage.jsx:251","Sidebar: OSAD Activity Log (id: osad-activity-log)","osad_admin","active_role_context=osad_staff","OSADSystemAuditLogsPage.jsx","OSADSystemAuditLogsPage","NO","","YES","YES","NO","CURRENT","frontend/src/tests/liveE2EIntegration.test.js","frontend/src/pages/osad-admin/OSADDashboardPage.jsx,frontend/src/pages/osad-admin/OSADSystemAuditLogsPage.jsx","PROVEN ROUTE-REACHABLE","HIGH","OSAD system audit trail and user action timeline"
"ROUTE-TAB-OSAD-010","QUERY_TAB_ROUTE","/osad/dashboard","tab=password-resets","","/osad/dashboard","frontend/src/pages/osad-admin/OSADDashboardPage.jsx:258","Sidebar: Password Resets (id: osad-password-resets)","osad_admin","active_role_context=osad_staff","OSADPasswordResetRequestsPage.jsx","OSADPasswordResetRequestsPage","NO","","YES","YES","NO","CURRENT","frontend/src/tests/passwordResetAdminService.test.js","frontend/src/pages/osad-admin/OSADDashboardPage.jsx,frontend/src/pages/osad-admin/OSADPasswordResetRequestsPage.jsx","PROVEN ROUTE-REACHABLE","HIGH","Student password reset verification and resolution terminal"
"ROUTE-TAB-COORD-001","QUERY_TAB_ROUTE","/personnel/dashboard","tab=overview","","/personnel/dashboard","frontend/src/pages/personnel/program-coordinator/CoordinatorDashboardPage.jsx:60","Coordinator Sidebar: Dashboard Overview (id: coordinator-dashboard-overview)","program_coordinator","active_role_context=program_coordinator","CoordinatorDashboardPage.jsx","CoordinatorDashboardPage","NO","","YES","YES","NO","CURRENT","frontend/src/pages/personnel/program-coordinator/__tests__/CoordinatorMetricsSidebar.test.jsx","frontend/src/pages/personnel/program-coordinator/CoordinatorDashboardPage.jsx","PROVEN ROUTE-REACHABLE","HIGH","Program Coordinator metric widgets, submission velocity, and queue summary"
"ROUTE-TAB-COORD-002","QUERY_TAB_ROUTE","/personnel/dashboard","tab=workspace","","/personnel/dashboard","frontend/src/pages/personnel/program-coordinator/CoordinatorDashboardPage.jsx:75","Coordinator Sidebar: Verification Workspace (id: coordinator-verification-workspace)","program_coordinator","active_role_context=program_coordinator","CoordinatorDashboardPage.jsx","CoordinatorDashboardPage (Workspace Tab)","NO","","YES","YES","NO","CURRENT","frontend/src/tests/liveE2EIntegration.test.js","frontend/src/pages/personnel/program-coordinator/CoordinatorDashboardPage.jsx","PROVEN ROUTE-REACHABLE","HIGH","In-scope student achievement verification queue, evidence viewer, approve, and return for revision"
"ROUTE-TAB-COORD-003","QUERY_TAB_ROUTE","/personnel/dashboard","tab=students","","/personnel/dashboard","frontend/src/pages/personnel/program-coordinator/CoordinatorDashboardPage.jsx:90","Coordinator Sidebar: Student Roster & Dossiers (id: coordinator-student-roster)","program_coordinator","active_role_context=program_coordinator","CoordinatorDashboardPage.jsx","CoordinatorDashboardPage (Roster Tab)","NO","","YES","YES","NO","CURRENT","frontend/src/tests/liveE2EIntegration.test.js","frontend/src/pages/personnel/program-coordinator/CoordinatorDashboardPage.jsx","PROVEN ROUTE-REACHABLE","HIGH","Program student roster, dossiers, and academic accomplishment breakdowns"
"ROUTE-TAB-MOD-001","QUERY_TAB_ROUTE","/personnel/dashboard","tab=overview","tab=dashboard","/personnel/dashboard","frontend/src/pages/personnel/organization-moderator/OrganizationModeratorDashboardPage.jsx:55","Moderator Sidebar: Dashboard Overview (id: moderator-dashboard-overview)","organization_moderator","active_role_context=organization_moderator","OrganizationModeratorDashboardPage.jsx","OrganizationModeratorDashboardPage","NO","","YES","YES","NO","CURRENT","frontend/src/tests/liveE2EIntegration.test.js","frontend/src/pages/personnel/organization-moderator/OrganizationModeratorDashboardPage.jsx","PROVEN ROUTE-REACHABLE","HIGH","Organization moderator command overview, event attendance velocity, and active certificates"
"ROUTE-TAB-MOD-002","QUERY_TAB_ROUTE","/personnel/dashboard","tab=events","","/personnel/dashboard","frontend/src/pages/personnel/organization-moderator/OrganizationModeratorDashboardPage.jsx:56","Moderator Sidebar: Events & Activities (id: moderator-events)","organization_moderator","active_role_context=organization_moderator","OrganizationModeratorDashboardPage.jsx","OrganizationModeratorDashboardPage (Events Tab)","NO","","YES","YES","NO","CURRENT","frontend/src/tests/liveE2EIntegration.test.js","frontend/src/pages/personnel/organization-moderator/OrganizationModeratorDashboardPage.jsx","PROVEN ROUTE-REACHABLE","HIGH","Organization event creation, management, scheduling, and attendance mode toggles"
"ROUTE-TAB-MOD-003","QUERY_TAB_ROUTE","/personnel/dashboard","tab=attendance","","/personnel/dashboard","frontend/src/pages/personnel/organization-moderator/OrganizationModeratorDashboardPage.jsx:57","Moderator Sidebar: Attendance Management (id: moderator-attendance)","organization_moderator","active_role_context=organization_moderator","OrganizationModeratorDashboardPage.jsx","OrganizationModeratorDashboardPage (Attendance Tab)","NO","","YES","YES","NO","CURRENT","frontend/src/tests/liveE2EIntegration.test.js","frontend/src/pages/personnel/organization-moderator/OrganizationModeratorDashboardPage.jsx","PROVEN ROUTE-REACHABLE","HIGH","Live attendance monitoring, check-in logs, and scanner activation"
