File,Class,Method,Layer,FeatureDomain,CalledBy,Routes,CallsServices,CallsModelsRepositories,DirectDbAccess,ValidationResponsibility,AuthorizationResponsibility,BusinessLogicResponsibility,StateTransitionResponsibility,CalculationResponsibility,ResponseFormattingResponsibility,AuditLoggingResponsibility,SharedAcrossDomains,TestCoverage,InitialArchitectureStatus,Confidence,EvidencePaths,Notes
"backend/app/Controllers/Api/TargetHRPersonnelController.php","TargetHRPersonnelController","directory","Controller","HR Personnel Management","Frontend useHR.js, tests","GET /api/v1/hr/personnel","AuthenticatedActorService, PersonnelPolicy","None","$this->db->table(""users"")->join(""colleges"")->join(""academic_programs"")","Valid HR staff session","HR Staff authorization","Aggregates faculty profile, college placement, rank","None","None","JSON faculty directory array","None","NO","backend/tests/TargetHRPersonnelTest.php","WELL-LAYERED","HIGH","backend/app/Controllers/Api/TargetHRPersonnelController.php:35","Target-schema faculty directory"
"backend/app/Controllers/Api/TargetHRPersonnelController.php","TargetHRPersonnelController","assignDean","Controller","HR Personnel Management","Frontend DeanAssignmentModal.jsx, tests","POST /api/v1/hr/personnel/(:segment)/dean-role","AuthenticatedActorService, GovernancePolicy","None","$this->db->table(""personnel_role_assignments""), $this->db->table(""colleges"")","college_id required","HR Staff authorization","Enforces single Dean per college rule, assigns dean role","Inserts dean role assignment","None","JSON status assigned","Writes dean_assigned audit record","NO","backend/tests/TargetHRPersonnelTest.php","WELL-LAYERED","HIGH","backend/app/Controllers/Api/TargetHRPersonnelController.php:80","College Dean assignment"
"backend/app/Controllers/Api/HREvaluationController.php","HREvaluationController","finalizeEvaluation","Controller","HR Faculty Evaluation","Frontend StudioDecisionBar.jsx, tests","POST /api/v1/hr/evaluations/(:segment)/finalize","HREvaluationService, AuthenticatedActorService","None","Via HREvaluationService","evaluationId required, final_score numeric","HR Staff authorization","Validates stage machine, resolves promotional rank","stage = FINALIZED","Calculates points sum & promotional rank bounds","JSON finalized evaluation envelope","Writes evaluation_finalized audit record","NO","backend/tests/HREvaluationTest.php","WELL-LAYERED","HIGH","backend/app/Controllers/Api/HREvaluationController.php:90","Authoritative evaluation finalization"
"backend/app/Services/HREvaluationService.php","HREvaluationService","finalizeEvaluation","Service","HR Faculty Evaluation","HREvaluationController","N/A (Service)","None","None","$this->db->table(""faculty_evaluations""), $this->db->table(""faculty_rank_history"")","Enforces valid state transition (READY_FOR_FINAL -> FINALIZED)","None (Orchestrated by controller)","Applies promotional rank criteria, locks evidence","Updates evaluation stage and persists new rank","Computes verified point sum and maps to rank schedule","None (Returns domain entity/array)","Writes audit log entry","NO","backend/tests/HREvaluationTest.php","WELL-LAYERED","HIGH","backend/app/Services/HREvaluationService.php:50","Pure business logic service for evaluation finalization"
"backend/app/Controllers/Api/StudentPortfolioController.php","StudentPortfolioController","create","Controller","Student Portfolio","Frontend AchievementSubmissionModal.jsx, tests","POST /api/v1/portfolio","AuthenticatedActorService, StudentPortfolioPolicy","None","$this->db->table(""student_portfolio_entries"")","title, category_id, date_accomplished required","Student self-submission only","Creates accomplishment record with PENDING status","status = PENDING","None","JSON status 201 Created envelope","Writes portfolio_entry_created audit record","NO","backend/tests/StudentPortfolioTest.php","WELL-LAYERED","HIGH","backend/app/Controllers/Api/StudentPortfolioController.php:75","Student portfolio submission entry"
"backend/app/Controllers/Api/StudentPortfolioController.php","StudentPortfolioController","verifyRecord","Controller","Student Portfolio Verification","Frontend CoordinatorDashboardPage.jsx, tests","POST /api/v1/portfolio/(:segment)/verify","AuthenticatedActorService, StudentPortfolioPolicy","None","$this->db->table(""student_portfolio_entries""), $this->db->table(""verification_logs"")","recordId required, decision in_list[APPROVED,REJECTED,REVISION_REQUESTED]","Program Coordinator program scope matching","Enforces program scope boundary, records verification verdict","status = VERIFIED | REVISION_REQUESTED | REJECTED","Assigns category default points upon approval","JSON verification status envelope","Writes verification_decided audit record","NO","backend/tests/StudentPortfolioTest.php","WELL-LAYERED","HIGH","backend/app/Controllers/Api/StudentPortfolioController.php:160","Program Coordinator verification decision"
"backend/app/Controllers/Api/AwardEvaluationController.php","AwardEvaluationController","evaluateAward","Controller","OSAD Awards","Frontend AwardPortfolioReviewService.js, tests","POST /api/v1/osad/awards/(:segment)/evaluate","AwardEvaluationService, AuthenticatedActorService, AwardPolicy","None","Via AwardEvaluationService","awardId required","OSAD Staff authorization","Orchestrates 80% evaluation benchmark across student accomplishments","Records candidate qualification states","Weighted category points & percentage threshold calculation","JSON candidate evaluation list envelope","Writes award_evaluation_executed audit record","NO","backend/tests/AwardEvaluationTest.php","WELL-LAYERED","HIGH","backend/app/Controllers/Api/AwardEvaluationController.php:70","Authoritative OSAD 80% award evaluation calculation"
"backend/app/Services/AwardEvaluationService.php","AwardEvaluationService","evaluateAwardCandidates","Service","OSAD Awards","AwardEvaluationController","N/A (Service)","None","None","$this->db->table(""student_portfolio_entries""), $this->db->table(""award_categories"")","Validates award threshold parameters","None (Handled by controller & policy)","Queries verified student achievements, aggregates scores, evaluates 80% benchmark","None","Sum of verified points * weight multiplier vs benchmark threshold","None (Returns structured candidate array)","None","NO","backend/tests/AwardEvaluationTest.php","WELL-LAYERED","HIGH","backend/app/Services/AwardEvaluationService.php:40","Pure calculation and data retrieval service for awards"
"backend/app/Controllers/Api/EvidenceController.php","EvidenceController","personnelDownload","Controller","Evidence Storage","Frontend PortfolioNavigator.jsx, tests","GET /api/v1/evidence/personnel/(:segment)/download","LocalEvidenceStorageService, AuthenticatedActorService, EvidencePolicy","None","$this->db->table(""personnel_evidence_files"")","evidenceId required","Ownership or Evaluator/Dean/HR authorization","Locates secure local proof file on disk","None","None","Binary response stream with Content-Disposition headers","Writes evidence_downloaded audit record","YES","backend/tests/EvidenceTest.php","WELL-LAYERED","HIGH","backend/app/Controllers/Api/EvidenceController.php:85","Secure streamed delivery of proof PDF/images"
"backend/app/Services/LocalEvidenceStorageService.php","LocalEvidenceStorageService","getFilePath","Service","Evidence Storage","EvidenceController, PersonnelAccomplishmentController, StudentPortfolioController","N/A (Service)","None","None","None (Filesystem operations)","Path traversal prevention & file existence check","None","Manages local storage directory layout and secure file hashing","None","SHA-256 file checksum computation","None","None","YES","backend/tests/EvidenceTest.php","SHARED-CORE","HIGH","backend/app/Services/LocalEvidenceStorageService.php:30","Centralized local filesystem evidence manager"
"backend/app/Services/AuthenticatedActorService.php","AuthenticatedActorService","resolveActor","Service","Authentication & Session","All API Controllers","N/A (Service)","LocalTokenService","None","$this->db->table(""users""), $this->db->table(""personnel_role_assignments"")","Token presence and signature validation","Extracts user roles, account types, and scope targets","Assembles full Actor domain entity for controller request lifecycle","None","None","None","None","YES","backend/tests/AuthenticationTest.php","SHARED-CORE","HIGH","backend/app/Services/AuthenticatedActorService.php:25","Core actor resolution service used by entire API surface"
"backend/app/Services/AuthorizationService.php","AuthorizationService","can","Service","Authorization & RBAC","All API Controllers & Policies","N/A (Service)","None","None","None (Pure in-memory permission schedule evaluation)","None","Authoritative evaluation of role permissions & active context scopes","Implements full AchieveNest RBAC matrix","None","None","None","None","YES","backend/tests/AuthorizationTest.php","SHARED-CORE","HIGH","backend/app/Services/AuthorizationService.php:20","Centralized RBAC authorization engine"
