"ComponentID","Layer","Domain","PathOrClass","Responsibility","Inputs","Outputs","PrimaryDependencies","Consumers","RouteOrAPI","DatabaseDependency","Classification","CompatibilityRole","Notes"
"CMP-FE-013","Frontend Page","HR Domain","frontend/src/pages/hr-admin/personnel-directory/HRPersonnelDirectoryPage.jsx","Directory search, personnel qualifications, Dean role assignments","Search query, filters, assignment modal","Personnel records, role assignments","TargetHRPersonnelController, apiClient","App.jsx","/hr/personnel","personnel_profiles, dean_assignments","ACTIVE","HR Directory","HR owns Dean assignments"
"CMP-FE-014","Frontend Page","HR Domain","frontend/src/pages/hr-admin/evaluation-submissions/HREvaluationSubmissionsPage.jsx","Faculty evaluation queue, state machine management, score oversight","Evaluation status filters","Evaluation queue list, summary report","HREvaluationController, apiClient","App.jsx","/hr/evaluations","hr_evaluations, faculty_ratings","ACTIVE","HR Evaluation Queue","State machine transitions"
"CMP-FE-015","Frontend Studio","HR Domain","frontend/src/pages/hr-admin/evaluation-submissions/evaluation/PortfolioEvaluationStudio.jsx","Interactive evaluation scoring studio, criteria controls, final rank","Criteria scores, notes, deficiency items","Computed scores, finalized evaluation","NDMURatingEngine, ScoringControls","HREvaluationSubmissionsPage","/hr/evaluations/:id/studio","evaluation_items, score_snapshots","ACTIVE","Evaluation Studio","70/50/40 scoring scale"
"CMP-FE-016","Frontend Engine","HR Domain","frontend/src/pages/hr-admin/evaluation-submissions/evaluation/rating/NDMURatingEngine.js","Pure scoring calculation engine, bound validation, qualification threshold","Criteria inputs, point values","Computed totals, qualification status","NDMURatingRules","PortfolioEvaluationStudio","None","None","ACTIVE-SHARED","Scoring Engine","120.00 pts qualification gate"
"CMP-FE-017","Frontend Page","OSAD Domain","frontend/src/pages/osad-admin/OSADDashboardPage.jsx","OSAD overview dashboard, award cycles, governance shortcuts","OSAD Auth Context","OSAD dashboard UI, cycle status","OSADController, AwardEvaluationController","App.jsx","/osad/dashboard","award_cycles, award_definitions","ACTIVE","OSAD Dashboard","Student awards governance"
"CMP-FE-018","Frontend Page","OSAD Domain","frontend/src/pages/osad-admin/OSADAwardCandidateReviewPage.jsx","Automated award candidate review, 80% threshold, Dean nominations","Award cycle, threshold filter","Candidate list, scoring basis, nomination details","AwardEvaluationController, apiClient","App.jsx","/osad/awards/candidate-review","award_evaluations, dean_nominations","ACTIVE","Candidate Review","Includes ?tab=awardees query alias"
"CMP-FE-019","Frontend Config","Supabase Compatibility","frontend/src/config/supabase.js","Compatibility stub client for local-defense execution","Config constants","Mock Supabase client object","None","authService (dormant fallback)","None","None","COMPATIBILITY","Legacy Stub","Zero network calls in defense mode"
"CMP-FE-020","Frontend Scope Removed","Student / Personnel","frontend/src/pages/student/modals/DigitalBarcodeIDCardModal.jsx","Digital barcode ID card generation modal","None","None","None","None","None","None","INTENTIONAL-SCOPE-REMOVED","None","Deleted in Phase 14 Batch 2"
"CMP-FE-021","Frontend Dead Code","HR / Coordinator / Routing","21 Superseded Components (Phase 12 / 14)","Legacy duplicate panes, uncalled modals, superseded routes","None","None","None","None","None","None","REMOVED-DEAD-CODE","None","Deleted in Phase 14 Batch 3"
"CMP-BE-001","Backend Controller","Authentication","backend/app/Controllers/Api/AuthController.php","Local login, session restore, token invalidation","JSON credentials, bearer token","User identity JSON, auth cookies","LocalAuthService, LocalTokenService","Frontend AuthContext","/api/v1/auth/*","local_auth_sessions, users","ACTIVE","Core Auth API","Issues local defense sessions"
"CMP-BE-002","Backend Controller","Awards","backend/app/Controllers/Api/AwardEvaluationController.php","Automated 80% award evaluation, scoring basis, Dean nominations","Award cycle ID, student ID, nomination payload","Candidate list JSON, basis report JSON","AwardPolicy, AwardScoringEngine","OSADAwardCandidateReviewPage, DeanNominationModal","/api/v1/osad/awards/*, /api/v1/dean/nominations","award_definitions, award_evaluations, dean_nominations","ACTIVE","Awards API","Strict candidate terminology"
"CMP-BE-003","Backend Controller","Evidence","backend/app/Controllers/Api/EvidenceController.php","Protected physical evidence streaming, download, upload validation","Evidence ID, auth bearer token","Binary file stream, download attachment","EvidencePolicy, EvidenceStorageService","EvidenceDocumentViewer, Portfolio","api/v1/evidence/*","evidence_files, upload_security_logs","ACTIVE","Evidence API","Local storage with 403 enforcement"
"CMP-BE-004","Backend Controller","HR Personnel","backend/app/Controllers/Api/TargetHRPersonnelController.php","HR personnel directory, Dean role assignment and revocation","Search params, dean role payload","Personnel list JSON, assignment confirmation","GovernancePolicy, AuthenticatedActorService","HRPersonnelDirectoryPage","/api/v1/hr/personnel/*","personnel_profiles, dean_assignments","ACTIVE","HR Directory API","Direct DB join architecture exception"
"CMP-BE-005","Backend Controller","HR Evaluation","backend/app/Controllers/Api/HREvaluationController.php","Evaluation state machine, scoring criteria verification, report snapshot","Evaluation ID, rating items, notes","Evaluation detail JSON, summary report","PersonnelPolicy, HREvaluationEngine","HREvaluationSubmissionsPage, PortfolioEvaluationStudio","/api/v1/hr/evaluations/*","hr_evaluations, rating_items, deficiencies","ACTIVE","Evaluation API","160-pt rating scale enforcement"
"CMP-BE-006","Backend Controller","Student Portfolio","backend/app/Controllers/Api/StudentPortfolioController.php","Portfolio CRUD, verification queue, revision request, verify/reject","Portfolio inputs, coordinator actions","Portfolio JSON, queue list JSON","StudentPortfolioPolicy, AuthenticatedActorService","StudentPortfolioPage, CoordinatorVerificationQueuePage","/api/v1/portfolio/*, /api/v1/program-coordinator/*","portfolio_records, verification_logs","ACTIVE","Portfolio API","Program-isolated verification"
"CMP-BE-007","Backend Controller","Events & Moderation","backend/app/Controllers/Api/EventController.php","Campus event creation, attendee scanning, certificate generation","Event inputs, attendance scanner payload","Event list JSON, attendee list JSON","GovernancePolicy, AuthenticatedActorService","OrganizationModeratorDashboardPage, OfficerScannerPage","/api/v1/events/*","org_events, event_attendance","ACTIVE","Events API","Org-moderator governance"
"CMP-BE-008","Backend Controller","Reference Data","backend/app/Controllers/Api/ReferenceDataController.php","Academic hierarchy, colleges, programs, permanent datasets SHA256","HTTP GET","Hierarchy JSON, dataset fingerprints","PermanentReferenceService","Frontend Models, AdminSetupGuide","/api/v1/reference/*","colleges, academic_programs, reference_fingerprints","ACTIVE","Reference API","Fingerprint integrity verification"
"CMP-BE-009","Backend Controller","Health","backend/app/Controllers/Api/HealthController.php","System health probe, database connection verification","HTTP GET","Health status JSON (status: ok, MySQLi connected)","Database Connection Pool","E2E Test Probes, Monitoring","/api/v1/health","MySQL Connection","ACTIVE","Health API","Local defense health probe"
"CMP-BE-010","Backend Service","Authorization","backend/app/Services/AuthorizationService.php","Centralized permission matrix, role isolation, 403 enforcement","Actor, resource, action","Boolean authorization result","AuthenticatedActorService","All API Controllers","Internal","user_roles, role_permissions","ACTIVE-SHARED","Auth Matrix","Evaluates 5 domain policies"
"CMP-BE-011","Backend Policy","Awards Policy","backend/app/Policies/AwardPolicy.php","Award evaluation permissions, Dean nomination authorization","Actor, award context","Boolean allow/deny","None","AwardEvaluationController","Internal","dean_assignments","ACTIVE","Award Policy","Enforces cross-college nomination"
"CMP-BE-012","Backend Policy","Evidence Policy","backend/app/Policies/EvidencePolicy.php","Physical evidence read/stream authorization","Actor, evidence record","Boolean allow/deny","None","EvidenceController","Internal","portfolio_records, personnel_profiles","ACTIVE","Evidence Policy","Strict 403 isolation"
"CMP-BE-013","Backend Policy","Governance Policy","backend/app/Policies/GovernancePolicy.php","Dean, Coordinator, and Moderator governance boundaries","Actor, assignment target","Boolean allow/deny","None","TargetHRPersonnelController, EventController","Internal","governance_assignments","ACTIVE","Governance Policy","Blocks self-assignment"
"CMP-BE-014","Backend Policy","Personnel Policy","backend/app/Policies/PersonnelPolicy.php","Personnel accomplishment, HR evaluation, ranking scale permissions","Actor, evaluation context","Boolean allow/deny","None","HREvaluationController, HRPersonnelController","Internal","hr_evaluations, personnel_profiles","ACTIVE","Personnel Policy","HR evaluation gatekeeper"
"CMP-BE-015","Backend Policy","Student Portfolio Policy","backend/app/Policies/StudentPortfolioPolicy.php","Student portfolio modification, coordinator queue authorization","Actor, portfolio item","Boolean allow/deny","None","StudentPortfolioController","Internal","academic_programs, coordinator_assignments","ACTIVE","Portfolio Policy","Program-scoped verification"
"CMP-BE-016","Backend Service","Local Auth","backend/app/Services/LocalAuthService.php","Local password hashing, credential verification, session registry","Email, password","User entity, session token","UsersModel, LocalAuthSessionModel","AuthController","Internal","local_auth_sessions, users","ACTIVE-SHARED","Local Auth Core","SHA256/bcrypt local defense"
"CMP-BE-017","Backend Service","Evidence Storage","backend/app/Services/EvidenceStorageService.php","Protected local disk evidence persistence, streaming header formatting","Uploaded file, file ID","Stored filepath, mime stream","FileSystem Helper","EvidenceController, StudentPortfolioController","Internal","evidence_files","ACTIVE-SHARED","Storage Driver","Protected backend/writable/uploads/"
"CMP-BE-018","Backend Migrations","Database Schema","backend/app/Database/Migrations/ (26 files)","Authoritative CodeIgniter PHP database migrations","php spark migrate","Database tables & constraints","CodeIgniter Migration Engine","Backend Spark CLI","CLI Command","26 DB Tables","DATABASE-PROTECTED","Core Schema","Untouched during Phase 14-16"
"CMP-BE-019","Backend Seeders","Database Fixtures","backend/app/Database/Seeds/ (5 files)","Authoritative CodeIgniter PHP database seeders","php spark db:seed","Demo personas, baseline reference data","CodeIgniter Seeder Engine","Backend Spark CLI","CLI Command","Seeded DB Rows","DATABASE-PROTECTED","Core Fixtures","Untouched during Phase 14-16"
"CMP-BE-020","Backend SQL Replay","Database Replay","backend/database/mysql-defense/migrations/ (11 files)","Deterministic MySQL replay SQL package (000001..000011)","MySQL client source replay","Complete database reconstruction","MySQL Engine","Local defense provisioning","CLI Command","Complete DB Schema","DATABASE-PROTECTED","SQL Defense Package","000001-09 replay, 10 ref data, 11 auth"
"CMP-BE-021","Backend Compatibility","Supabase Auth Stub","backend/app/Services/SupabaseAuthService.php","Dormant compatibility service for legacy Supabase integration","None","None","None","None","None","None","COMPATIBILITY","Legacy Stub","0 runtime calls in local defense"
"CMP-BE-022","Database Archive","Historical Dump","archive/database/AchieveNest-Test_Pre_Phase7_2026-08-28_0036.dump","Archived pre-audit database dump file with SHA256 verification","None","None","None","None","None","None","ARCHIVED-LOCAL","Historical Backup","SHA256: 7EBF9B8C...375EA95A, ignored in git"
