"Method","Route","FrontendCaller","Controller","Service","Policy","ModelOrTable","AuthRequirement","RoleScope","Compatibility","Status","Notes"
"POST","api/v1/hr/evaluations/{id}/ready","HREvaluationController","HREvaluationController","HREvaluationEngine","PersonnelPolicy","hr_evaluations","Bearer Token","HR Admin","None","ACTIVE","Marks ready_for_final"
"POST","api/v1/hr/evaluations/{id}/finalize","HREvaluationController","HREvaluationController","HREvaluationEngine","PersonnelPolicy","hr_evaluations","Bearer Token","HR Admin","None","ACTIVE","Finalizes evaluation score"
"POST","api/v1/hr/evaluations/{id}/items/{itemId}/verify","HREvaluationController","HREvaluationController","HREvaluationEngine","PersonnelPolicy","evaluation_items","Bearer Token","HR Admin","None","ACTIVE","Verifies evaluation item"
"POST","api/v1/hr/evaluations/{id}/items/{itemId}/rate","HREvaluationController","HREvaluationController","HREvaluationEngine","PersonnelPolicy","evaluation_items","Bearer Token","HR Admin","None","ACTIVE","Rates criteria item score"
"GET","api/v1/hr/evaluations/{id}/report","HREvaluationController","HREvaluationController","HREvaluationEngine","PersonnelPolicy","hr_evaluation_reports","Bearer Token","HR Admin, Dean, Personnel","None","ACTIVE","Evaluation summary report"
"GET","api/v1/hr/evaluations/{id}/deficiencies","HREvaluationController","HREvaluationController","HREvaluationEngine","PersonnelPolicy","evaluation_deficiencies","Bearer Token","HR Admin, Personnel","None","ACTIVE","Lists deficiencies"
"POST","api/v1/hr/evaluations/{id}/deficiencies/{defId}/respond","HREvaluationController","HREvaluationController","HREvaluationEngine","PersonnelPolicy","evaluation_deficiencies","Bearer Token","Personnel","None","ACTIVE","Personnel response"
"POST","api/v1/hr/evaluations/{id}/deficiencies/{defId}/resolve","HREvaluationController","HREvaluationController","HREvaluationEngine","PersonnelPolicy","evaluation_deficiencies","Bearer Token","HR Admin","None","ACTIVE","HR resolves deficiency"
"POST","api/v1/hr/evaluations/{id}/deficiencies/{defId}/cancel","HREvaluationController","HREvaluationController","HREvaluationEngine","PersonnelPolicy","evaluation_deficiencies","Bearer Token","HR Admin","None","ACTIVE","HR cancels deficiency"
"GET","api/v1/hr/evaluations/{id}","HREvaluationController","HREvaluationController","HREvaluationEngine","PersonnelPolicy","hr_evaluations","Bearer Token","HR Admin, Dean, Personnel","None","ACTIVE","Evaluation detail"
"GET","api/v1/portfolio/categories","StudentPortfolioController","StudentPortfolioController","AuthenticatedActorService","StudentPortfolioPolicy","portfolio_categories","Bearer Token","Authenticated","None","ACTIVE","Portfolio category list"
"GET","api/v1/portfolio","StudentPortfolioController","StudentPortfolioController","AuthenticatedActorService","StudentPortfolioPolicy","portfolio_records","Bearer Token","Student, Coordinator","None","ACTIVE","Student portfolio list"
"POST","api/v1/portfolio","StudentPortfolioController","StudentPortfolioController","AuthenticatedActorService","StudentPortfolioPolicy","portfolio_records","Bearer Token","Student","None","ACTIVE","Creates portfolio item"
"GET","api/v1/portfolio/{id}","StudentPortfolioController","StudentPortfolioController","AuthenticatedActorService","StudentPortfolioPolicy","portfolio_records","Bearer Token","Student, Coordinator","None","ACTIVE","Portfolio item detail"
"PUT","api/v1/portfolio/{id}","StudentPortfolioController","StudentPortfolioController","AuthenticatedActorService","StudentPortfolioPolicy","portfolio_records","Bearer Token","Student","None","ACTIVE","Updates portfolio item"
"DELETE","api/v1/portfolio/{id}","StudentPortfolioController","StudentPortfolioController","AuthenticatedActorService","StudentPortfolioPolicy","portfolio_records","Bearer Token","Student","None","ACTIVE","Deletes draft portfolio item"
"POST","api/v1/portfolio/{id}/evidence","StudentPortfolioController","StudentPortfolioController","EvidenceStorageService","EvidencePolicy","evidence_files","Bearer Token","Student, Personnel","None","ACTIVE","Attaches evidence file"
"POST","api/v1/portfolio/{id}/verify","StudentPortfolioController","StudentPortfolioController","AuthenticatedActorService","StudentPortfolioPolicy","portfolio_records, verification_logs","Bearer Token","Program Coordinator","None","ACTIVE","Coordinator approval"
"POST","api/v1/portfolio/{id}/request-revision","StudentPortfolioController","StudentPortfolioController","AuthenticatedActorService","StudentPortfolioPolicy","portfolio_records, verification_logs","Bearer Token","Program Coordinator","None","ACTIVE","Coordinator revision request"
"POST","api/v1/portfolio/{id}/reject","StudentPortfolioController","StudentPortfolioController","AuthenticatedActorService","StudentPortfolioPolicy","portfolio_records, verification_logs","Bearer Token","Program Coordinator","None","ACTIVE","Coordinator rejection"
"POST","api/v1/portfolio/{id}/resubmit","StudentPortfolioController","StudentPortfolioController","AuthenticatedActorService","StudentPortfolioPolicy","portfolio_records, verification_logs","Bearer Token","Student","None","ACTIVE","Student resubmission"
"GET","api/v1/program-coordinator/verification-queue","StudentPortfolioController","StudentPortfolioController","AuthenticatedActorService","StudentPortfolioPolicy","portfolio_records, student_profiles","Bearer Token","Program Coordinator","None","ACTIVE","Program-isolated queue"
"GET","api/v1/osad/awards","AwardEvaluationController","AwardEvaluationController","AwardScoringEngine","AwardPolicy","award_definitions, award_criteria","Bearer Token","OSAD Admin, Dean, Student","None","ACTIVE","Lists 15 active awards"
"POST","api/v1/osad/awards/{id}/evaluate","AwardEvaluationController","AwardEvaluationController","AwardScoringEngine","AwardPolicy","award_evaluations","Bearer Token","OSAD Admin","None","ACTIVE","Automated 80% evaluation"
"POST","api/v1/osad/awards/{id}/candidate-threshold","AwardEvaluationController","AwardEvaluationController","AwardScoringEngine","AwardPolicy","award_definitions","Bearer Token","OSAD Admin","None","ACTIVE","Updates threshold [0..100]"
"GET","api/v1/osad/awards/{id}/candidates","AwardEvaluationController","AwardEvaluationController","AwardScoringEngine","AwardPolicy","award_evaluations, student_profiles","Bearer Token","OSAD Admin, Dean","None","ACTIVE","Lists potential candidates"
"GET","api/v1/osad/awards/{id}/students/{studentId}/basis","AwardEvaluationController","AwardEvaluationController","AwardScoringEngine","AwardPolicy","award_evaluations, portfolio_records","Bearer Token","OSAD Admin, Dean, Student","None","ACTIVE","Scoring basis report"
"POST","api/v1/dean/nominations","AwardEvaluationController","AwardEvaluationController","AwardScoringEngine","AwardPolicy","dean_nominations","Bearer Token","College Dean","None","ACTIVE","Dean nomination pathway"
"GET","api/v1/evidence/student/{id}","EvidenceController","EvidenceController","EvidenceStorageService","EvidencePolicy","evidence_files","Bearer Token","Student, Coordinator, OSAD","Replaces Supabase Storage","ACTIVE","Streams student evidence"
"GET","api/v1/evidence/student/{id}/download","EvidenceController","EvidenceController","EvidenceStorageService","EvidencePolicy","evidence_files","Bearer Token","Student, Coordinator, OSAD","Replaces Supabase Storage","ACTIVE","Downloads student evidence"
"GET","api/v1/evidence/personnel/{id}","EvidenceController","EvidenceController","EvidenceStorageService","EvidencePolicy","evidence_files","Bearer Token","Personnel, Dean, HR","Replaces Supabase Storage","ACTIVE","Streams personnel evidence"
"GET","api/v1/evidence/personnel/{id}/download","EvidenceController","EvidenceController","EvidenceStorageService","EvidencePolicy","evidence_files","Bearer Token","Personnel, Dean, HR","Replaces Supabase Storage","ACTIVE","Downloads personnel evidence"
