RouteID,HttpMethod,FullPath,RouteGroup,RoutePrefix,DefinitionSource,ControllerClass,ControllerMethod,Namespace,Filters,AuthenticationRequired,RequiredAccountTypes,RequiredRoles,ScopeOwnershipRequirement,PublicProtected,FrontendCallers,FrontendContractIDs,TestCallers,ScriptCLICallers,SetupRecoveryCallers,ExternalPublicWorkflow,ResponseType,CompatibilityStatus,InitialRouteStatus,Confidence,EvidencePaths,Notes
"B-ROUTE-011","GET","/api/v1/personnel/roles","api/v1","/api/v1","backend/app/Config/Routes.php:29","App\Controllers\Api\PersonnelRoleController","index","App\Controllers\Api","cors, secureheaders","YES","hr_admin, osad_admin","hr_staff, osad_staff","Admin Authority","PROTECTED","None","None","backend/tests/PersonnelRoleTest.php","Role verification scripts","None","None","application/json","CURRENT","ACTIVE-BACKEND-ONLY","HIGH","backend/app/Config/Routes.php:29,backend/app/Controllers/Api/PersonnelRoleController.php:20","Lists active specialized role assignments"
"B-ROUTE-012","POST","/api/v1/personnel/(:segment)/roles","api/v1","/api/v1","backend/app/Config/Routes.php:31","App\Controllers\Api\PersonnelRoleController","assign","App\Controllers\Api","cors, secureheaders","YES","hr_admin, osad_admin","hr_staff, osad_staff","Admin Authority","PROTECTED","frontend/src/services/roleService.js:20","API-ROLE-001","backend/tests/PersonnelRoleTest.php","None","None","Specialized role assignment","application/json","CURRENT","ACTIVE-FRONTEND","HIGH","backend/app/Config/Routes.php:31,backend/app/Controllers/Api/PersonnelRoleController.php:40","Assigns specialized role and scope"
"B-ROUTE-013","DELETE","/api/v1/personnel/(:segment)/roles/(:segment)","api/v1","/api/v1","backend/app/Config/Routes.php:33","App\Controllers\Api\PersonnelRoleController","revoke","App\Controllers\Api","cors, secureheaders","YES","hr_admin, osad_admin","hr_staff, osad_staff","Admin Authority","PROTECTED","frontend/src/services/roleService.js:45","API-ROLE-002","backend/tests/PersonnelRoleTest.php","None","None","Specialized role revocation","application/json","CURRENT","ACTIVE-FRONTEND","HIGH","backend/app/Config/Routes.php:33,backend/app/Controllers/Api/PersonnelRoleController.php:85","Revokes specialized role assignment"
"B-ROUTE-014","POST","/api/v1/provisioning/manual-student","api/v1","/api/v1","backend/app/Config/Routes.php:37","App\Controllers\Api\TargetProvisioningController","manualStudent","App\Controllers\Api","cors, secureheaders","YES","osad_admin","osad_staff","Admin Authority","PROTECTED","None","None","backend/tests/TargetProvisioningTest.php","Seeding / Provisioning tools","Disaster Recovery user creation","None","application/json","CURRENT","ACTIVE-BACKEND-ONLY","HIGH","backend/app/Config/Routes.php:37,backend/app/Controllers/Api/TargetProvisioningController.php:30","Direct backend student account provisioning"
"B-ROUTE-015","POST","/api/v1/provisioning/manual-personnel","api/v1","/api/v1","backend/app/Config/Routes.php:39","App\Controllers\Api\TargetProvisioningController","manualPersonnel","App\Controllers\Api","cors, secureheaders","YES","hr_admin","hr_staff","Admin Authority","PROTECTED","frontend/src/pages/hr-admin/personnel-directory/OnboardPersonnelModal.jsx","None","backend/tests/TargetProvisioningTest.php","Seeding / Provisioning tools","Disaster Recovery user creation","Faculty onboarding workflow","application/json","CURRENT","ACTIVE-SHARED","HIGH","backend/app/Config/Routes.php:39,backend/app/Controllers/Api/TargetProvisioningController.php:75","Direct backend personnel onboarding & account provisioning"
"B-ROUTE-016","POST","/api/v1/provisioning/preview-roster","api/v1","/api/v1","backend/app/Config/Routes.php:42","App\Controllers\Api\ProvisioningController","previewRoster","App\Controllers\Api","cors, secureheaders","YES","hr_admin, osad_admin","hr_staff, osad_staff","Admin Authority","PROTECTED","None","None","backend/tests/ProvisioningTest.php","Bulk roster tools","None","None","application/json","COMPATIBILITY","ACTIVE-BACKEND-ONLY","HIGH","backend/app/Config/Routes.php:42,backend/app/Controllers/Api/ProvisioningController.php:35","Legacy CSV bulk roster preview endpoint"
"B-ROUTE-017","POST","/api/v1/provisioning/commit-roster","api/v1","/api/v1","backend/app/Config/Routes.php:44","App\Controllers\Api\ProvisioningController","commitRoster","App\Controllers\Api","cors, secureheaders","YES","hr_admin, osad_admin","hr_staff, osad_staff","Admin Authority","PROTECTED","None","None","backend/tests/ProvisioningTest.php","Bulk roster tools","None","None","application/json","COMPATIBILITY","ACTIVE-BACKEND-ONLY","HIGH","backend/app/Config/Routes.php:44,backend/app/Controllers/Api/ProvisioningController.php:80","Legacy CSV bulk roster commit endpoint"
"B-ROUTE-018","POST","/api/v1/accounts/(:segment)/suspend","api/v1","/api/v1","backend/app/Config/Routes.php:48","App\Controllers\Api\AccountLifecycleController","suspend","App\Controllers\Api","cors, secureheaders","YES","hr_admin, osad_admin","hr_staff, osad_staff","Admin Authority","PROTECTED","None","None","backend/tests/AccountLifecycleTest.php","Lifecycle scripts","Disaster Recovery state reset","None","application/json","CURRENT","ACTIVE-BACKEND-ONLY","HIGH","backend/app/Config/Routes.php:48,backend/app/Controllers/Api/AccountLifecycleController.php:30","Suspends user account and invalidates active tokens"
"B-ROUTE-019","POST","/api/v1/accounts/(:segment)/archive","api/v1","/api/v1","backend/app/Config/Routes.php:50","App\Controllers\Api\AccountLifecycleController","archive","App\Controllers\Api","cors, secureheaders","YES","hr_admin, osad_admin","hr_staff, osad_staff","Admin Authority","PROTECTED","None","None","backend/tests/AccountLifecycleTest.php","Lifecycle scripts","None","None","application/json","CURRENT","ACTIVE-BACKEND-ONLY","HIGH","backend/app/Config/Routes.php:50,backend/app/Controllers/Api/AccountLifecycleController.php:70","Archives account record with retention compliance"
"B-ROUTE-020","POST","/api/v1/accounts/(:segment)/restore","api/v1","/api/v1","backend/app/Config/Routes.php:52","App\Controllers\Api\AccountLifecycleController","restore","App\Controllers\Api","cors, secureheaders","YES","hr_admin, osad_admin","hr_staff, osad_staff","Admin Authority","PROTECTED","None","None","backend/tests/AccountLifecycleTest.php","Lifecycle scripts","None","None","application/json","CURRENT","ACTIVE-BACKEND-ONLY","HIGH","backend/app/Config/Routes.php:52,backend/app/Controllers/Api/AccountLifecycleController.php:110","Restores archived or suspended account"
"B-ROUTE-021","GET","/api/v1/accounts/(:segment)/lifecycle","api/v1","/api/v1","backend/app/Config/Routes.php:54","App\Controllers\Api\AccountLifecycleController","events","App\Controllers\Api","cors, secureheaders","YES","hr_admin, osad_admin","hr_staff, osad_staff","Admin Authority","PROTECTED","None","None","backend/tests/AccountLifecycleTest.php","None","None","None","application/json","CURRENT","ACTIVE-BACKEND-ONLY","HIGH","backend/app/Config/Routes.php:54,backend/app/Controllers/Api/AccountLifecycleController.php:145","Fetches account lifecycle history timeline"
"B-ROUTE-022","GET","/api/v1/hr/personnel","api/v1","/api/v1","backend/app/Config/Routes.php:87","App\Controllers\Api\TargetHRPersonnelController","directory","App\Controllers\Api","cors, secureheaders","YES","hr_admin","hr_staff","HR Staff","PROTECTED","frontend/src/hooks/useHR.js:30","API-HR-001","backend/tests/TargetHRPersonnelTest.php","None","None","HR Personnel Directory","application/json","CURRENT","ACTIVE-FRONTEND","HIGH","backend/app/Config/Routes.php:87,backend/app/Controllers/Api/TargetHRPersonnelController.php:35","Authoritative target-schema personnel directory"
"B-ROUTE-023","POST","/api/v1/hr/personnel/(:segment)/dean-role","api/v1","/api/v1","backend/app/Config/Routes.php:91","App\Controllers\Api\TargetHRPersonnelController","assignDean","App\Controllers\Api","cors, secureheaders","YES","hr_admin","hr_staff","HR Staff","PROTECTED","frontend/src/pages/hr-admin/modals/DeanAssignmentModal.jsx:55","API-HR-002","backend/tests/TargetHRPersonnelTest.php","None","None","Dean appointment","application/json","CURRENT","ACTIVE-FRONTEND","HIGH","backend/app/Config/Routes.php:91,backend/app/Controllers/Api/TargetHRPersonnelController.php:80","Assigns faculty member as College Dean"
"B-ROUTE-024","DELETE","/api/v1/hr/personnel/(:segment)/dean-role/(:segment)","api/v1","/api/v1","backend/app/Config/Routes.php:92","App\Controllers\Api\TargetHRPersonnelController","revokeDean","App\Controllers\Api","cors, secureheaders","YES","hr_admin","hr_staff","HR Staff","PROTECTED","None","None","backend/tests/TargetHRPersonnelTest.php","None","None","Dean revocation","application/json","CURRENT","ACTIVE-BACKEND-ONLY","HIGH","backend/app/Config/Routes.php:92,backend/app/Controllers/Api/TargetHRPersonnelController.php:120","Revokes College Dean role"
"B-ROUTE-025","GET","/api/v1/hr/dashboard","api/v1","/api/v1","backend/app/Config/Routes.php:102","App\Controllers\Api\HRPersonnelController","dashboard","App\Controllers\Api","cors, secureheaders","YES","hr_admin","hr_staff","HR Staff","PROTECTED","frontend/src/pages/hr-admin/HRDashboardPage.jsx:40","API-HR-003","backend/tests/HRPersonnelTest.php","None","None","HR Dashboard KPIs","application/json","CURRENT","ACTIVE-FRONTEND","HIGH","backend/app/Config/Routes.php:102,backend/app/Controllers/Api/HRPersonnelController.php:120","Institutional HR analytics KPIs"
"B-ROUTE-026","GET","/api/v1/hr/audit","api/v1","/api/v1","backend/app/Config/Routes.php:106","App\Controllers\Api\HRPersonnelController","audit","App\Controllers\Api","cors, secureheaders","YES","hr_admin","hr_staff","HR Staff","PROTECTED","frontend/src/hooks/useHRAuditTrail.js:15","API-HR-004","backend/tests/HRPersonnelTest.php","None","None","HR Audit Trail viewer","application/json","CURRENT","ACTIVE-FRONTEND","HIGH","backend/app/Config/Routes.php:106,backend/app/Controllers/Api/HRPersonnelController.php:165","Immutable HR audit trail log"
"B-ROUTE-027","GET","/api/v1/hr/evaluations","api/v1","/api/v1","backend/app/Config/Routes.php:112","App\Controllers\Api\HREvaluationController","list","App\Controllers\Api","cors, secureheaders","YES","hr_admin","hr_staff","HR Staff","PROTECTED","frontend/src/hooks/useHR.js:45","API-EVAL-001","backend/tests/HREvaluationTest.php","None","None","Evaluation submissions queue","application/json","CURRENT","ACTIVE-FRONTEND","HIGH","backend/app/Config/Routes.php:112,backend/app/Controllers/Api/HREvaluationController.php:30","Lists active faculty evaluation portfolios"
"B-ROUTE-028","POST","/api/v1/hr/evaluations/(:segment)/finalize","api/v1","/api/v1","backend/app/Config/Routes.php:123","App\Controllers\Api\HREvaluationController","finalizeEvaluation","App\Controllers\Api","cors, secureheaders","YES","hr_admin","hr_staff","HR Staff","PROTECTED","frontend/src/pages/hr-admin/evaluation-submissions/studio/StudioDecisionBar.jsx:70","API-EVAL-002","backend/tests/HREvaluationTest.php","None","None","Finalize faculty evaluation","application/json","CURRENT","ACTIVE-FRONTEND","HIGH","backend/app/Config/Routes.php:123,backend/app/Controllers/Api/HREvaluationController.php:90","Finalizes faculty evaluation and rank assignment"
"B-ROUTE-029","PATCH","/api/v1/hr/evaluations/(:segment)/items/(:segment)/rate","api/v1","/api/v1","backend/app/Config/Routes.php:129","App\Controllers\Api\HREvaluationController","rateItem","App\Controllers\Api","cors, secureheaders","YES","hr_admin","hr_staff","HR Staff","PROTECTED","frontend/src/pages/hr-admin/evaluation-submissions/studio/evaluation/CriterionEvaluation.jsx:110","API-EVAL-003","backend/tests/HREvaluationTest.php","None","None","Score faculty accomplishment","application/json","CURRENT","ACTIVE-FRONTEND","HIGH","backend/app/Config/Routes.php:129,backend/app/Controllers/Api/HREvaluationController.php:140","Rates individual faculty accomplishment evidence"
"B-ROUTE-030","GET","/api/v1/portfolio","api/v1","/api/v1","backend/app/Config/Routes.php:155","App\Controllers\Api\StudentPortfolioController","index","App\Controllers\Api","cors, secureheaders","YES","student, personnel, osad_admin","student, program_coordinator, osad_staff","Self / Scoped","PROTECTED","frontend/src/hooks/useStudentAchievements.js:25","API-PORT-001","backend/tests/StudentPortfolioTest.php","None","None","Student portfolio view","application/json","CURRENT","ACTIVE-FRONTEND","HIGH","backend/app/Config/Routes.php:155,backend/app/Controllers/Api/StudentPortfolioController.php:40","Student accomplishments and portfolio entries"
"B-ROUTE-031","POST","/api/v1/portfolio","api/v1","/api/v1","backend/app/Config/Routes.php:156","App\Controllers\Api\StudentPortfolioController","create","App\Controllers\Api","cors, secureheaders","YES","student","student","Self","PROTECTED","frontend/src/pages/student/modals/AchievementSubmissionModal.jsx:90","API-PORT-002","backend/tests/StudentPortfolioTest.php","None","None","Achievement submission","application/json","CURRENT","ACTIVE-FRONTEND","HIGH","backend/app/Config/Routes.php:156,backend/app/Controllers/Api/StudentPortfolioController.php:75","Creates student achievement submission"
"B-ROUTE-032","GET","/api/v1/program-coordinator/verification-queue","api/v1","/api/v1","backend/app/Config/Routes.php:172","App\Controllers\Api\StudentPortfolioController","coordinatorQueue","App\Controllers\Api","cors, secureheaders","YES","personnel","program_coordinator","Academic Program Scope","PROTECTED","frontend/src/hooks/useVerification.js:30","API-PORT-003","backend/tests/StudentPortfolioTest.php","None","None","Program Coordinator verification queue","application/json","CURRENT","ACTIVE-FRONTEND","HIGH","backend/app/Config/Routes.php:172,backend/app/Controllers/Api/StudentPortfolioController.php:125","In-scope student queue for Coordinator"
"B-ROUTE-033","POST","/api/v1/portfolio/(:segment)/verify","api/v1","/api/v1","backend/app/Config/Routes.php:162","App\Controllers\Api\StudentPortfolioController","verifyRecord","App\Controllers\Api","cors, secureheaders","YES","personnel","program_coordinator","Academic Program Scope","PROTECTED","frontend/src/pages/personnel/program-coordinator/CoordinatorDashboardPage.jsx:130","API-PORT-004","backend/tests/StudentPortfolioTest.php","None","None","Coordinator verification decision","application/json","CURRENT","ACTIVE-FRONTEND","HIGH","backend/app/Config/Routes.php:162,backend/app/Controllers/Api/StudentPortfolioController.php:160","Approves or requests revision on achievement"
"B-ROUTE-034","GET","/api/v1/osad/awards","api/v1","/api/v1","backend/app/Config/Routes.php:176","App\Controllers\Api\AwardEvaluationController","listAwards","App\Controllers\Api","cors, secureheaders","YES","osad_admin","osad_staff","OSAD Staff","PROTECTED","frontend/src/hooks/useOSAD.js:40","API-OSAD-001","backend/tests/AwardEvaluationTest.php","None","None","Award categories catalog","application/json","CURRENT","ACTIVE-FRONTEND","HIGH","backend/app/Config/Routes.php:176,backend/app/Controllers/Api/AwardEvaluationController.php:35","Award categories and criteria definitions"
"B-ROUTE-035","POST","/api/v1/osad/awards/(:segment)/evaluate","api/v1","/api/v1","backend/app/Config/Routes.php:178","App\Controllers\Api\AwardEvaluationController","evaluateAward","App\Controllers\Api","cors, secureheaders","YES","osad_admin","osad_staff","OSAD Staff","PROTECTED","frontend/src/services/AwardPortfolioReviewService.js:35","API-OSAD-002","backend/tests/AwardEvaluationTest.php","None","None","Award candidate evaluation engine","application/json","CURRENT","ACTIVE-FRONTEND","HIGH","backend/app/Config/Routes.php:178,backend/app/Controllers/Api/AwardEvaluationController.php:70","Evaluates candidates against 80% benchmark"
"B-ROUTE-036","GET","/api/v1/osad/awards/(:segment)/students/(:segment)/basis","api/v1","/api/v1","backend/app/Config/Routes.php:184","App\Controllers\Api\AwardEvaluationController","scoringBasis","App\Controllers\Api","cors, secureheaders","YES","osad_admin","osad_staff","OSAD Staff","PROTECTED","frontend/src/services/AwardPortfolioReviewService.js:65","API-OSAD-003","backend/tests/AwardEvaluationTest.php","None","None","Explainable scoring breakdown","application/json","CURRENT","ACTIVE-FRONTEND","HIGH","backend/app/Config/Routes.php:184,backend/app/Controllers/Api/AwardEvaluationController.php:150","Explainable scoring breakdown per candidate"
"B-ROUTE-037","GET","/api/v1/evidence/student/(:segment)","api/v1","/api/v1","backend/app/Config/Routes.php:194","App\Controllers\Api\EvidenceController","studentMetadata","App\Controllers\Api","cors, secureheaders","YES","student, personnel, osad_admin","student, program_coordinator, osad_staff","Scoped","PROTECTED","frontend/src/pages/student/modals/StudentAchievementPreviewModal.jsx:40","API-EVID-001","backend/tests/EvidenceTest.php","None","None","Evidence preview metadata","application/json","CURRENT","ACTIVE-FRONTEND","HIGH","backend/app/Config/Routes.php:194,backend/app/Controllers/Api/EvidenceController.php:30","Fetches student evidence metadata"
"B-ROUTE-038","GET","/api/v1/evidence/personnel/(:segment)/download","api/v1","/api/v1","backend/app/Config/Routes.php:201","App\Controllers\Api\EvidenceController","personnelDownload","App\Controllers\Api","cors, secureheaders","YES","personnel, hr_admin","personnel, hr_staff, dean","Scoped","PROTECTED","frontend/src/pages/hr-admin/evaluation-submissions/studio/portfolio/PortfolioNavigator.jsx:75","API-EVID-002","backend/tests/EvidenceTest.php","None","None","Streamed proof PDF download","application/pdf","CURRENT","ACTIVE-FRONTEND","HIGH","backend/app/Config/Routes.php:201,backend/app/Controllers/Api/EvidenceController.php:85","Streamed binary download of faculty evidence proof"
