ArtifactID,CurrentPath,ArtifactType,FeatureDomain,CurrentRole,CurrentCallers,CurrentClassification,CurrentFolderRationale,Problem,TargetLocation,TargetOrganizationClassification,MovePreconditions,RemovalDependency,ImportUpdateRequired,RouteUpdateRequired,TestUpdateRequired,DocumentationUpdateRequired,Phase13ANamingDependency,Phase14Action,Phase15Validation,Confidence,EvidencePaths,Notes
"ORG-FE-012","frontend/src/pages/hr-admin/personnel-directory/DiscardOnboardingDraftModal.jsx","REACT_MODAL","HR Admin / Directory","Superseded Draft Discard Modal","None (0 callers)","SUPERSEDED-COMPONENT","frontend/src/pages/hr-admin/personnel-directory/","Inlined into OnboardPersonnelModal.jsx","N/A — remove in Phase 14","REMOVE-FIRST-THEN-REEVALUATE","Confirm inlined draft discard state","Phase 12 DCE-FE-012","NONE","NONE","NONE","NONE","None","REMOVE","Onboard personnel modal smoke test","HIGH","frontend/src/pages/hr-admin/personnel-directory/DiscardOnboardingDraftModal.jsx, docs/audit/PHASE_12_DEAD_CODE_CANDIDATES.csv","Superseded modal scheduled for deletion in Phase 14"
"ORG-FE-013","frontend/src/pages/hr-admin/personnel-directory/FacultyDirectory.jsx","REACT_COMPONENT","HR Admin / Directory","Superseded Faculty Directory Table","None (0 callers)","SUPERSEDED-COMPONENT","frontend/src/pages/hr-admin/personnel-directory/","Superseded by PersonnelDirectoryTable.jsx","N/A — remove in Phase 14","REMOVE-FIRST-THEN-REEVALUATE","Confirm PersonnelDirectoryTable coverage","Phase 12 DCE-FE-013","NONE","NONE","NONE","NONE","None","REMOVE","Personnel directory table smoke test","HIGH","frontend/src/pages/hr-admin/personnel-directory/FacultyDirectory.jsx, docs/audit/PHASE_12_DEAD_CODE_CANDIDATES.csv","Superseded table component scheduled for deletion in Phase 14"
"ORG-FE-014","frontend/src/pages/hr-admin/personnel-directory/OnboardingDraftRecoveryBanner.jsx","REACT_COMPONENT","HR Admin / Directory","Superseded Draft Recovery Banner","None (0 callers)","SUPERSEDED-COMPONENT","frontend/src/pages/hr-admin/personnel-directory/","Inlined into HRPersonnelDirectoryPage.jsx dialog","N/A — remove in Phase 14","REMOVE-FIRST-THEN-REEVALUATE","Confirm inlined draft recovery dialog","Phase 12 DCE-FE-014","NONE","NONE","NONE","NONE","None","REMOVE","Personnel directory page smoke test","HIGH","frontend/src/pages/hr-admin/personnel-directory/OnboardingDraftRecoveryBanner.jsx, docs/audit/PHASE_12_DEAD_CODE_CANDIDATES.csv","Superseded banner component scheduled for deletion in Phase 14"
"ORG-FE-015","frontend/src/pages/hr-admin/modals/HRScoreAuditModal.jsx","REACT_MODAL","HR Admin / Evaluation","Superseded Score Audit Modal","None (0 callers)","SUPERSEDED-COMPONENT","frontend/src/pages/hr-admin/modals/","Inlined into studio/StudioDecisionBar.jsx","N/A — remove in Phase 14","REMOVE-FIRST-THEN-REEVALUATE","Confirm StudioDecisionBar coverage","Phase 12 DCE-FE-010","NONE","NONE","NONE","NONE","None","REMOVE","Studio evaluation smoke test","HIGH","frontend/src/pages/hr-admin/modals/HRScoreAuditModal.jsx, docs/audit/PHASE_12_DEAD_CODE_CANDIDATES.csv","Superseded audit modal scheduled for deletion in Phase 14"
"ORG-FE-016","frontend/src/pages/hr-admin/evaluation-submissions/studio/EvaluationScoreStrip.jsx","REACT_COMPONENT","HR Admin / Studio","Superseded Score Strip","None (0 callers)","SUPERSEDED-COMPONENT","frontend/src/pages/hr-admin/evaluation-submissions/studio/","Inlined directly into studio/StudioHeader.jsx","N/A — remove in Phase 14","REMOVE-FIRST-THEN-REEVALUATE","Confirm StudioHeader score display","Phase 12 DCE-FE-009","NONE","NONE","NONE","NONE","None","REMOVE","Studio evaluation smoke test","HIGH","frontend/src/pages/hr-admin/evaluation-submissions/studio/EvaluationScoreStrip.jsx, docs/audit/PHASE_12_DEAD_CODE_CANDIDATES.csv","Superseded score strip scheduled for deletion in Phase 14"
"ORG-FE-017","frontend/src/components/common/","DIRECTORY_COMMON","Common Primitives","Universal UI & Auth Guards","All Roles","COMMON-PRIMITIVES","frontend/src/components/common/","Houses universal guards (ActiveRoleGuard, AdminOnboardingGuideWidget, NotificationPopover, RouteLoadingFallback, SessionTimeoutModal)","frontend/src/components/common/","KEEP-IN-PLACE","None","None","NONE","NONE","NONE","NONE","None","KEEP","Component unit tests","HIGH","frontend/src/components/common/, docs/audit/PHASE_2_FRONTEND_ROUTE_MAP.csv","Centralized shared primitives; keep in place"
"ORG-FE-018","frontend/src/components/layout/","DIRECTORY_LAYOUT","Application Layout","Shell, Sidebar, Topbar, Footer","All Routes","LAYOUT-SHELL","frontend/src/components/layout/","Universal application chrome and navigation shell","frontend/src/components/layout/","KEEP-IN-PLACE","None","None","NONE","NONE","NONE","NONE","None","KEEP","Layout smoke tests","HIGH","frontend/src/components/layout/, docs/audit/PHASE_2_FRONTEND_ROUTE_MAP.csv","Universal application shell structure; keep in place"
"ORG-FE-019","frontend/src/components/ui/","DIRECTORY_UI","Design System Primitives","Radix & Tailwind Primitives","All Components","UI-PRIMITIVES","frontend/src/components/ui/","Atomic design system components (Button, Card, Dialog, Badge, Input, etc.)","frontend/src/components/ui/","KEEP-IN-PLACE","None","None","NONE","NONE","NONE","NONE","None","KEEP","UI component test suite","HIGH","frontend/src/components/ui/, docs/audit/PHASE_3_FRONTEND_DEPENDENCY_MAP.csv","Design system foundation; keep in place"
"ORG-FE-020","frontend/src/components/osad/","DIRECTORY_OSAD","OSAD Domain Primitives","OSAD Workflow Cards & Drawers","OSAD Admin Pages","OSAD-DOMAIN-COMPONENTS","frontend/src/components/osad/","OSAD-specific workflow components (CandidateReview, BatchAdvancement, CategoryCards, etc.)","frontend/src/components/osad/","KEEP-IN-PLACE","None","None","NONE","NONE","NONE","NONE","YES (Potential Awardees terminology in Phase 13A)","KEEP","OSAD test suite","HIGH","frontend/src/components/osad/, docs/audit/PHASE_3_FRONTEND_DEPENDENCY_MAP.csv","Domain-owned components; keep in place"
"ORG-BE-001","backend/development/verify-admin-bootstrap-full.mjs","NODE_SCRIPT","Admin Setup / Bootstrap","Historical Postgres Bootstrap Verifier (Duplicate)","None (0 callers)","DUPLICATE-SCRIPT","backend/development/","Byte-for-byte duplicate of backend/scripts/verify-admin-bootstrap-full.mjs","N/A — remove in Phase 14","REMOVE-FIRST-THEN-REEVALUATE","Verify canonical script in backend/scripts/","Phase 12 DCE-BE-001","NONE","NONE","NONE","NONE","None","REMOVE","Verify canonical script execution","HIGH","backend/development/verify-admin-bootstrap-full.mjs, docs/audit/PHASE_11_DUPLICATE_REGISTER.csv","Exact duplicate script scheduled for deletion in Phase 14"
"ORG-BE-002","backend/scripts/verify-admin-bootstrap-full.mjs","NODE_SCRIPT","Admin Setup / Bootstrap","Canonical Historical Bootstrap Verifier","None (historical retain)","HISTORICAL-RETAIN","backend/scripts/","Historical verification tooling for PostgreSQL admin bootstrap","backend/scripts/verify-admin-bootstrap-full.mjs","KEEP-IN-PLACE","None","None","NONE","NONE","NONE","NONE","None","KEEP","Historical tool reference","HIGH","backend/scripts/verify-admin-bootstrap-full.mjs, docs/audit/PHASE_12_RETAINED_NON_DEAD_ARTIFACTS.csv","Canonical historical script; retained in place for institutional record"
"ORG-BE-003","backend/development/","DIRECTORY_DEV","Development Tooling","Local Dev Setup & Provisioning","Local Developers","DEV-SCRIPTS","backend/development/","Houses local dev provisioning scripts (bootstrap-admin, provision-demo, etc.)","backend/development/","KEEP-IN-PLACE","None","None","NONE","NONE","NONE","NONE","None","KEEP","Provisioning script validation","HIGH","backend/development/, docs/audit/PHASE_8_NON_HTTP_ENTRY_POINT_REGISTER.csv","Development tooling folder; after Phase 14 duplicate removal and node_modules untracking, retain active scripts"
"ORG-BE-004","backend/app/Controllers/","DIRECTORY_FRAMEWORK","Backend HTTP Controllers","CodeIgniter API Controllers","HTTP Routes","FRAMEWORK-CONTROLLERS","backend/app/Controllers/","Standard CodeIgniter 4 controller location","backend/app/Controllers/","FRAMEWORK-KEEP-IN-PLACE","None","None","NONE","NONE","NONE","NONE","None","KEEP","PHPUnit backend controller suite","HIGH","backend/app/Controllers/, docs/audit/PHASE_5_BACKEND_ROUTE_MAP.csv","Core framework directory; preserve in place"
"ORG-BE-005","backend/app/Services/","DIRECTORY_FRAMEWORK","Backend Business Services","Core Business Engines & Policies","Controllers, Commands","FRAMEWORK-SERVICES","backend/app/Services/","Standard CodeIgniter 4 service layer location","backend/app/Services/","FRAMEWORK-KEEP-IN-PLACE","None","None","NONE","NONE","NONE","NONE","None","KEEP","PHPUnit backend service suite","HIGH","backend/app/Services/, docs/audit/PHASE_6_BACKEND_RESPONSIBILITY_MAP.csv","Core framework directory; preserve in place"
"ORG-BE-006","backend/app/Models/","DIRECTORY_FRAMEWORK","Backend Data Access","CodeIgniter Database Models","Services, Controllers","FRAMEWORK-MODELS","backend/app/Models/","Standard CodeIgniter 4 data access layer location","backend/app/Models/","FRAMEWORK-KEEP-IN-PLACE","None","None","NONE","NONE","NONE","NONE","None","KEEP","PHPUnit backend model tests","HIGH","backend/app/Models/, docs/audit/PHASE_6_BACKEND_RESPONSIBILITY_MAP.csv","Core framework directory; preserve in place"
"ORG-BE-007","backend/app/Database/","DIRECTORY_FRAMEWORK","Database Lineage","Migrations and Seeds","Spark CLI, Test Runners","FRAMEWORK-DATABASE","backend/app/Database/","Standard CodeIgniter 4 migration and seeder location","backend/app/Database/","FRAMEWORK-KEEP-IN-PLACE","None","None","NONE","NONE","NONE","NONE","None","KEEP","Migration reset & replay tests","HIGH","backend/app/Database/, docs/audit/PHASE_7_DATABASE_ARTIFACT_MAP.csv","Core framework directory; preserve in place"
"ORG-BE-008","backend/writable/backups/","DIRECTORY_RUNTIME","Runtime Storage / Backups","Automated Database Backups","MysqlDump Command","RUNTIME-BACKUPS","backend/writable/backups/","Local runtime storage for automated database defense snapshots","backend/writable/backups/","FRAMEWORK-KEEP-IN-PLACE","None","None","NONE","NONE","NONE","NONE","None","KEEP","Verify automated dump creation","HIGH","backend/writable/backups/, docs/audit/PHASE_9_DOCUMENTATION_ARTIFACT_REGISTER.csv","Runtime writable storage; local ignored backups remain in place"
"ORG-DOC-001","docs/audit/","DIRECTORY_AUDIT","Documentation / Audit Trail","Authoritative Phase Audit Reports & CSVs","Audit & Quality Assurance","AUDIT-TRAIL","docs/audit/","Authoritative repository audit artifacts (Phases 0 through 13)","docs/audit/","FRAMEWORK-KEEP-IN-PLACE","None","None","NONE","NONE","NONE","NONE","None","KEEP","Audit document link verification","HIGH","docs/audit/, docs/audit/PHASE_0_FREEZE_AND_SAFETY_BASELINE.md","Authoritative audit directory; stable across all phases"
