ContractID,FrontendCallerFile,FrontendFunction,FrontendFeatureDomain,HttpMethod,FrontendEndpoint,PathParameters,QueryParameters,RequestBodyShape,HeadersAuthExpectations,BackendRoute,BackendController,BackendMethod,BackendFilters,RequiredAccountTypes,RequiredRoles,BackendRequestValidation,BackendResponseStatus,BackendResponseShape,FrontendConsumedFields,FrontendErrorHandling,BackendErrorResponses,RuntimeTestOrBoth,CompatibilityAliasStatus,ContractMatchStatus,Confidence,EvidencePaths,Notes
"API-HR-003","frontend/src/services/hrAdminService.js","getHRDashboardKPIs()","HR Management","GET","/api/v1/hr/dashboard","None","None","None","Authorization: Bearer <token>","api/v1/hr/dashboard","Api\HRPersonnelController","dashboard()","BearerAuth","hr_admin","hr_staff","Valid HR staff session","200 OK","{""metrics"":{""total_faculty"":int,""pending_evaluations"":int,""completed_evaluations"":int,""active_deans"":int}}","metrics (total_faculty, pending_evaluations, completed_evaluations, active_deans)","Displays loading skeleton or default 0 metrics","401 Unauthorized, 403 Forbidden","BOTH","CURRENT","MATCHED","HIGH","frontend/src/pages/hr-admin/HRDashboardPage.jsx:40,backend/app/Controllers/Api/HRPersonnelController.php:120","Institutional HR analytics and action telemetry"
"API-HR-004","frontend/src/hooks/useHRAuditTrail.js","getAuditLogs()","HR Governance","GET","/api/v1/hr/audit","None","?page=1&limit=50","None","Authorization: Bearer <token>","api/v1/hr/audit","Api\HRPersonnelController","audit()","BearerAuth","hr_admin","hr_staff","Valid HR staff session","200 OK","{""data"":[{""id"":""string"",""event_type"":""string"",""actor"":""string"",""target"":""string"",""details"":""string"",""created_at"":""string""}]}","data (id, event_type, actor, target, details, created_at)","Renders empty audit timeline with refresh button","401 Unauthorized, 403 Forbidden","BOTH","CURRENT","MATCHED","HIGH","frontend/src/pages/hr-admin/HRAuditTrailPage.jsx:35,backend/app/Controllers/Api/HRPersonnelController.php:165","Immutable HR governance audit trail"
"API-EVAL-001","frontend/src/hooks/useHR.js","getEvaluationsList()","HR Evaluation","GET","/api/v1/hr/evaluations","None","?status=UNDER_REVIEW|FINALIZED","None","Authorization: Bearer <token>","api/v1/hr/evaluations","Api\HREvaluationController","list()","BearerAuth","hr_admin","hr_staff","Valid HR staff session","200 OK","{""data"":[{""id"":""string"",""faculty_id"":""string"",""faculty_name"":""string"",""stage"":""string"",""total_points"":float,""updated_at"":""string""}]}","data (id, faculty_id, faculty_name, stage, total_points, updated_at)","Displays evaluation queue empty state","401 Unauthorized, 403 Forbidden","BOTH","CURRENT","MATCHED","HIGH","frontend/src/pages/hr-admin/HREvaluationSubmissionsPage.jsx:45,backend/app/Controllers/Api/HREvaluationController.php:30","Lists active faculty evaluation portfolios and rating stages"
"API-EVAL-002","frontend/src/pages/hr-admin/evaluation-submissions/studio/StudioDecisionBar.jsx","finalizeEvaluation(evaluationId, payload)","HR Evaluation","POST","/api/v1/hr/evaluations/:id/finalize",":id (string)","None","{""final_score"":float,""remarks"":""string""}","Authorization: Bearer <token>, Content-Type: application/json","api/v1/hr/evaluations/(:segment)/finalize","Api\HREvaluationController","finalizeEvaluation($1)","BearerAuth","hr_admin","hr_staff","evaluationId: required, final_score: required|numeric","200 OK","{""status"":""FINALIZED"",""evaluation_id"":""string"",""final_rank"":""string""}","status, evaluation_id, final_rank","Displays final rank modal or validation error toast","400 Validation Error, 401 Unauthorized, 403 Forbidden","BOTH","CURRENT","MATCHED","HIGH","frontend/src/pages/hr-admin/evaluation-submissions/studio/StudioDecisionBar.jsx:70,backend/app/Controllers/Api/HREvaluationController.php:90","Finalizes faculty evaluation and triggers promotional rank assignment"
"API-EVAL-003","frontend/src/pages/hr-admin/evaluation-submissions/studio/evaluation/CriterionEvaluation.jsx","rateItem(evaluationId, itemId, payload)","HR Evaluation","PATCH","/api/v1/hr/evaluations/:id/items/:itemId/rate",":id (string), :itemId (string)","None","{""criterion_id"":""string"",""points_awarded"":float,""remarks"":""string""}","Authorization: Bearer <token>, Content-Type: application/json","api/v1/hr/evaluations/(:segment)/items/(:segment)/rate","Api\HREvaluationController","rateItem($1, $2)","BearerAuth","hr_admin","hr_staff","points_awarded: required|numeric|greater_than_equal_to[0]","200 OK","{""status"":""RATED"",""item_id"":""string"",""points_awarded"":float,""total_running_points"":float}","status, item_id, points_awarded, total_running_points","Updates live score strip in evaluation studio","400 Bad Request, 401 Unauthorized, 403 Forbidden","BOTH","CURRENT","MATCHED","HIGH","frontend/src/pages/hr-admin/evaluation-submissions/studio/evaluation/CriterionEvaluation.jsx:110,backend/app/Controllers/Api/HREvaluationController.php:140","Evaluates and records points for individual faculty accomplishment evidence"
"API-PORT-001","frontend/src/hooks/useStudentAchievements.js","getStudentPortfolio()","Student Portfolio","GET","/api/v1/portfolio","None","?student_id=...","None","Authorization: Bearer <token>","api/v1/portfolio","Api\StudentPortfolioController","index()","BearerAuth","student, personnel, osad_admin","student, program_coordinator, osad_staff","Valid authenticated session","200 OK","{""data"":[{""id"":""string"",""title"":""string"",""category_name"":""string"",""points"":float,""status"":""VERIFIED|PENDING|REVISION_REQUESTED"",""evidence_files"":[]}]}","data (id, title, category_name, points, status, evidence_files)","Shows empty portfolio placeholder","401 Unauthorized, 403 Forbidden","BOTH","CURRENT","MATCHED","HIGH","frontend/src/pages/student/StudentPortfolioPage.jsx:35,backend/app/Controllers/Api/StudentPortfolioController.php:40","Student accomplishments and verified portfolio entries"
"API-PORT-002","frontend/src/pages/student/modals/AchievementSubmissionModal.jsx","createPortfolioEntry(payload)","Student Portfolio","POST","/api/v1/portfolio","None","None","{""title"":""string"",""category_id"":""string"",""description"":""string"",""date_accomplished"":""string""}","Authorization: Bearer <token>, Content-Type: application/json","api/v1/portfolio","Api\StudentPortfolioController","create()","BearerAuth","student","student","title: required|string, category_id: required|string, date_accomplished: required|valid_date","201 Created","{""id"":""string"",""status"":""PENDING"",""message"":""Submission received""}","id, status, message","Displays toast confirmation and adds entry to list","400 Validation Error, 401 Unauthorized","BOTH","CURRENT","MATCHED","HIGH","frontend/src/pages/student/modals/AchievementSubmissionModal.jsx:90,backend/app/Controllers/Api/StudentPortfolioController.php:75","Submits student accomplishment record for Program Coordinator verification"
"API-PORT-003","frontend/src/hooks/useVerification.js","getCoordinatorQueue()","Program Coordinator Verification","GET","/api/v1/program-coordinator/verification-queue","None","None","None","Authorization: Bearer <token>","api/v1/program-coordinator/verification-queue","Api\StudentPortfolioController","coordinatorQueue()","BearerAuth","personnel","program_coordinator","Coordinator must have assigned program scope","200 OK","{""data"":[{""id"":""string"",""student_name"":""string"",""student_id"":""string"",""title"":""string"",""category"":""string"",""created_at"":""string""}]}","data (id, student_name, student_id, title, category, created_at)","Displays empty queue state","401 Unauthorized, 403 Forbidden (no program scope)","BOTH","CURRENT","MATCHED","HIGH","frontend/src/pages/personnel/program-coordinator/CoordinatorDashboardPage.jsx:65,backend/app/Controllers/Api/StudentPortfolioController.php:125","In-scope student submissions queue for Program Coordinator verification"
"API-PORT-004","frontend/src/pages/personnel/program-coordinator/CoordinatorDashboardPage.jsx","verifyRecord(recordId, payload)","Program Coordinator Verification","POST","/api/v1/portfolio/:id/verify",":id (string)","None","{""decision"":""APPROVED|REJECTED|REVISION_REQUESTED"",""remarks"":""string""}","Authorization: Bearer <token>, Content-Type: application/json","api/v1/portfolio/(:segment)/verify","Api\StudentPortfolioController","verifyRecord($1)","BearerAuth","personnel","program_coordinator","recordId: required, decision: required|in_list[APPROVED,REJECTED,REVISION_REQUESTED]","200 OK","{""status"":""VERIFIED"",""record_id"":""string"",""message"":""Decision recorded""}","status, record_id, message","Removes item from queue and shows success toast","400 Bad Request, 401 Unauthorized, 403 Forbidden","BOTH","CURRENT","MATCHED","HIGH","frontend/src/pages/personnel/program-coordinator/CoordinatorDashboardPage.jsx:130,backend/app/Controllers/Api/StudentPortfolioController.php:160","Coordinator records official verification decision on student accomplishment"
"API-OSAD-001","frontend/src/hooks/useOSAD.js","getAwardsList()","OSAD Awards","GET","/api/v1/osad/awards","None","None","None","Authorization: Bearer <token>","api/v1/osad/awards","Api\AwardEvaluationController","listAwards()","BearerAuth","osad_admin","osad_staff","Valid OSAD staff session","200 OK","{""data"":[{""id"":""string"",""title"":""string"",""category"":""string"",""min_points"":float,""weight_multiplier"":float,""candidate_threshold_percentage"":float}]}","data (id, title, category, min_points, weight_multiplier, candidate_threshold_percentage)","Displays award category cards with fallback defaults","401 Unauthorized, 403 Forbidden","BOTH","CURRENT","MATCHED","HIGH","frontend/src/pages/osad-admin/OSADAwardCategoriesPage.jsx:30,backend/app/Controllers/Api/AwardEvaluationController.php:35","Authoritative award categories and evaluation threshold definitions"
"API-OSAD-002","frontend/src/services/AwardPortfolioReviewService.js","evaluateAwardCandidates(awardId)","OSAD Awards","POST","/api/v1/osad/awards/:id/evaluate",":id (string)","None","None","Authorization: Bearer <token>","api/v1/osad/awards/(:segment)/evaluate","Api\AwardEvaluationController","evaluateAward($1)","BearerAuth","osad_admin","osad_staff","awardId: required|is_natural_no_zero","200 OK","{""award_id"":""string"",""candidates_evaluated"":int,""candidates"":[{""student_id"":""string"",""full_name"":""string"",""total_verified_points"":float,""percentage_of_benchmark"":float,""qualified"":bool}]}","award_id, candidates_evaluated, candidates (student_id, full_name, total_verified_points, percentage_of_benchmark, qualified)","Displays candidate review table in OSADAwardCandidateReviewPage","400 Bad Request, 401 Unauthorized, 403 Forbidden, 404 Award Not Found","BOTH","CURRENT","MATCHED","HIGH","frontend/src/pages/osad-admin/OSADAwardCandidateReviewPage.jsx:65,backend/app/Controllers/Api/AwardEvaluationController.php:70","Authoritative backend computation of the 80% evaluation benchmark across verified portfolios"
"API-OSAD-003","frontend/src/services/AwardPortfolioReviewService.js","getStudentScoringBasis(awardId, studentId)","OSAD Awards","GET","/api/v1/osad/awards/:id/students/:studentId/basis",":id (string), :studentId (string)","None","None","Authorization: Bearer <token>","api/v1/osad/awards/(:segment)/students/(:segment)/basis","Api\AwardEvaluationController","scoringBasis($1, $2)","BearerAuth","osad_admin","osad_staff","awardId: required, studentId: required","200 OK","{""award_title"":""string"",""student_name"":""string"",""scoring_breakdown"":[{""category"":""string"",""points_earned"":float,""weighted_points"":float,""verified_by"":""string""}]}","award_title, student_name, scoring_breakdown","Displays explainable scoring drawer for OSAD reviewer","401 Unauthorized, 403 Forbidden, 404 Not Found","BOTH","CURRENT","MATCHED","HIGH","frontend/src/pages/osad-admin/OSADAwardCandidateReviewPage.jsx:120,backend/app/Controllers/Api/AwardEvaluationController.php:150","Transparent point-by-point scoring basis explaining candidate qualification"
"API-EVID-001","frontend/src/pages/personnel/modals/AchievementPreviewModal.jsx","getEvidenceMetadata(evidenceId)","Evidence Storage","GET","/api/v1/evidence/student/:id",":id (string)","None","None","Authorization: Bearer <token>","api/v1/evidence/student/(:segment)","Api\EvidenceController","studentMetadata($1)","BearerAuth","student, personnel, osad_admin","student, program_coordinator, osad_staff","evidenceId: required","200 OK","{""id"":""string"",""file_name"":""string"",""file_size"":int,""mime_type"":""string"",""uploaded_at"":""string""}","id, file_name, file_size, mime_type","Shows evidence preview error modal","401 Unauthorized, 403 Forbidden, 404 File Not Found","BOTH","CURRENT","MATCHED","HIGH","frontend/src/pages/student/modals/StudentAchievementPreviewModal.jsx:40,backend/app/Controllers/Api/EvidenceController.php:30","Fetches student evidence attachment metadata"
"API-EVID-002","frontend/src/pages/hr-admin/evaluation-submissions/studio/portfolio/PortfolioNavigator.jsx","downloadPersonnelEvidence(evidenceId)","Evidence Storage","GET","/api/v1/evidence/personnel/:id/download",":id (string)","None","None","Authorization: Bearer <token>","api/v1/evidence/personnel/(:segment)/download","Api\EvidenceController","personnelDownload($1)","BearerAuth","personnel, hr_admin","personnel, hr_staff, dean","evidenceId: required","200 OK (Binary Stream)","application/pdf / image stream with Content-Disposition header","Blob stream","Triggers browser PDF/Image download or in-app preview blob URL","401 Unauthorized, 403 Forbidden, 404 File Not Found","BOTH","CURRENT","MATCHED","HIGH","frontend/src/pages/hr-admin/evaluation-submissions/studio/portfolio/PortfolioNavigator.jsx:75,backend/app/Controllers/Api/EvidenceController.php:85","Secure streamed download of faculty proof documents"
