Path,Name,Extension,TrackedState,ItemType,LayerZone,FeatureDomain,ApparentResponsibility,FrameworkToolOwnership,RuntimeRelevance,TestRelevance,ScriptOperationalRelevance,DocumentationHistoryRelevance,InitialClassification,Confidence,NeedsDeeperTrace,Notes
".agents/skills/supabase-postgres-best-practices/references/conn-prepared-statements.md","conn-prepared-statements.md",".md","TRACKED","DOCUMENTATION","ROOT_SUPPORT","reference-data","Agent customization skill reference guide (supabase-postgres-best-practices)","Project custom","NO","NO","NO","YES","DOCUMENTATION","HIGH","NO","Agent/Claude skill documentation"
".agents/skills/supabase-postgres-best-practices/references/data-batch-inserts.md","data-batch-inserts.md",".md","TRACKED","DOCUMENTATION","ROOT_SUPPORT","reference-data","Agent customization skill reference guide (supabase-postgres-best-practices)","Project custom","NO","NO","NO","YES","DOCUMENTATION","HIGH","NO","Agent/Claude skill documentation"
".agents/skills/supabase-postgres-best-practices/references/data-n-plus-one.md","data-n-plus-one.md",".md","TRACKED","DOCUMENTATION","ROOT_SUPPORT","reference-data","Agent customization skill reference guide (supabase-postgres-best-practices)","Project custom","NO","NO","NO","YES","DOCUMENTATION","HIGH","NO","Agent/Claude skill documentation"
".agents/skills/supabase-postgres-best-practices/references/data-pagination.md","data-pagination.md",".md","TRACKED","DOCUMENTATION","ROOT_SUPPORT","reference-data","Agent customization skill reference guide (supabase-postgres-best-practices)","Project custom","NO","NO","NO","YES","DOCUMENTATION","HIGH","NO","Agent/Claude skill documentation"
".agents/skills/supabase-postgres-best-practices/references/data-upsert.md","data-upsert.md",".md","TRACKED","DOCUMENTATION","ROOT_SUPPORT","reference-data","Agent customization skill reference guide (supabase-postgres-best-practices)","Project custom","NO","NO","NO","YES","DOCUMENTATION","HIGH","NO","Agent/Claude skill documentation"
".agents/skills/supabase-postgres-best-practices/references/lock-advisory.md","lock-advisory.md",".md","TRACKED","DOCUMENTATION","ROOT_SUPPORT","reference-data","Agent customization skill reference guide (supabase-postgres-best-practices)","Project custom","NO","NO","NO","YES","DOCUMENTATION","HIGH","NO","Agent/Claude skill documentation"
".agents/skills/supabase-postgres-best-practices/references/lock-deadlock-prevention.md","lock-deadlock-prevention.md",".md","TRACKED","DOCUMENTATION","ROOT_SUPPORT","reference-data","Agent customization skill reference guide (supabase-postgres-best-practices)","Project custom","NO","NO","NO","YES","DOCUMENTATION","HIGH","NO","Agent/Claude skill documentation"
".agents/skills/supabase-postgres-best-practices/references/lock-short-transactions.md","lock-short-transactions.md",".md","TRACKED","DOCUMENTATION","ROOT_SUPPORT","reference-data","Agent customization skill reference guide (supabase-postgres-best-practices)","Project custom","NO","NO","NO","YES","DOCUMENTATION","HIGH","NO","Agent/Claude skill documentation"
".agents/skills/supabase-postgres-best-practices/references/lock-skip-locked.md","lock-skip-locked.md",".md","TRACKED","DOCUMENTATION","ROOT_SUPPORT","reference-data","Agent customization skill reference guide (supabase-postgres-best-practices)","Project custom","NO","NO","NO","YES","DOCUMENTATION","HIGH","NO","Agent/Claude skill documentation"
".agents/skills/supabase-postgres-best-practices/references/monitor-explain-analyze.md","monitor-explain-analyze.md",".md","TRACKED","DOCUMENTATION","ROOT_SUPPORT","reference-data","Agent customization skill reference guide (supabase-postgres-best-practices)","Project custom","NO","NO","NO","YES","DOCUMENTATION","HIGH","NO","Agent/Claude skill documentation"
".agents/skills/supabase-postgres-best-practices/references/monitor-pg-stat-statements.md","monitor-pg-stat-statements.md",".md","TRACKED","DOCUMENTATION","ROOT_SUPPORT","reference-data","Agent customization skill reference guide (supabase-postgres-best-practices)","Project custom","NO","NO","NO","YES","DOCUMENTATION","HIGH","NO","Agent/Claude skill documentation"
".agents/skills/supabase-postgres-best-practices/references/monitor-vacuum-analyze.md","monitor-vacuum-analyze.md",".md","TRACKED","DOCUMENTATION","ROOT_SUPPORT","reference-data","Agent customization skill reference guide (supabase-postgres-best-practices)","Project custom","NO","NO","NO","YES","DOCUMENTATION","HIGH","NO","Agent/Claude skill documentation"
".agents/skills/supabase-postgres-best-practices/references/query-composite-indexes.md","query-composite-indexes.md",".md","TRACKED","DOCUMENTATION","ROOT_SUPPORT","reference-data","Agent customization skill reference guide (supabase-postgres-best-practices)","Project custom","NO","NO","NO","YES","DOCUMENTATION","HIGH","NO","Agent/Claude skill documentation"
".agents/skills/supabase-postgres-best-practices/references/query-covering-indexes.md","query-covering-indexes.md",".md","TRACKED","DOCUMENTATION","ROOT_SUPPORT","reference-data","Agent customization skill reference guide (supabase-postgres-best-practices)","Project custom","NO","NO","NO","YES","DOCUMENTATION","HIGH","NO","Agent/Claude skill documentation"
".agents/skills/supabase-postgres-best-practices/references/query-index-types.md","query-index-types.md",".md","TRACKED","DOCUMENTATION","ROOT_SUPPORT","reference-data","Agent customization skill reference guide (supabase-postgres-best-practices)","Project custom","NO","NO","NO","YES","DOCUMENTATION","HIGH","NO","Agent/Claude skill documentation"
".agents/skills/supabase-postgres-best-practices/references/query-missing-indexes.md","query-missing-indexes.md",".md","TRACKED","DOCUMENTATION","ROOT_SUPPORT","reference-data","Agent customization skill reference guide (supabase-postgres-best-practices)","Project custom","NO","NO","NO","YES","DOCUMENTATION","HIGH","NO","Agent/Claude skill documentation"
".agents/skills/supabase-postgres-best-practices/references/query-partial-indexes.md","query-partial-indexes.md",".md","TRACKED","DOCUMENTATION","ROOT_SUPPORT","reference-data","Agent customization skill reference guide (supabase-postgres-best-practices)","Project custom","NO","NO","NO","YES","DOCUMENTATION","HIGH","NO","Agent/Claude skill documentation"
".agents/skills/supabase-postgres-best-practices/references/schema-constraints.md","schema-constraints.md",".md","TRACKED","DOCUMENTATION","ROOT_SUPPORT","reference-data","Agent customization skill reference guide (supabase-postgres-best-practices)","Project custom","NO","NO","NO","YES","DOCUMENTATION","HIGH","NO","Agent/Claude skill documentation"
".agents/skills/supabase-postgres-best-practices/references/schema-data-types.md","schema-data-types.md",".md","TRACKED","DOCUMENTATION","ROOT_SUPPORT","reference-data","Agent customization skill reference guide (supabase-postgres-best-practices)","Project custom","NO","NO","NO","YES","DOCUMENTATION","HIGH","NO","Agent/Claude skill documentation"
".agents/skills/supabase-postgres-best-practices/references/schema-foreign-key-indexes.md","schema-foreign-key-indexes.md",".md","TRACKED","DOCUMENTATION","ROOT_SUPPORT","reference-data","Agent customization skill reference guide (supabase-postgres-best-practices)","Project custom","NO","NO","NO","YES","DOCUMENTATION","HIGH","NO","Agent/Claude skill documentation"
".agents/skills/supabase-postgres-best-practices/references/schema-lowercase-identifiers.md","schema-lowercase-identifiers.md",".md","TRACKED","DOCUMENTATION","ROOT_SUPPORT","reference-data","Agent customization skill reference guide (supabase-postgres-best-practices)","Project custom","NO","NO","NO","YES","DOCUMENTATION","HIGH","NO","Agent/Claude skill documentation"
".agents/skills/supabase-postgres-best-practices/references/schema-partitioning.md","schema-partitioning.md",".md","TRACKED","DOCUMENTATION","ROOT_SUPPORT","reference-data","Agent customization skill reference guide (supabase-postgres-best-practices)","Project custom","NO","NO","NO","YES","DOCUMENTATION","HIGH","NO","Agent/Claude skill documentation"
".agents/skills/supabase-postgres-best-practices/references/schema-primary-keys.md","schema-primary-keys.md",".md","TRACKED","DOCUMENTATION","ROOT_SUPPORT","reference-data","Agent customization skill reference guide (supabase-postgres-best-practices)","Project custom","NO","NO","NO","YES","DOCUMENTATION","HIGH","NO","Agent/Claude skill documentation"
".agents/skills/supabase-postgres-best-practices/references/security-privileges.md","security-privileges.md",".md","TRACKED","DOCUMENTATION","ROOT_SUPPORT","reference-data","Agent customization skill reference guide (supabase-postgres-best-practices)","Project custom","NO","NO","NO","YES","DOCUMENTATION","HIGH","NO","Agent/Claude skill documentation"
".agents/skills/supabase-postgres-best-practices/references/security-rls-basics.md","security-rls-basics.md",".md","TRACKED","DOCUMENTATION","ROOT_SUPPORT","reference-data","Agent customization skill reference guide (supabase-postgres-best-practices)","Project custom","NO","NO","NO","YES","DOCUMENTATION","HIGH","NO","Agent/Claude skill documentation"
".agents/skills/supabase-postgres-best-practices/references/security-rls-performance.md","security-rls-performance.md",".md","TRACKED","DOCUMENTATION","ROOT_SUPPORT","reference-data","Agent customization skill reference guide (supabase-postgres-best-practices)","Project custom","NO","NO","NO","YES","DOCUMENTATION","HIGH","NO","Agent/Claude skill documentation"
".agents/skills/supabase/CHANGELOG.md","CHANGELOG.md",".md","TRACKED","DOCUMENTATION","ROOT_SUPPORT","reference-data","Agent customization skill reference guide (supabase)","Project custom","NO","NO","NO","YES","DOCUMENTATION","HIGH","NO","Agent/Claude skill documentation"
".agents/skills/supabase/SKILL.md","SKILL.md",".md","TRACKED","DOCUMENTATION","ROOT_SUPPORT","reference-data","Agent customization skill reference guide (supabase)","Project custom","NO","NO","NO","YES","DOCUMENTATION","HIGH","NO","Agent/Claude skill documentation"
".agents/skills/supabase/assets/feedback-issue-template.md","feedback-issue-template.md",".md","TRACKED","DOCUMENTATION","ROOT_SUPPORT","reference-data","Agent customization skill reference guide (supabase)","Project custom","NO","NO","NO","YES","DOCUMENTATION","HIGH","NO","Agent/Claude skill documentation"
".agents/skills/supabase/references/skill-feedback.md","skill-feedback.md",".md","TRACKED","DOCUMENTATION","ROOT_SUPPORT","reference-data","Agent customization skill reference guide (supabase)","Project custom","NO","NO","NO","YES","DOCUMENTATION","HIGH","NO","Agent/Claude skill documentation"
".claude/skills/saas-design/SKILL.md","SKILL.md",".md","TRACKED","DOCUMENTATION","ROOT_SUPPORT","layout","Claude skill documentation for SaaS design","Project custom","NO","NO","NO","YES","DOCUMENTATION","HIGH","NO","Agent/Claude skill documentation"
".github/workflows/windows-verification.yml","windows-verification.yml",".yml","TRACKED","CONFIG","OPERATIONS","testing","GitHub Actions CI verification workflow","Git","NO","YES","YES","NO","SCRIPT-ONLY-CANDIDATE","HIGH","NO",""
".gitignore",".gitignore",".gitignore","TRACKED","CONFIG","ROOT_SUPPORT","shared","Root Git ignore configuration","Git","NO","NO","NO","NO","FRAMEWORK / GENERATED","HIGH","NO",""
"AchieveNest-Test_Pre_Phase7_2026-08-28_0036.dump","AchieveNest-Test_Pre_Phase7_2026-08-28_0036.dump",".dump","TRACKED","DATABASE_DUMP","DATABASE","migration","Pre-Phase 7 baseline database dump snapshot","Project custom","NO","NO","NO","YES","REVIEW REQUIRED","HIGH","YES","Root database dump snapshot (565 KB)"
"AchieveNest_Phase_2_Pre_Execution_Migration_Code_Review.md","AchieveNest_Phase_2_Pre_Execution_Migration_Code_Review.md",".md","TRACKED","DOCUMENTATION","DOCUMENTATION","shared","Root-level documentation / historical phase report","Project custom","NO","NO","NO","YES","DOCUMENTATION","HIGH","YES","Root-level markdown report"
"AchieveNest_Phase_4_Fresh_Disposable_Database_Build_Report.md","AchieveNest_Phase_4_Fresh_Disposable_Database_Build_Report.md",".md","TRACKED","DOCUMENTATION","DOCUMENTATION","shared","Root-level documentation / historical phase report","Project custom","NO","NO","NO","YES","DOCUMENTATION","HIGH","YES","Root-level markdown report"
"AchieveNest_Phase_5_Reset_and_Replay_Validation_Report.md","AchieveNest_Phase_5_Reset_and_Replay_Validation_Report.md",".md","TRACKED","DOCUMENTATION","DOCUMENTATION","shared","Root-level documentation / historical phase report","Project custom","NO","NO","NO","YES","DOCUMENTATION","HIGH","YES","Root-level markdown report"
"AchieveNest_Phase_6_Fresh_Build_vs_Current_Test_Reconciliation_Report.md","AchieveNest_Phase_6_Fresh_Build_vs_Current_Test_Reconciliation_Report.md",".md","TRACKED","DOCUMENTATION","DOCUMENTATION","shared","Root-level documentation / historical phase report","Project custom","NO","NO","NO","YES","DOCUMENTATION","HIGH","YES","Root-level markdown report"
"AchieveNest_Phase_7_Test_Reconciliation_Report.md","AchieveNest_Phase_7_Test_Reconciliation_Report.md",".md","TRACKED","DOCUMENTATION","DOCUMENTATION","shared","Root-level documentation / historical phase report","Project custom","NO","NO","NO","YES","DOCUMENTATION","HIGH","YES","Root-level markdown report"
"AchieveNest_Phase_8_Application_Security_and_Role_Based_E2E_Validation_Report.md","AchieveNest_Phase_8_Application_Security_and_Role_Based_E2E_Validation_Report.md",".md","TRACKED","DOCUMENTATION","DOCUMENTATION","shared","Root-level documentation / historical phase report","Project custom","NO","NO","NO","YES","DOCUMENTATION","HIGH","YES","Root-level markdown report"
"AchieveNest_Phase_8_E2E_Test_Matrix.md","AchieveNest_Phase_8_E2E_Test_Matrix.md",".md","TRACKED","DOCUMENTATION","DOCUMENTATION","shared","Root-level documentation / historical phase report","Project custom","NO","NO","NO","YES","DOCUMENTATION","HIGH","YES","Root-level markdown report"
"USER_WORKFLOW_AND_IMPROVEMENTS.md","USER_WORKFLOW_AND_IMPROVEMENTS.md",".md","TRACKED","DOCUMENTATION","DOCUMENTATION","shared","Root-level documentation / historical phase report","Project custom","NO","NO","NO","YES","DOCUMENTATION","HIGH","YES","Root-level markdown report"
"backend/.env.example",".env.example",".example","TRACKED","CONFIG","BACKEND","UNKNOWN / REVIEW REQUIRED","Backend root configuration / environment template","CodeIgniter","LIKELY","NO","NO","NO","ACTIVE-CANDIDATE","HIGH","YES",""
"backend/.gitignore",".gitignore",".gitignore","TRACKED","CONFIG","BACKEND","UNKNOWN / REVIEW REQUIRED","Backend root configuration / environment template","CodeIgniter","LIKELY","NO","NO","NO","ACTIVE-CANDIDATE","HIGH","YES",""
"backend/LICENSE","LICENSE","","TRACKED","CONFIG","BACKEND","UNKNOWN / REVIEW REQUIRED","Backend root configuration / environment template","CodeIgniter","LIKELY","NO","NO","NO","ACTIVE-CANDIDATE","HIGH","YES",""
"backend/README.md","README.md",".md","TRACKED","CONFIG","BACKEND","UNKNOWN / REVIEW REQUIRED","Backend root configuration / environment template","CodeIgniter","LIKELY","NO","NO","NO","ACTIVE-CANDIDATE","HIGH","YES",""
"backend/app/.htaccess",".htaccess",".htaccess","TRACKED","CONFIG","BACKEND","UNKNOWN / REVIEW REQUIRED","Backend root configuration / environment template","CodeIgniter","LIKELY","NO","NO","NO","ACTIVE-CANDIDATE","HIGH","YES",""
"backend/app/Commands/DemoReset.php","DemoReset.php",".php","TRACKED","COMMAND","OPERATIONS","testing","CodeIgniter Spark CLI command for testing / verification","CodeIgniter","NO","YES","YES","NO","SCRIPT-ONLY-CANDIDATE","HIGH","YES",""
"backend/app/Commands/TestHealthEndpoint.php","TestHealthEndpoint.php",".php","TRACKED","COMMAND","OPERATIONS","testing","CodeIgniter Spark CLI command for testing / verification","CodeIgniter","NO","YES","YES","NO","SCRIPT-ONLY-CANDIDATE","HIGH","YES",""
"backend/app/Commands/VerifyDbConnection.php","VerifyDbConnection.php",".php","TRACKED","COMMAND","OPERATIONS","testing","CodeIgniter Spark CLI command for testing / verification","CodeIgniter","NO","YES","YES","NO","SCRIPT-ONLY-CANDIDATE","HIGH","YES",""
"backend/app/Commands/VerifyPhase11ReferenceData.php","VerifyPhase11ReferenceData.php",".php","TRACKED","COMMAND","OPERATIONS","testing","CodeIgniter Spark CLI command for testing / verification","CodeIgniter","NO","YES","YES","NO","SCRIPT-ONLY-CANDIDATE","HIGH","YES",""
"backend/app/Commands/VerifyPhase12Demo.php","VerifyPhase12Demo.php",".php","TRACKED","COMMAND","OPERATIONS","testing","CodeIgniter Spark CLI command for testing / verification","CodeIgniter","NO","YES","YES","NO","SCRIPT-ONLY-CANDIDATE","HIGH","YES",""
"backend/app/Commands/VerifyPhase13Step4Local.php","VerifyPhase13Step4Local.php",".php","TRACKED","COMMAND","OPERATIONS","testing","CodeIgniter Spark CLI command for testing / verification","CodeIgniter","NO","YES","YES","NO","SCRIPT-ONLY-CANDIDATE","HIGH","YES",""
"backend/app/Commands/VerifyPhase14Awards.php","VerifyPhase14Awards.php",".php","TRACKED","COMMAND","OPERATIONS","testing","CodeIgniter Spark CLI command for testing / verification","CodeIgniter","NO","YES","YES","NO","SCRIPT-ONLY-CANDIDATE","HIGH","YES",""
"backend/app/Commands/VerifyPhase14Workflows.php","VerifyPhase14Workflows.php",".php","TRACKED","COMMAND","OPERATIONS","testing","CodeIgniter Spark CLI command for testing / verification","CodeIgniter","NO","YES","YES","NO","SCRIPT-ONLY-CANDIDATE","HIGH","YES",""
"backend/app/Commands/VerifyPhase15BackendRegression.php","VerifyPhase15BackendRegression.php",".php","TRACKED","COMMAND","OPERATIONS","testing","CodeIgniter Spark CLI command for testing / verification","CodeIgniter","NO","YES","YES","NO","SCRIPT-ONLY-CANDIDATE","HIGH","YES",""
"backend/app/Commands/VerifyPhase18DisasterRecovery.php","VerifyPhase18DisasterRecovery.php",".php","TRACKED","COMMAND","OPERATIONS","testing","CodeIgniter Spark CLI command for testing / verification","CodeIgniter","NO","YES","YES","NO","SCRIPT-ONLY-CANDIDATE","HIGH","YES",""
"backend/app/Commands/VerifyPhase7Auth.php","VerifyPhase7Auth.php",".php","TRACKED","COMMAND","OPERATIONS","testing","CodeIgniter Spark CLI command for testing / verification","CodeIgniter","NO","YES","YES","NO","SCRIPT-ONLY-CANDIDATE","HIGH","YES",""
"backend/app/Commands/VerifyPhase8Authz.php","VerifyPhase8Authz.php",".php","TRACKED","COMMAND","OPERATIONS","testing","CodeIgniter Spark CLI command for testing / verification","CodeIgniter","NO","YES","YES","NO","SCRIPT-ONLY-CANDIDATE","HIGH","YES",""
"backend/app/Commands/VerifyPhase9Storage.php","VerifyPhase9Storage.php",".php","TRACKED","COMMAND","OPERATIONS","testing","CodeIgniter Spark CLI command for testing / verification","CodeIgniter","NO","YES","YES","NO","SCRIPT-ONLY-CANDIDATE","HIGH","YES",""
"backend/app/Common.php","Common.php",".php","TRACKED","CONFIG","BACKEND","UNKNOWN / REVIEW REQUIRED","Backend root configuration / environment template","CodeIgniter","LIKELY","NO","NO","NO","ACTIVE-CANDIDATE","HIGH","YES",""
"backend/app/Config/App.php","App.php",".php","TRACKED","CONFIG","BACKEND","shared","CodeIgniter application and module configuration","CodeIgniter","LIKELY","NO","NO","NO","ACTIVE-CANDIDATE","HIGH","YES",""
"backend/app/Config/Autoload.php","Autoload.php",".php","TRACKED","CONFIG","BACKEND","shared","CodeIgniter application and module configuration","CodeIgniter","LIKELY","NO","NO","NO","ACTIVE-CANDIDATE","HIGH","YES",""
"backend/app/Config/Boot/development.php","development.php",".php","TRACKED","CONFIG","BACKEND","shared","CodeIgniter application and module configuration","CodeIgniter","LIKELY","NO","NO","NO","ACTIVE-CANDIDATE","HIGH","YES",""
"backend/app/Config/Boot/production.php","production.php",".php","TRACKED","CONFIG","BACKEND","shared","CodeIgniter application and module configuration","CodeIgniter","LIKELY","NO","NO","NO","ACTIVE-CANDIDATE","HIGH","YES",""
"backend/app/Config/Boot/testing.php","testing.php",".php","TRACKED","CONFIG","BACKEND","shared","CodeIgniter application and module configuration","CodeIgniter","LIKELY","NO","NO","NO","ACTIVE-CANDIDATE","HIGH","YES",""
"backend/app/Config/CURLRequest.php","CURLRequest.php",".php","TRACKED","CONFIG","BACKEND","shared","CodeIgniter application and module configuration","CodeIgniter","LIKELY","NO","NO","NO","ACTIVE-CANDIDATE","HIGH","YES",""
"backend/app/Config/Cache.php","Cache.php",".php","TRACKED","CONFIG","BACKEND","shared","CodeIgniter application and module configuration","CodeIgniter","LIKELY","NO","NO","NO","ACTIVE-CANDIDATE","HIGH","YES",""
"backend/app/Config/Constants.php","Constants.php",".php","TRACKED","CONFIG","BACKEND","shared","CodeIgniter application and module configuration","CodeIgniter","LIKELY","NO","NO","NO","ACTIVE-CANDIDATE","HIGH","YES",""
"backend/app/Config/ContentSecurityPolicy.php","ContentSecurityPolicy.php",".php","TRACKED","CONFIG","BACKEND","shared","CodeIgniter application and module configuration","CodeIgniter","LIKELY","NO","NO","NO","ACTIVE-CANDIDATE","HIGH","YES",""
"backend/app/Config/Cookie.php","Cookie.php",".php","TRACKED","CONFIG","BACKEND","shared","CodeIgniter application and module configuration","CodeIgniter","LIKELY","NO","NO","NO","ACTIVE-CANDIDATE","HIGH","YES",""
"backend/app/Config/Cors.php","Cors.php",".php","TRACKED","CONFIG","BACKEND","shared","CodeIgniter application and module configuration","CodeIgniter","LIKELY","NO","NO","NO","ACTIVE-CANDIDATE","HIGH","YES",""
"backend/app/Config/Database.php","Database.php",".php","TRACKED","CONFIG","BACKEND","reference-data","CodeIgniter application and module configuration","CodeIgniter","LIKELY","NO","NO","NO","ACTIVE-CANDIDATE","HIGH","YES",""
"backend/app/Config/DocTypes.php","DocTypes.php",".php","TRACKED","CONFIG","BACKEND","shared","CodeIgniter application and module configuration","CodeIgniter","LIKELY","NO","NO","NO","ACTIVE-CANDIDATE","HIGH","YES",""
"backend/app/Config/Email.php","Email.php",".php","TRACKED","CONFIG","BACKEND","shared","CodeIgniter application and module configuration","CodeIgniter","LIKELY","NO","NO","NO","ACTIVE-CANDIDATE","HIGH","YES",""
"backend/app/Config/Encryption.php","Encryption.php",".php","TRACKED","CONFIG","BACKEND","shared","CodeIgniter application and module configuration","CodeIgniter","LIKELY","NO","NO","NO","ACTIVE-CANDIDATE","HIGH","YES",""
"backend/app/Config/Events.php","Events.php",".php","TRACKED","CONFIG","BACKEND","shared","CodeIgniter application and module configuration","CodeIgniter","LIKELY","NO","NO","NO","ACTIVE-CANDIDATE","HIGH","YES",""
"backend/app/Config/Exceptions.php","Exceptions.php",".php","TRACKED","CONFIG","BACKEND","shared","CodeIgniter application and module configuration","CodeIgniter","LIKELY","NO","NO","NO","ACTIVE-CANDIDATE","HIGH","YES",""
"backend/app/Config/Feature.php","Feature.php",".php","TRACKED","CONFIG","BACKEND","shared","CodeIgniter application and module configuration","CodeIgniter","LIKELY","NO","NO","NO","ACTIVE-CANDIDATE","HIGH","YES",""
"backend/app/Config/Filters.php","Filters.php",".php","TRACKED","CONFIG","BACKEND","auth","CodeIgniter application and module configuration","CodeIgniter","LIKELY","NO","NO","NO","ACTIVE-CANDIDATE","HIGH","YES",""
"backend/app/Config/ForeignCharacters.php","ForeignCharacters.php",".php","TRACKED","CONFIG","BACKEND","shared","CodeIgniter application and module configuration","CodeIgniter","LIKELY","NO","NO","NO","ACTIVE-CANDIDATE","HIGH","YES",""
"backend/app/Config/Format.php","Format.php",".php","TRACKED","CONFIG","BACKEND","shared","CodeIgniter application and module configuration","CodeIgniter","LIKELY","NO","NO","NO","ACTIVE-CANDIDATE","HIGH","YES",""
"backend/app/Config/Generators.php","Generators.php",".php","TRACKED","CONFIG","BACKEND","shared","CodeIgniter application and module configuration","CodeIgniter","LIKELY","NO","NO","NO","ACTIVE-CANDIDATE","HIGH","YES",""
"backend/app/Config/Honeypot.php","Honeypot.php",".php","TRACKED","CONFIG","BACKEND","shared","CodeIgniter application and module configuration","CodeIgniter","LIKELY","NO","NO","NO","ACTIVE-CANDIDATE","HIGH","YES",""
"backend/app/Config/Hostnames.php","Hostnames.php",".php","TRACKED","CONFIG","BACKEND","shared","CodeIgniter application and module configuration","CodeIgniter","LIKELY","NO","NO","NO","ACTIVE-CANDIDATE","HIGH","YES",""
"backend/app/Config/Images.php","Images.php",".php","TRACKED","CONFIG","BACKEND","shared","CodeIgniter application and module configuration","CodeIgniter","LIKELY","NO","NO","NO","ACTIVE-CANDIDATE","HIGH","YES",""
"backend/app/Config/Kint.php","Kint.php",".php","TRACKED","CONFIG","BACKEND","shared","CodeIgniter application and module configuration","CodeIgniter","LIKELY","NO","NO","NO","ACTIVE-CANDIDATE","HIGH","YES",""
"backend/app/Config/Logger.php","Logger.php",".php","TRACKED","CONFIG","BACKEND","shared","CodeIgniter application and module configuration","CodeIgniter","LIKELY","NO","NO","NO","ACTIVE-CANDIDATE","HIGH","YES",""
"backend/app/Config/Migrations.php","Migrations.php",".php","TRACKED","CONFIG","BACKEND","reference-data","CodeIgniter application and module configuration","CodeIgniter","LIKELY","NO","NO","NO","ACTIVE-CANDIDATE","HIGH","YES",""
"backend/app/Config/Mimes.php","Mimes.php",".php","TRACKED","CONFIG","BACKEND","shared","CodeIgniter application and module configuration","CodeIgniter","LIKELY","NO","NO","NO","ACTIVE-CANDIDATE","HIGH","YES",""
"backend/app/Config/Modules.php","Modules.php",".php","TRACKED","CONFIG","BACKEND","shared","CodeIgniter application and module configuration","CodeIgniter","LIKELY","NO","NO","NO","ACTIVE-CANDIDATE","HIGH","YES",""
"backend/app/Config/Optimize.php","Optimize.php",".php","TRACKED","CONFIG","BACKEND","shared","CodeIgniter application and module configuration","CodeIgniter","LIKELY","NO","NO","NO","ACTIVE-CANDIDATE","HIGH","YES",""
