CandidateID,Path,SymbolClassMethod,ArtifactType,FeatureDomain,PhaseFirstIdentified,StaticImportCallerEvidence,RouteCallerEvidence,DynamicFrameworkDiscoveryEvidence,BackendAPICallerEvidence,TestCallerEvidence,ScriptCLICallerEvidence,SetupRecoveryCallerEvidence,CompatibilityRole,HistoricalRole,SharedRole,Replacement,DuplicateSuccessor,CurrentRuntimeReachable,UserProductScopeDecision,PrimaryStatus,Confidence,RemovalPreconditions,Phase14ActionCandidate,Phase15ValidationRequirements,EvidencePaths,Notes
"DCE-FE-011","frontend/src/pages/hr-admin/personnel-directory/CustomDatePicker.jsx","CustomDatePicker","PAGE_COMPONENT","hr-admin/directory","Phase 3","None (0 static imports)","None (0 route bindings)","None (0 dynamic imports)","None (0 API calls)","None (0 test imports)","None (0 CLI calls)","None","None","Superseded custom datepicker component","None","Native HTML5 date input in OnboardPersonnelModal.jsx","OnboardPersonnelModal.jsx","NO","RETAIN_UNTIL_PHASE14","HIGH-CONFIDENCE-DEAD-CODE-CANDIDATE","HIGH","Verify standard HTML5 date inputs in onboarding modal handle all date fields","REMOVE","Run Vitest suite; test personnel onboarding form date selection","frontend/src/pages/hr-admin/personnel-directory/CustomDatePicker.jsx, docs/audit/PHASE_3_FRONTEND_DEPENDENCY_AUDIT.md:112","Superseded by standard HTML5 date inputs."
"DCE-FE-012","frontend/src/pages/hr-admin/personnel-directory/DiscardOnboardingDraftModal.jsx","DiscardOnboardingDraftModal","PAGE_COMPONENT","hr-admin/directory","Phase 3","None (0 static imports)","None (0 route bindings)","None (0 dynamic imports)","None (0 API calls)","None (0 test imports)","None (0 CLI calls)","None","None","Superseded draft discard dialog","None","Inlined confirmation state in OnboardPersonnelModal.jsx","OnboardPersonnelModal.jsx","NO","RETAIN_UNTIL_PHASE14","HIGH-CONFIDENCE-DEAD-CODE-CANDIDATE","HIGH","Verify draft discarding is handled by inline modal state","REMOVE","Run Vitest suite; test onboarding draft discard action","frontend/src/pages/hr-admin/personnel-directory/DiscardOnboardingDraftModal.jsx, docs/audit/PHASE_3_FRONTEND_DEPENDENCY_AUDIT.md:113","Inlined directly into modal state."
"DCE-FE-013","frontend/src/pages/hr-admin/personnel-directory/FacultyDirectory.jsx","FacultyDirectory","PAGE_COMPONENT","hr-admin/directory","Phase 3","None (0 static imports)","None (0 route bindings)","None (0 dynamic imports)","None (0 API calls)","None (0 test imports)","None (0 CLI calls)","None","None","Superseded faculty directory table view","None","frontend/src/pages/hr-admin/personnel-directory/PersonnelDirectoryTable.jsx","PersonnelDirectoryTable.jsx","NO","RETAIN_UNTIL_PHASE14","HIGH-CONFIDENCE-DEAD-CODE-CANDIDATE","HIGH","Verify PersonnelDirectoryTable handles faculty and staff listings with filtering","REMOVE","Run Vitest suite; smoke test HR Personnel Directory page","frontend/src/pages/hr-admin/personnel-directory/FacultyDirectory.jsx, docs/audit/PHASE_3_FRONTEND_DEPENDENCY_AUDIT.md:114","Superseded by PersonnelDirectoryTable.jsx."
"DCE-FE-014","frontend/src/pages/hr-admin/personnel-directory/OnboardingDraftRecoveryBanner.jsx","OnboardingDraftRecoveryBanner","PAGE_COMPONENT","hr-admin/directory","Phase 3","None (0 static imports)","None (0 route bindings)","None (0 dynamic imports)","None (0 API calls)","None (0 test imports)","None (0 CLI calls)","None","None","Superseded draft recovery banner","None","Integrated draft recovery modal in HRPersonnelDirectoryPage.jsx","HRPersonnelDirectoryPage.jsx","NO","RETAIN_UNTIL_PHASE14","HIGH-CONFIDENCE-DEAD-CODE-CANDIDATE","HIGH","Verify draft recovery prompt appears upon navigating to Personnel Directory","REMOVE","Run Vitest suite; test onboarding draft recovery flow","frontend/src/pages/hr-admin/personnel-directory/OnboardingDraftRecoveryBanner.jsx, docs/audit/PHASE_3_FRONTEND_DEPENDENCY_AUDIT.md:115","Integrated directly into HRPersonnelDirectoryPage."
"DCE-FE-015","frontend/src/pages/personnel/PersonnelPortfolioForm.jsx","PersonnelPortfolioForm","PAGE_COMPONENT","personnel/portfolio","Phase 3","None (0 static imports)","None (0 route bindings)","None (0 dynamic imports)","None (0 API calls)","None (0 test imports)","None (0 CLI calls)","None","None","Superseded portfolio form view","None","frontend/src/pages/personnel/PersonnelPortfolioEditPage.jsx","PersonnelPortfolioEditPage.jsx","NO","RETAIN_UNTIL_PHASE14","HIGH-CONFIDENCE-DEAD-CODE-CANDIDATE","HIGH","Verify PersonnelPortfolioEditPage fully handles category tabs, attachments, and submissions","REMOVE","Run Vitest suite; smoke test Personnel Portfolio edit route","frontend/src/pages/personnel/PersonnelPortfolioForm.jsx, docs/audit/PHASE_3_FRONTEND_DEPENDENCY_AUDIT.md:116","Completely replaced by dedicated PersonnelPortfolioEditPage.jsx."
"DCE-FE-016","frontend/src/pages/personnel/program-coordinator/ProgramCoordinatorDashboard.jsx","ProgramCoordinatorDashboard","PAGE_COMPONENT","personnel/coordinator","Phase 3","None (0 static imports)","None (0 route bindings)","None (0 dynamic imports)","None (0 API calls)","None (0 test imports)","None (0 CLI calls)","None","None","Superseded wrapper component","None","frontend/src/pages/personnel/program-coordinator/CoordinatorDashboardPage.jsx","CoordinatorDashboardPage.jsx","NO","RETAIN_UNTIL_PHASE14","HIGH-CONFIDENCE-DEAD-CODE-CANDIDATE","HIGH","Verify CoordinatorDashboardPage handles verification queue and approval workflows","REMOVE","Run Vitest suite; smoke test Program Coordinator role login","frontend/src/pages/personnel/program-coordinator/ProgramCoordinatorDashboard.jsx, docs/audit/PHASE_3_FRONTEND_DEPENDENCY_AUDIT.md:117","Superseded by CoordinatorDashboardPage.jsx."
"DCE-FE-017","frontend/src/pages/personnel/program-coordinator/tabs/CoordinatorQueueTab.jsx","CoordinatorQueueTab","PAGE_COMPONENT","personnel/coordinator","Phase 3","None (0 static imports)","None (0 route bindings)","None (0 dynamic imports)","None (0 API calls)","None (0 test imports)","None (0 CLI calls)","None","None","Superseded queue tab view","None","Inlined directly in CoordinatorDashboardView.jsx","CoordinatorDashboardView.jsx","NO","RETAIN_UNTIL_PHASE14","HIGH-CONFIDENCE-DEAD-CODE-CANDIDATE","HIGH","Verify coordinator verification queue table is rendered in CoordinatorDashboardView","REMOVE","Run Vitest suite; test coordinator verification queue actions","frontend/src/pages/personnel/program-coordinator/tabs/CoordinatorQueueTab.jsx, docs/audit/PHASE_3_FRONTEND_DEPENDENCY_AUDIT.md:118","Inlined directly into CoordinatorDashboardView.jsx."
"DCE-FE-018","frontend/src/pages/personnel/organization-moderator/OrganizationModeratorDashboard.jsx","OrganizationModeratorDashboard","PAGE_COMPONENT","personnel/moderator","Phase 12","None (0 static imports)","None (0 route bindings)","None (0 dynamic imports)","None (0 API calls)","None (0 test imports)","None (0 CLI calls)","None","None","Superseded wrapper stub","None","frontend/src/pages/personnel/organization-moderator/OrganizationModeratorDashboardPage.jsx","OrganizationModeratorDashboardPage.jsx","NO","RETAIN_UNTIL_PHASE14","HIGH-CONFIDENCE-DEAD-CODE-CANDIDATE","HIGH","Verify OrganizationModeratorDashboardPage is mounted by PersonnelDashboardPage","REMOVE","Run Vitest suite; smoke test Organization Moderator role dashboard","frontend/src/pages/personnel/organization-moderator/OrganizationModeratorDashboard.jsx, frontend/src/pages/personnel/PersonnelDashboardPage.jsx:7","Superseded by OrganizationModeratorDashboardPage.jsx."
"DCE-FE-019","frontend/src/models/AcademicStructureModel.js","AcademicStructureModel","MODEL","academic-structure","Phase 3","None (0 static imports)","None (0 route bindings)","None (0 dynamic imports)","None (0 API calls)","None (0 test imports)","None (0 CLI calls)","None","None","Superseded static academic structure dictionary","None","frontend/src/models/CollegeModel.js & DegreeProgramModel.js","CollegeModel.js, DegreeProgramModel.js","NO","RETAIN_UNTIL_PHASE14","HIGH-CONFIDENCE-DEAD-CODE-CANDIDATE","HIGH","Verify CollegeModel and DegreeProgramModel provide all academic hierarchy entities","REMOVE","Run Vitest suite; verify academic dropdowns across student, personnel, and admin forms","frontend/src/models/AcademicStructureModel.js, docs/target-schema-compatibility-audit.md:34","Superseded by dynamic database-backed CollegeModel and DegreeProgramModel."
"DCE-FE-020","frontend/src/components/common/ProtectedRoute.jsx","ProtectedRoute","COMPONENT","routing","Phase 3","None (0 static imports)","None (0 route bindings)","None (0 dynamic imports)","None (0 API calls)","None (0 test imports)","None (0 CLI calls)","None","None","Early prototype route protection guard","None","frontend/src/controllers/RouteAccessController.js & App.jsx MainLayout","RouteAccessController.js","NO","RETAIN_UNTIL_PHASE14","HIGH-CONFIDENCE-DEAD-CODE-CANDIDATE","HIGH","Verify RouteAccessController and AuthContext enforce role-based route security","REMOVE","Run Vitest suite; verify unauthenticated and unauthorized redirects in App.jsx","frontend/src/components/common/ProtectedRoute.jsx, frontend/src/App.jsx","Superseded by centralized RouteAccessController and MainLayout RBAC gates."
"DCE-FE-021","frontend/src/components/osad/OSADQuickActions.jsx","OSADQuickActions","COMPONENT","osad","Phase 3","None (0 static imports)","None (0 route bindings)","None (0 dynamic imports)","None (0 API calls)","None (0 test imports)","None (0 CLI calls)","None","None","Superseded OSAD quick action toolbar","None","frontend/src/pages/osad-admin/OSADCommandHub.jsx","OSADCommandHub.jsx","NO","RETAIN_UNTIL_PHASE14","HIGH-CONFIDENCE-DEAD-CODE-CANDIDATE","HIGH","Verify OSADCommandHub renders all action triggers in OSAD Dashboard","REMOVE","Run Vitest suite; smoke test OSAD dashboard quick actions","frontend/src/components/osad/OSADQuickActions.jsx, frontend/src/pages/osad-admin/OSADDashboardPage.jsx","Integrated directly into OSADCommandHub.jsx."
"DCE-FE-022","frontend/src/services/achievementService.js","achievementService","SERVICE","achievements","Phase 3","None (0 static imports)","None (0 route bindings)","None (0 dynamic imports)","Endpoints active via apiClient.js","None (0 test imports)","None (0 CLI calls)","None","Legacy service wrapper compatibility","Early prototype API wrapper","None","Direct apiClient.js calls in StudentAchievementsController.js","apiClient.js","NO","RETAIN_UNTIL_PHASE14","MEDIUM-CONFIDENCE-DEAD-CODE-CANDIDATE","MEDIUM","Verify StudentAchievementsController and AchievementController do not require achievementService","REMOVE","Run Vitest suite; test achievement submission and approval workflows","frontend/src/services/achievementService.js, docs/Phase_8_Remediation_Achievement_Route_Result.md:7","API calls handled directly via apiClient."
"DCE-FE-023","frontend/src/services/lifecycleService.js","lifecycleService","SERVICE","lifecycle","Phase 3","None (0 static imports)","None (0 route bindings)","None (0 dynamic imports)","Endpoints active via apiClient.js","None (0 test imports)","None (0 CLI calls)","None","Legacy service wrapper compatibility","Early prototype API wrapper","None","Direct apiClient.js calls in controllers","apiClient.js","NO","RETAIN_UNTIL_PHASE14","MEDIUM-CONFIDENCE-DEAD-CODE-CANDIDATE","MEDIUM","Verify all lifecycle stage operations use apiClient directly","REMOVE","Run Vitest suite; test evaluation lifecycle transitions","frontend/src/services/lifecycleService.js, docs/audit/PHASE_3_FRONTEND_DEPENDENCY_AUDIT.md:70","API calls handled directly via apiClient."
"DCE-FE-024","frontend/src/services/portfolioService.js","portfolioService","SERVICE","portfolio","Phase 3","None (0 static imports)","None (0 route bindings)","None (0 dynamic imports)","Endpoints active via apiClient.js","None (0 test imports)","None (0 CLI calls)","None","Legacy service wrapper compatibility","Early prototype API wrapper","None","Direct apiClient.js calls in usePersonnelPortfolio.js","apiClient.js","NO","RETAIN_UNTIL_PHASE14","MEDIUM-CONFIDENCE-DEAD-CODE-CANDIDATE","MEDIUM","Verify usePersonnelPortfolio hook communicates with backend without portfolioService","REMOVE","Run Vitest suite; test faculty portfolio submission and booklet export","frontend/src/services/portfolioService.js, docs/audit/PHASE_3_FRONTEND_DEPENDENCY_AUDIT.md:70","API calls handled directly via apiClient."
"DCE-FE-025","frontend/src/hooks/useHRRanking.js","useHRRanking","HOOK","hr-admin","Phase 3","None (0 static imports)","None (0 route bindings)","None (0 dynamic imports)","None (0 API calls)","None (0 test imports)","None (0 CLI calls)","None","None","Early prototype hook for HR rankings","None","Inline ranking calculation in HRPersonnelRankingPage.jsx","HRPersonnelRankingPage.jsx","NO","RETAIN_UNTIL_PHASE14","MEDIUM-CONFIDENCE-DEAD-CODE-CANDIDATE","MEDIUM","Verify HRPersonnelRankingPage calculates rankings correctly without useHRRanking","REMOVE","Run Vitest suite; smoke test HR Ranking and Accreditation page","frontend/src/hooks/useHRRanking.js, docs/audit/PHASE_3_FRONTEND_DEPENDENCY_AUDIT.md:65","Logic absorbed into HRPersonnelRankingPage."
"DCE-FE-026","frontend/src/hooks/usePersonnelOnboardingDraft.js","usePersonnelOnboardingDraft","HOOK","hr-admin","Phase 3","None (0 static imports)","None (0 route bindings)","None (0 dynamic imports)","None (0 API calls)","None (0 test imports)","None (0 CLI calls)","None","None","Early prototype hook for onboarding drafts","None","frontend/src/controllers/PersonnelOnboardingDraftController.js","PersonnelOnboardingDraftController.js","NO","RETAIN_UNTIL_PHASE14","MEDIUM-CONFIDENCE-DEAD-CODE-CANDIDATE","MEDIUM","Verify PersonnelOnboardingDraftController manages draft persistence and retrieval","REMOVE","Run Vitest suite; test personnel onboarding draft save/resume","frontend/src/hooks/usePersonnelOnboardingDraft.js, docs/audit/PHASE_3_FRONTEND_DEPENDENCY_AUDIT.md:65","Logic absorbed into PersonnelOnboardingDraftController.js."
"DCE-FE-027","frontend/src/controllers/AwardManagementController.js","AwardManagementController","CONTROLLER","osad","Phase 3","None (0 static imports)","None (0 route bindings)","None (0 dynamic imports)","None (0 API calls)","None (0 test imports)","None (0 CLI calls)","None","None","Early prototype controller for award management","None","frontend/src/services/AwardPortfolioReviewService.js & AwardEvaluationPage.jsx","AwardPortfolioReviewService.js","NO","RETAIN_UNTIL_PHASE14","MEDIUM-CONFIDENCE-DEAD-CODE-CANDIDATE","MEDIUM","Verify AwardPortfolioReviewService and OSAD award tabs cover all award management features","REMOVE","Run Vitest suite; test OSAD Award Candidacy workflows","frontend/src/controllers/AwardManagementController.js","Controller logic superseded by dedicated OSAD components and services."
"DCE-FE-028","frontend/src/controllers/UrlSecurityController.js","UrlSecurityController","CONTROLLER","security","Phase 3","None (0 static imports)","None (0 route bindings)","None (0 dynamic imports)","None (0 API calls)","None (0 test imports)","None (0 CLI calls)","None","None","Early prototype URL tokenization helper","None","frontend/src/security/permissionResolver.js & RouteAccessController.js","permissionResolver.js","NO","RETAIN_UNTIL_PHASE14","MEDIUM-CONFIDENCE-DEAD-CODE-CANDIDATE","MEDIUM","Verify URL obfuscation is not required in local defense architecture","REMOVE","Run Vitest suite; verify route access controls across all roles","frontend/src/controllers/UrlSecurityController.js","URL tokenization prototype not adopted in final routing architecture."
"DCE-FE-029","frontend/src/models/OSADDashboardMetricsModel.js","OSADDashboardMetricsModel","MODEL","osad","Phase 3","None (0 static imports)","None (0 route bindings)","None (0 dynamic imports)","None (0 API calls)","None (0 test imports)","None (0 CLI calls)","None","None","Early prototype metrics model","None","Inline metrics calculation in OSADAdminMetrics.jsx","OSADAdminMetrics.jsx","NO","RETAIN_UNTIL_PHASE14","MEDIUM-CONFIDENCE-DEAD-CODE-CANDIDATE","MEDIUM","Verify OSADAdminMetrics calculates live metrics correctly from API responses","REMOVE","Run Vitest suite; test OSAD Dashboard overview tab metrics cards","frontend/src/models/OSADDashboardMetricsModel.js","Metrics aggregation handled in OSADAdminMetrics."
"DCE-FE-030","frontend/src/pages/student/modals/DigitalBarcodeIDCardModal.jsx","DigitalBarcodeIDCardModal","MODAL_COMPONENT","student/personnel","Phase 11","StudentDashboardPage, PersonnelDashboardPage","Active in Student & Personnel dashboard views","None","None (Client-side rendering)","None (Presentational UI)","None","None","None","Institutional ID barcode display modal","Shared between Student and Personnel dashboards","None (Feature removed from product scope)","None (Scope removal)","YES","REMOVE_FROM_FINAL_SYSTEM_SCOPE","INTENTIONAL-SCOPE-REMOVAL","HIGH","Remove trigger button & state from StudentDashboardPage and PersonnelDashboardPage","INTENTIONAL-FEATURE-REMOVAL","Run Vitest suite; verify Student and Personnel dashboards load cleanly without barcode button","frontend/src/pages/student/modals/DigitalBarcodeIDCardModal.jsx, frontend/src/pages/student/StudentDashboardPage.jsx:3, frontend/src/pages/personnel/PersonnelDashboardPage.jsx:3","Special Product Decision: Remove feature from scope. Physical deletion in Phase 14; Phase 15 regression testing required."
"DCE-BE-001","backend/development/verify-admin-bootstrap-full.mjs","Historical bootstrap verification script","CLI_SCRIPT","backend/development","Phase 8","None","None","None","None","None","Manual CLI execution","Historical test setup","None","Duplicate of backend/scripts/verify-admin-bootstrap-full.mjs","None","backend/scripts/verify-admin-bootstrap-full.mjs","backend/scripts/verify-admin-bootstrap-full.mjs","NO","RETAIN_UNTIL_PHASE14","HIGH-CONFIDENCE-DEAD-CODE-CANDIDATE","HIGH","Verify backend/scripts/ copy is preserved as canonical historical record","REMOVE","Verify CLI test suites run without error","backend/development/verify-admin-bootstrap-full.mjs, docs/audit/PHASE_8_SCRIPT_REVIEW_CANDIDATES.csv:2, docs/audit/PHASE_11_CONSOLIDATION_REVIEW_CANDIDATES.csv:2","Exact duplicate of scripts/ copy; safe to delete development copy in Phase 14."
"DCE-BE-002","backend/app/Services/SupabaseAuthService.php","SupabaseAuthService","SERVICE","auth","Phase 10","Fallback branch in AuthenticatedActorService","None","None","Active in fallback switch","Zero-call local defense tests","None","None","Offline fallback stub for legacy auth tests","Early cloud auth service","None","LocalAuthService.php & LocalTokenService.php","LocalAuthService.php","NO","RETAIN_FOR_COMPATIBILITY","COMPATIBILITY-RETAIN","HIGH","Refactor AuthenticatedActorService fallback branch and zero-call test mocks in Phase 14","KEEP-COMPATIBILITY","Run PHPUnit auth test suite and Vitest local defense tests","backend/app/Services/SupabaseAuthService.php, docs/audit/PHASE_10_LEGACY_TECHNOLOGY_REGISTER.csv:2","Preserved as offline defense stub until zero-call test modernization in Phase 14."
