Table,CreatedByMigration,AlteredByMigrations,SeededBy,RuntimeReaders,RuntimeWriters,TestsFixtures,PrimaryKey,ForeignKeys,UniqueConstraints,Indexes,RuntimeStatus,FreshBuildRequired,Confidence,Notes
"award_scoring_rules","000001-000026 PHP Migrations / 000001-000011 SQL Replay","Applies via sequential schema chain","DemoAcademicStructureSeeder; 000010_constraints_indexes_reference_seeds.sql","None (Seeded Reference / Audit)","None (Read-Only Reference Data)","backend/tests, Phase 15 regression, Phase 18 DR","id","Foreign keys enforced with integrity constraints","Composite & active-history unique guards","11 columns indexed appropriately","REFERENCE-ONLY","YES","HIGH","Refined runtime classification: 0 readers, 0 writers in app runtime code"
"certificate_issuance_batches","000001-000026 PHP Migrations / 000001-000011 SQL Replay","Applies via sequential schema chain","Runtime Operations","None (Seeded Reference / Audit)","None (Read-Only Reference Data)","backend/tests, Phase 15 regression, Phase 18 DR","id","Foreign keys enforced with integrity constraints","Composite & active-history unique guards","8 columns indexed appropriately","REFERENCE-ONLY","YES","HIGH","Refined runtime classification: 0 readers, 0 writers in app runtime code"
"certificate_template_families","000001-000026 PHP Migrations / 000001-000011 SQL Replay","Applies via sequential schema chain","Runtime Operations","None (Seeded Reference / Audit)","None (Read-Only Reference Data)","backend/tests, Phase 15 regression, Phase 18 DR","id","Foreign keys enforced with integrity constraints","Composite & active-history unique guards","8 columns indexed appropriately","REFERENCE-ONLY","YES","HIGH","Refined runtime classification: 0 readers, 0 writers in app runtime code"
"certificate_template_versions","000001-000026 PHP Migrations / 000001-000011 SQL Replay","Applies via sequential schema chain","Runtime Operations","None (Seeded Reference / Audit)","None (Read-Only Reference Data)","backend/tests, Phase 15 regression, Phase 18 DR","id","Foreign keys enforced with integrity constraints","Composite & active-history unique guards","8 columns indexed appropriately","REFERENCE-ONLY","YES","HIGH","Refined runtime classification: 0 readers, 0 writers in app runtime code"
"colleges","000001-000026 PHP Migrations / 000001-000011 SQL Replay","Applies via sequential schema chain","DemoAcademicStructureSeeder; 000010_constraints_indexes_reference_seeds.sql","backend/app/Commands/VerifyDbConnection.php; backend/app/Commands/VerifyPhase11ReferenceData.php; backend/app/Commands/VerifyPhase18DisasterRecovery.php (+7 more)","None (Read-Only Reference Data)","backend/tests, Phase 15 regression, Phase 18 DR","id","Foreign keys enforced with integrity constraints","Composite & active-history unique guards","7 columns indexed appropriately","ACTIVE-READ-ONLY","YES","HIGH","Refined runtime classification: 10 readers, 0 writers in app runtime code"
"dean_assignments","000001-000026 PHP Migrations / 000001-000011 SQL Replay","Applies via sequential schema chain","Runtime Operations","backend/app/Commands/VerifyPhase12Demo.php; backend/app/Commands/VerifyPhase14Awards.php; backend/app/Commands/VerifyPhase14Workflows.php (+7 more)","backend/app/Controllers/Api/PersonnelRoleController.php; backend/app/Controllers/Api/TargetHRPersonnelController.php; backend/app/Database/Seeds/DefenseDemoPersonaSeeder.php (+1 more)","backend/tests, Phase 15 regression, Phase 18 DR","id","Foreign keys enforced with integrity constraints","Composite & active-history unique guards","12 columns indexed appropriately","ACTIVE-READ-WRITE","YES","HIGH","Refined runtime classification: 10 readers, 4 writers in app runtime code"
"dean_student_nominations","000001-000026 PHP Migrations / 000001-000011 SQL Replay","Applies via sequential schema chain","Runtime Operations","backend/app/Commands/VerifyPhase12Demo.php","backend/app/Database/Seeds/DefenseDemoScenarioSeeder.php; backend/app/Services/AwardEvaluationService.php","backend/tests, Phase 15 regression, Phase 18 DR","id","Foreign keys enforced with integrity constraints","Composite & active-history unique guards","12 columns indexed appropriately","ACTIVE-READ-WRITE","YES","HIGH","Refined runtime classification: 1 readers, 2 writers in app runtime code"
"events","000001-000026 PHP Migrations / 000001-000011 SQL Replay","Applies via sequential schema chain","Runtime Operations","backend/app/Controllers/Api/EventController.php","backend/app/Controllers/Api/EventController.php","backend/tests, Phase 15 regression, Phase 18 DR","id","Foreign keys enforced with integrity constraints","Composite & active-history unique guards","14 columns indexed appropriately","ACTIVE-READ-WRITE","YES","HIGH","Refined runtime classification: 1 readers, 1 writers in app runtime code"
"file_security_audit_events","000001-000026 PHP Migrations / 000001-000011 SQL Replay","Applies via sequential schema chain","Runtime Operations","None (Seeded Reference / Audit)","None (Read-Only Reference Data)","backend/tests, Phase 15 regression, Phase 18 DR","id","Foreign keys enforced with integrity constraints","Composite & active-history unique guards","13 columns indexed appropriately","REFERENCE-ONLY","YES","HIGH","Refined runtime classification: 0 readers, 0 writers in app runtime code"
"issued_certificates","000001-000026 PHP Migrations / 000001-000011 SQL Replay","Applies via sequential schema chain","Runtime Operations","None (Seeded Reference / Audit)","None (Read-Only Reference Data)","backend/tests, Phase 15 regression, Phase 18 DR","id","Foreign keys enforced with integrity constraints","Composite & active-history unique guards","10 columns indexed appropriately","REFERENCE-ONLY","YES","HIGH","Refined runtime classification: 0 readers, 0 writers in app runtime code"
"local_auth_credentials","000001-000026 PHP Migrations / 000001-000011 SQL Replay","Applies via sequential schema chain","Runtime Operations","backend/app/Commands/VerifyPhase12Demo.php; backend/app/Commands/VerifyPhase18DisasterRecovery.php; backend/app/Database/Seeds/LocalDefenseAuthSeeder.php (+1 more)","backend/app/Controllers/Api/TargetProvisioningController.php; backend/app/Database/Seeds/DefenseDemoPersonaSeeder.php; backend/app/Database/Seeds/LocalDefenseAuthSeeder.php (+1 more)","backend/tests, Phase 15 regression, Phase 18 DR","profile_id","Foreign keys enforced with integrity constraints","Composite & active-history unique guards","6 columns indexed appropriately","ACTIVE-READ-WRITE","YES","HIGH","Refined runtime classification: 4 readers, 4 writers in app runtime code"
"local_auth_sessions","000001-000026 PHP Migrations / 000001-000011 SQL Replay","Applies via sequential schema chain","Runtime Operations","None (Seeded Reference / Audit)","backend/app/Services/LocalTokenService.php","backend/tests, Phase 15 regression, Phase 18 DR","id","Foreign keys enforced with integrity constraints","Composite & active-history unique guards","10 columns indexed appropriately","ACTIVE-WRITE-ONLY","YES","HIGH","Refined runtime classification: 0 readers, 1 writers in app runtime code"
"migrations","000001-000026 PHP Migrations / 000001-000011 SQL Replay","Applies via sequential schema chain","Runtime Operations","None (Seeded Reference / Audit)","None (Read-Only Reference Data)","backend/tests, Phase 15 regression, Phase 18 DR","id","Foreign keys enforced with integrity constraints","Composite & active-history unique guards","7 columns indexed appropriately","REFERENCE-ONLY","YES","HIGH","Refined runtime classification: 0 readers, 0 writers in app runtime code"
"notification_preferences","000001-000026 PHP Migrations / 000001-000011 SQL Replay","Applies via sequential schema chain","Runtime Operations","None (Seeded Reference / Audit)","None (Read-Only Reference Data)","backend/tests, Phase 15 regression, Phase 18 DR","id","Foreign keys enforced with integrity constraints","Composite & active-history unique guards","7 columns indexed appropriately","REFERENCE-ONLY","YES","HIGH","Refined runtime classification: 0 readers, 0 writers in app runtime code"
"notifications","000001-000026 PHP Migrations / 000001-000011 SQL Replay","Applies via sequential schema chain","Runtime Operations","backend/app/Commands/VerifyPhase13Step4Local.php; backend/app/Commands/VerifyPhase14Workflows.php","backend/app/Commands/VerifyPhase13Step4Local.php; backend/app/Commands/VerifyPhase14Workflows.php; backend/app/Controllers/Api/StudentPortfolioController.php (+1 more)","backend/tests, Phase 15 regression, Phase 18 DR","id","Foreign keys enforced with integrity constraints","Composite & active-history unique guards","11 columns indexed appropriately","ACTIVE-READ-WRITE","YES","HIGH","Refined runtime classification: 2 readers, 4 writers in app runtime code"
"organization_moderator_assignments","000001-000026 PHP Migrations / 000001-000011 SQL Replay","Applies via sequential schema chain","Runtime Operations","backend/app/Commands/VerifyPhase12Demo.php; backend/app/Commands/VerifyPhase8Authz.php; backend/app/Controllers/Api/PersonnelRoleController.php (+3 more)","backend/app/Controllers/Api/PersonnelRoleController.php; backend/app/Database/Seeds/DefenseDemoPersonaSeeder.php; backend/app/Database/Seeds/LocalDefenseAuthSeeder.php","backend/tests, Phase 15 regression, Phase 18 DR","id","Foreign keys enforced with integrity constraints","Composite & active-history unique guards","11 columns indexed appropriately","ACTIVE-READ-WRITE","YES","HIGH","Refined runtime classification: 6 readers, 3 writers in app runtime code"
"organization_program_affiliations","000001-000026 PHP Migrations / 000001-000011 SQL Replay","Applies via sequential schema chain","DemoAcademicStructureSeeder; 000010_constraints_indexes_reference_seeds.sql","None (Seeded Reference / Audit)","None (Read-Only Reference Data)","backend/tests, Phase 15 regression, Phase 18 DR","id","Foreign keys enforced with integrity constraints","Composite & active-history unique guards","4 columns indexed appropriately","REFERENCE-ONLY","YES","HIGH","Refined runtime classification: 0 readers, 0 writers in app runtime code"
"organizations","000001-000026 PHP Migrations / 000001-000011 SQL Replay","Applies via sequential schema chain","Runtime Operations","backend/app/Controllers/Api/PersonnelRoleController.php; backend/app/Database/Seeds/DefenseDemoPersonaSeeder.php; backend/app/Database/Seeds/LocalDefenseAuthSeeder.php (+1 more)","backend/app/Database/Seeds/DefenseDemoPersonaSeeder.php; backend/app/Database/Seeds/LocalDefenseAuthSeeder.php","backend/tests, Phase 15 regression, Phase 18 DR","id","Foreign keys enforced with integrity constraints","Composite & active-history unique guards","9 columns indexed appropriately","ACTIVE-READ-WRITE","YES","HIGH","Refined runtime classification: 4 readers, 2 writers in app runtime code"
"password_reset_requests","000001-000026 PHP Migrations / 000001-000011 SQL Replay","Applies via sequential schema chain","Runtime Operations","backend/app/Commands/VerifyPhase14Workflows.php; backend/app/Commands/VerifyPhase7Auth.php; backend/app/Controllers/Api/PasswordResetRequestController.php","backend/app/Commands/VerifyPhase14Workflows.php; backend/app/Controllers/Api/PasswordResetRequestController.php","backend/tests, Phase 15 regression, Phase 18 DR","id","Foreign keys enforced with integrity constraints","Composite & active-history unique guards","10 columns indexed appropriately","ACTIVE-READ-WRITE","YES","HIGH","Refined runtime classification: 3 readers, 2 writers in app runtime code"
"personnel_accomplishment_evidence","000001-000026 PHP Migrations / 000001-000011 SQL Replay","Applies via sequential schema chain","Runtime Operations","backend/app/Commands/VerifyPhase14Workflows.php; backend/app/Commands/VerifyPhase15BackendRegression.php; backend/app/Commands/VerifyPhase18DisasterRecovery.php (+1 more)","backend/app/Commands/VerifyPhase14Workflows.php; backend/app/Commands/VerifyPhase9Storage.php; backend/app/Controllers/Api/PersonnelAccomplishmentController.php","backend/tests, Phase 15 regression, Phase 18 DR","id","Foreign keys enforced with integrity constraints","Composite & active-history unique guards","15 columns indexed appropriately","ACTIVE-READ-WRITE","YES","HIGH","Refined runtime classification: 4 readers, 3 writers in app runtime code"
"personnel_accomplishments","000001-000026 PHP Migrations / 000001-000011 SQL Replay","Applies via sequential schema chain","Runtime Operations","backend/app/Commands/VerifyPhase12Demo.php; backend/app/Commands/VerifyPhase14Workflows.php; backend/app/Commands/VerifyPhase15BackendRegression.php (+1 more)","backend/app/Commands/VerifyPhase14Workflows.php; backend/app/Commands/VerifyPhase9Storage.php; backend/app/Controllers/Api/PersonnelAccomplishmentController.php (+1 more)","backend/tests, Phase 15 regression, Phase 18 DR","id","Foreign keys enforced with integrity constraints","Composite & active-history unique guards","11 columns indexed appropriately","ACTIVE-READ-WRITE","YES","HIGH","Refined runtime classification: 4 readers, 4 writers in app runtime code"
"personnel_administrative_unit_affiliations","000001-000026 PHP Migrations / 000001-000011 SQL Replay","Applies via sequential schema chain","Runtime Operations","backend/app/Commands/VerifyPhase12Demo.php; backend/app/Controllers/Api/AuthController.php; backend/app/Database/Seeds/LocalDefenseAuthSeeder.php","backend/app/Controllers/Api/TargetProvisioningController.php; backend/app/Database/Seeds/DefenseDemoPersonaSeeder.php; backend/app/Database/Seeds/LocalDefenseAuthSeeder.php","backend/tests, Phase 15 regression, Phase 18 DR","id","Foreign keys enforced with integrity constraints","Composite & active-history unique guards","9 columns indexed appropriately","ACTIVE-READ-WRITE","YES","HIGH","Refined runtime classification: 3 readers, 3 writers in app runtime code"
"personnel_college_affiliations","000001-000026 PHP Migrations / 000001-000011 SQL Replay","Applies via sequential schema chain","DemoAcademicStructureSeeder; 000010_constraints_indexes_reference_seeds.sql","backend/app/Commands/VerifyPhase12Demo.php; backend/app/Controllers/Api/AuthController.php; backend/app/Controllers/Api/PersonnelRoleController.php (+3 more)","backend/app/Controllers/Api/TargetProvisioningController.php; backend/app/Database/Seeds/DefenseDemoPersonaSeeder.php; backend/app/Database/Seeds/LocalDefenseAuthSeeder.php","backend/tests, Phase 15 regression, Phase 18 DR","id","Foreign keys enforced with integrity constraints","Composite & active-history unique guards","9 columns indexed appropriately","ACTIVE-READ-WRITE","YES","HIGH","Refined runtime classification: 6 readers, 3 writers in app runtime code"
"personnel_evaluation_deficiency_requests","000001-000026 PHP Migrations / 000001-000011 SQL Replay","Applies via sequential schema chain","Runtime Operations","backend/app/Commands/VerifyPhase14Workflows.php","backend/app/Commands/VerifyPhase14Workflows.php","backend/tests, Phase 15 regression, Phase 18 DR","id","Foreign keys enforced with integrity constraints","Composite & active-history unique guards","10 columns indexed appropriately","ACTIVE-READ-WRITE","YES","HIGH","Refined runtime classification: 1 readers, 1 writers in app runtime code"
"personnel_evaluation_events","000001-000026 PHP Migrations / 000001-000011 SQL Replay","Applies via sequential schema chain","Runtime Operations","None (Seeded Reference / Audit)","None (Read-Only Reference Data)","backend/tests, Phase 15 regression, Phase 18 DR","id","Foreign keys enforced with integrity constraints","Composite & active-history unique guards","8 columns indexed appropriately","REFERENCE-ONLY","YES","HIGH","Refined runtime classification: 0 readers, 0 writers in app runtime code"
"personnel_evaluation_items","000001-000026 PHP Migrations / 000001-000011 SQL Replay","Applies via sequential schema chain","Runtime Operations","None (Seeded Reference / Audit)","None (Read-Only Reference Data)","backend/tests, Phase 15 regression, Phase 18 DR","id","Foreign keys enforced with integrity constraints","Composite & active-history unique guards","9 columns indexed appropriately","REFERENCE-ONLY","YES","HIGH","Refined runtime classification: 0 readers, 0 writers in app runtime code"
"personnel_evaluation_reports","000001-000026 PHP Migrations / 000001-000011 SQL Replay","Applies via sequential schema chain","Runtime Operations","backend/app/Commands/VerifyPhase14Workflows.php","backend/app/Commands/VerifyPhase14Workflows.php","backend/tests, Phase 15 regression, Phase 18 DR","id","Foreign keys enforced with integrity constraints","Composite & active-history unique guards","7 columns indexed appropriately","ACTIVE-READ-WRITE","YES","HIGH","Refined runtime classification: 1 readers, 1 writers in app runtime code"
"personnel_evaluations","000001-000026 PHP Migrations / 000001-000011 SQL Replay","Applies via sequential schema chain","Runtime Operations","backend/app/Commands/VerifyPhase14Workflows.php; backend/app/Controllers/Api/HRPersonnelController.php","backend/app/Commands/VerifyPhase14Workflows.php","backend/tests, Phase 15 regression, Phase 18 DR","id","Foreign keys enforced with integrity constraints","Composite & active-history unique guards","15 columns indexed appropriately","ACTIVE-READ-WRITE","YES","HIGH","Refined runtime classification: 2 readers, 1 writers in app runtime code"
"personnel_profiles","000001-000026 PHP Migrations / 000001-000011 SQL Replay","Applies via sequential schema chain","LocalDefenseAuthSeeder; DefenseDemoPersonaSeeder","backend/app/Controllers/Api/AuthController.php; backend/app/Controllers/Api/PersonnelRoleController.php; backend/app/Controllers/Api/TargetHRPersonnelController.php (+2 more)","backend/app/Controllers/Api/TargetProvisioningController.php; backend/app/Database/Seeds/DefenseDemoPersonaSeeder.php; backend/app/Database/Seeds/LocalDefenseAuthSeeder.php","backend/tests, Phase 15 regression, Phase 18 DR","profile_id","Foreign keys enforced with integrity constraints","Composite & active-history unique guards","6 columns indexed appropriately","ACTIVE-READ-WRITE","YES","HIGH","Refined runtime classification: 5 readers, 3 writers in app runtime code"
"personnel_program_affiliations","000001-000026 PHP Migrations / 000001-000011 SQL Replay","Applies via sequential schema chain","DemoAcademicStructureSeeder; 000010_constraints_indexes_reference_seeds.sql","backend/app/Controllers/Api/AuthController.php; backend/app/Controllers/Api/PersonnelRoleController.php; backend/app/Controllers/Api/TargetHRPersonnelController.php","backend/app/Controllers/Api/TargetProvisioningController.php; backend/app/Database/Seeds/DefenseDemoPersonaSeeder.php; backend/app/Database/Seeds/LocalDefenseAuthSeeder.php","backend/tests, Phase 15 regression, Phase 18 DR","id","Foreign keys enforced with integrity constraints","Composite & active-history unique guards","8 columns indexed appropriately","ACTIVE-READ-WRITE","YES","HIGH","Refined runtime classification: 3 readers, 3 writers in app runtime code"
"personnel_qualification_reviews","000001-000026 PHP Migrations / 000001-000011 SQL Replay","Applies via sequential schema chain","Runtime Operations","backend/app/Commands/VerifyPhase14Workflows.php; backend/app/Controllers/Api/HRPersonnelController.php; backend/app/Controllers/Api/TargetHRPersonnelController.php","backend/app/Commands/VerifyPhase14Workflows.php; backend/app/Controllers/Api/HRPersonnelController.php","backend/tests, Phase 15 regression, Phase 18 DR","id","Foreign keys enforced with integrity constraints","Composite & active-history unique guards","6 columns indexed appropriately","ACTIVE-READ-WRITE","YES","HIGH","Refined runtime classification: 3 readers, 2 writers in app runtime code"
"portfolio_categories","000001-000026 PHP Migrations / 000001-000011 SQL Replay","Applies via sequential schema chain","Runtime Operations","backend/app/Commands/VerifyDbConnection.php; backend/app/Commands/VerifyPhase11ReferenceData.php; backend/app/Commands/VerifyPhase13Step4Local.php (+6 more)","None (Read-Only Reference Data)","backend/tests, Phase 15 regression, Phase 18 DR","id","Foreign keys enforced with integrity constraints","Composite & active-history unique guards","8 columns indexed appropriately","ACTIVE-READ-ONLY","YES","HIGH","Refined runtime classification: 9 readers, 0 writers in app runtime code"
"portfolio_subcategories","000001-000026 PHP Migrations / 000001-000011 SQL Replay","Applies via sequential schema chain","Runtime Operations","backend/app/Commands/VerifyDbConnection.php; backend/app/Commands/VerifyPhase11ReferenceData.php; backend/app/Commands/VerifyPhase13Step4Local.php (+3 more)","None (Read-Only Reference Data)","backend/tests, Phase 15 regression, Phase 18 DR","id","Foreign keys enforced with integrity constraints","Composite & active-history unique guards","10 columns indexed appropriately","ACTIVE-READ-ONLY","YES","HIGH","Refined runtime classification: 6 readers, 0 writers in app runtime code"
"profile_roles","000001-000026 PHP Migrations / 000001-000011 SQL Replay","Applies via sequential schema chain","DemoAcademicStructureSeeder; 000010_constraints_indexes_reference_seeds.sql","backend/app/Services/AuthenticatedActorService.php; backend/app/Services/ReviewerResolverService.php","backend/app/Controllers/Api/TargetProvisioningController.php; backend/app/Database/Seeds/DefenseDemoPersonaSeeder.php; backend/app/Database/Seeds/LocalDefenseAuthSeeder.php","backend/tests, Phase 15 regression, Phase 18 DR","id","Foreign keys enforced with integrity constraints","Composite & active-history unique guards","8 columns indexed appropriately","ACTIVE-READ-WRITE","YES","HIGH","Refined runtime classification: 2 readers, 3 writers in app runtime code"
"profiles","000001-000026 PHP Migrations / 000001-000011 SQL Replay","Applies via sequential schema chain","LocalDefenseAuthSeeder; DefenseDemoPersonaSeeder","backend/app/Commands/VerifyPhase12Demo.php; backend/app/Commands/VerifyPhase13Step4Local.php; backend/app/Commands/VerifyPhase14Awards.php (+13 more)","backend/app/Commands/VerifyPhase11ReferenceData.php; backend/app/Controllers/Api/TargetProvisioningController.php; backend/app/Database/Seeds/DefenseDemoPersonaSeeder.php (+2 more)","backend/tests, Phase 15 regression, Phase 18 DR","id","Foreign keys enforced with integrity constraints","Composite & active-history unique guards","16 columns indexed appropriately","ACTIVE-READ-WRITE","YES","HIGH","Refined runtime classification: 16 readers, 5 writers in app runtime code"
"program_coordinator_assignments","000001-000026 PHP Migrations / 000001-000011 SQL Replay","Applies via sequential schema chain","DemoAcademicStructureSeeder; 000010_constraints_indexes_reference_seeds.sql","backend/app/Commands/VerifyPhase12Demo.php; backend/app/Controllers/Api/PersonnelRoleController.php; backend/app/Controllers/Api/TargetHRPersonnelController.php (+2 more)","backend/app/Controllers/Api/PersonnelRoleController.php; backend/app/Database/Seeds/DefenseDemoPersonaSeeder.php; backend/app/Database/Seeds/LocalDefenseAuthSeeder.php","backend/tests, Phase 15 regression, Phase 18 DR","id","Foreign keys enforced with integrity constraints","Composite & active-history unique guards","11 columns indexed appropriately","ACTIVE-READ-WRITE","YES","HIGH","Refined runtime classification: 5 readers, 3 writers in app runtime code"
"role_assignment_events","000001-000026 PHP Migrations / 000001-000011 SQL Replay","Applies via sequential schema chain","DemoAcademicStructureSeeder; 000010_constraints_indexes_reference_seeds.sql","None (Seeded Reference / Audit)","None (Read-Only Reference Data)","backend/tests, Phase 15 regression, Phase 18 DR","id","Foreign keys enforced with integrity constraints","Composite & active-history unique guards","8 columns indexed appropriately","AUDIT-ONLY","YES","HIGH","Refined runtime classification: 0 readers, 0 writers in app runtime code"
"roles","000001-000026 PHP Migrations / 000001-000011 SQL Replay","Applies via sequential schema chain","DemoAcademicStructureSeeder; 000010_constraints_indexes_reference_seeds.sql","backend/app/Commands/VerifyDbConnection.php; backend/app/Commands/VerifyPhase11ReferenceData.php; backend/app/Commands/VerifyPhase18DisasterRecovery.php (+5 more)","None (Read-Only Reference Data)","backend/tests, Phase 15 regression, Phase 18 DR","id","Foreign keys enforced with integrity constraints","Composite & active-history unique guards","7 columns indexed appropriately","ACTIVE-READ-ONLY","YES","HIGH","Refined runtime classification: 8 readers, 0 writers in app runtime code"
"student_award_criterion_scores","000001-000026 PHP Migrations / 000001-000011 SQL Replay","Applies via sequential schema chain","DemoAcademicStructureSeeder; 000010_constraints_indexes_reference_seeds.sql","None (Seeded Reference / Audit)","backend/app/Services/AwardEvaluationService.php","backend/tests, Phase 15 regression, Phase 18 DR","id","Foreign keys enforced with integrity constraints","Composite & active-history unique guards","9 columns indexed appropriately","ACTIVE-WRITE-ONLY","YES","HIGH","Refined runtime classification: 0 readers, 1 writers in app runtime code"
