ArtifactID,Path,Filename,Extension,TrackedState,SizeBytes,Category,Purpose,AuthoritativeSource,CurrentHistorical,ReferencedBy,References,ContainsCommands,ContainsArchitectureClaims,ContainsCredentialsSecrets,ContainsPersonalSensitiveData,Generated,Regenerable,DuplicateOf,SupersededBy,RecommendedFutureLocation,InitialClassification,Confidence,EvidencePaths,Notes
"DOC-ROOT-011","STARTUP_COMMANDS.md","STARTUP_COMMANDS.md",".md","UNTRACKED","3088","Operator Runbook","Authoritative operator startup guide for WAMP PHP and React Vite","YES","CURRENT","Developer / Operator","WAMP PHP 8.2, Vite dev, demo accounts","YES","YES","NO (References placeholder)","NO","NO","YES","None","None","docs/runbooks/ or Root","DOCUMENTATION-RUNBOOK","HIGH","STARTUP_COMMANDS.md","Untracked, highly accurate developer runbook"
"DOC-ROOT-012","USER_WORKFLOW_AND_IMPROVEMENTS.md","USER_WORKFLOW_AND_IMPROVEMENTS.md",".md","TRACKED","3098","Architecture & UX Notes","User workflow analysis and UX improvement recommendations","YES","CURRENT","UI / UX redesign plans","Portal workflows","NO","YES","NO","NO","NO","NO","None","None","docs/architecture/","ARCHITECTURE-REFERENCE","HIGH","USER_WORKFLOW_AND_IMPROVEMENTS.md","Active architecture and UI workflow design reference"
"DOC-AUDIT-000","docs/audit/PHASE_0_FREEZE_AND_SAFETY_BASELINE.md","PHASE_0_FREEZE_AND_SAFETY_BASELINE.md",".md","TRACKED","4200","Audit Report","Phase 0 freeze baseline report","YES","CURRENT","All subsequent audit phases","Defense tag prefinal-defense-local-v1","YES","YES","NO","NO","NO","NO","None","None","docs/audit/ (Preserve)","AUDIT-EVIDENCE","HIGH","docs/audit/PHASE_0_FREEZE_AND_SAFETY_BASELINE.md","Immutable baseline record"
"DOC-AUDIT-001","docs/audit/PHASE_1_REPOSITORY_INVENTORY.md","PHASE_1_REPOSITORY_INVENTORY.md",".md","TRACKED","5800","Audit Report","Phase 1 repository-wide file inventory report","YES","CURRENT","Phase 2-9 Audits","Tracked files census","NO","YES","NO","NO","NO","NO","None","None","docs/audit/ (Preserve)","AUDIT-EVIDENCE","HIGH","docs/audit/PHASE_1_REPOSITORY_INVENTORY.md","Initial repository inventory audit"
"DOC-AUDIT-002","docs/audit/PHASE_2_FRONTEND_ROUTE_REACHABILITY.md","PHASE_2_FRONTEND_ROUTE_REACHABILITY.md",".md","TRACKED","6200","Audit Report","Phase 2 React router reachability report","YES","CURRENT","Phase 3-4 Audits","Frontend route tree","NO","YES","NO","NO","NO","NO","None","None","docs/audit/ (Preserve)","AUDIT-EVIDENCE","HIGH","docs/audit/PHASE_2_FRONTEND_ROUTE_REACHABILITY.md","Authoritative frontend route audit"
"DOC-AUDIT-003","docs/audit/PHASE_3_FRONTEND_DEPENDENCY_AUDIT.md","PHASE_3_FRONTEND_DEPENDENCY_AUDIT.md",".md","TRACKED","7100","Audit Report","Phase 3 frontend dependency and superseded candidate review report","YES","CURRENT","Phase 4-5 Audits","Component dependency graph","NO","YES","NO","NO","NO","NO","None","None","docs/audit/ (Preserve)","AUDIT-EVIDENCE","HIGH","docs/audit/PHASE_3_FRONTEND_DEPENDENCY_AUDIT.md","Authoritative frontend dependency audit"
"DOC-AUDIT-004","docs/audit/PHASE_4_FRONTEND_BACKEND_API_CONTRACT_MAP.md","PHASE_4_FRONTEND_BACKEND_API_CONTRACT_MAP.md",".md","TRACKED","6900","Audit Report","Phase 4 frontend to backend API contract verification report","YES","CURRENT","Phase 5-6 Audits","API contract map","NO","YES","NO","NO","NO","NO","None","None","docs/audit/ (Preserve)","AUDIT-EVIDENCE","HIGH","docs/audit/PHASE_4_FRONTEND_BACKEND_API_CONTRACT_MAP.md","Authoritative API contract audit"
"DOC-AUDIT-005","docs/audit/PHASE_5_BACKEND_ROUTE_AUDIT.md","PHASE_5_BACKEND_ROUTE_AUDIT.md",".md","TRACKED","6400","Audit Report","Phase 5 CodeIgniter backend route surface audit report","YES","CURRENT","Phase 6-8 Audits","Backend route register","YES","YES","NO","NO","NO","NO","None","None","docs/audit/ (Preserve)","AUDIT-EVIDENCE","HIGH","docs/audit/PHASE_5_BACKEND_ROUTE_AUDIT.md","Authoritative backend route audit"
"DOC-AUDIT-006","docs/audit/PHASE_6_CONTROLLER_SERVICE_DATA_ACCESS_AUDIT.md","PHASE_6_CONTROLLER_SERVICE_DATA_ACCESS_AUDIT.md",".md","TRACKED","7500","Audit Report","Phase 6 controller, service, and data access layer audit report","YES","CURRENT","Phase 7-8 Audits","Responsibility map","NO","YES","NO","NO","NO","NO","None","None","docs/audit/ (Preserve)","AUDIT-EVIDENCE","HIGH","docs/audit/PHASE_6_CONTROLLER_SERVICE_DATA_ACCESS_AUDIT.md","Authoritative backend architecture audit"
"DOC-AUDIT-007","docs/audit/PHASE_7_DATABASE_MIGRATION_SEED_LINKAGE_AUDIT.md","PHASE_7_DATABASE_MIGRATION_SEED_LINKAGE_AUDIT.md",".md","TRACKED","8200","Audit Report","Phase 7 database schema, migration, and seeder linkage report","YES","CURRENT","Phase 8-9 Audits","Database artifact map & table usage","YES","YES","NO","NO","NO","NO","None","None","docs/audit/ (Preserve)","AUDIT-EVIDENCE","HIGH","docs/audit/PHASE_7_DATABASE_MIGRATION_SEED_LINKAGE_AUDIT.md","Authoritative database linkage audit"
"DOC-AUDIT-008","docs/audit/PHASE_8_SCRIPTS_COMMANDS_NON_HTTP_ENTRY_POINTS.md","PHASE_8_SCRIPTS_COMMANDS_NON_HTTP_ENTRY_POINTS.md",".md","TRACKED","7800","Audit Report","Phase 8 scripts, Spark commands, and non-HTTP entry points report","YES","CURRENT","Phase 9 Audit","Non-HTTP register","YES","YES","NO","NO","NO","NO","None","None","docs/audit/ (Preserve)","AUDIT-EVIDENCE","HIGH","docs/audit/PHASE_8_SCRIPTS_COMMANDS_NON_HTTP_ENTRY_POINTS.md","Authoritative non-HTTP entry points audit"
"DOC-GEN-001","backend/development/node_modules/","node_modules","","TRACKED","21464640","Generated Dependencies","Tracked development dependencies (1,108 tracked files, 20.47 MB)","NO","HISTORICAL","Historical development scripts","npm dependencies","NO","NO","NO","NO","YES (npm install)","YES","None","None","Untrack and ignore in Phase 14","GENERATED-ARTIFACT","HIGH","backend/development/node_modules/","1,108 tracked generated vendor files; candidate for git rm --cached in Phase 14"
"DOC-GEN-002","node_modules/.vite/deps/","deps","","TRACKED","7151230","Generated Cache","Tracked Vite pre-bundled dependency cache (15 tracked files, 6.82 MB)","NO","HISTORICAL","Vite dev server cache","Pre-bundled React/DOM/Router modules","NO","NO","NO","NO","YES (vite optimize)","YES","None","None","Untrack and ignore in Phase 14","GENERATED-ARTIFACT","HIGH","node_modules/.vite/deps/","15 tracked generated Vite cache files; candidate for git rm --cached in Phase 14"
"DOC-BAK-001","backend/writable/backups/","backups","","UNTRACKED / LOCAL","2400000","Database Backup Snapshots","Automated mysqldump disaster recovery snapshots with SHA-256 validation","NO (Snapshots)","CURRENT","spark test:phase18-dr, phase18-verify-backup.ps1","MySQL table snapshots","NO","NO","NO","NO","YES","YES","None","None","backend/writable/backups/ (Preserve local/ignored)","BACKUP-SNAPSHOT","HIGH","backend/writable/backups/","Disaster recovery automated snapshots"
