EntryID,Path,EntryType,CommandScriptName,Language,FeaturePurpose,InvocationSyntax,InvokedBy,Invokes,RuntimeSetupTestRecoveryHistorical,ReadsConfig,ReadsEnvironmentVariables,TouchesDatabase,TouchesFilesystem,TouchesNetwork,UsesCredentialsSecrets,SafeReadOnly,DestructivePotential,LocalDefenseRelevance,CompatibilityRole,TestCoverage,InitialClassification,Confidence,EvidencePaths,Notes
"NHTTP-SPARK-011","backend/app/Commands/VerifyPhase14Workflows.php","Spark Command","test:phase14-workflows","PHP","Runs Phase 14 Remaining Local Defense Workflows (HR, Personnel, Governance, Lifecycle, Audit) verification suite","spark test:phase14-workflows","spark test:phase15-backend / Operator","HREvaluationService, PersonnelPolicy, AccountLifecycleController","Test","YES","YES","READ-ONLY","NO","NO","NO","YES","NONE","CORE REGRESSION SUITE","CURRENT","HR workflows tests","ACTIVE-TEST","HIGH","backend/app/Commands/VerifyPhase14Workflows.php","Verifies faculty evaluation, promotional ranking, and lifecycle states"
"NHTTP-SPARK-012","backend/app/Commands/VerifyPhase15BackendRegression.php","Spark Command","test:phase15-backend","PHP","Runs Master Phase 15 Backend Regression Gate across all local-approved defense suites","spark test:phase15-backend","Operator / STARTUP_COMMANDS.md / CI","All sub-phase verification commands","Test Gate","YES","YES","READ-ONLY","READ-ONLY","NO","NO","YES","NONE","MASTER REGRESSION GATE","CURRENT","Complete backend regression coverage","ACTIVE-TEST","HIGH","backend/app/Commands/VerifyPhase15BackendRegression.php, STARTUP_COMMANDS.md:63","Authoritative backend regression master test runner"
"NHTTP-SPARK-013","backend/app/Commands/VerifyPhase18DisasterRecovery.php","Spark Command","test:phase18-dr","PHP","Executes complete Phase 18 Disaster Recovery & Defense Fixture Restoration Validation","spark test:phase18-dr","Operator / STARTUP_COMMANDS.md","mysqldump backup & restore validation harnesses","Recovery Validation","YES","YES","BACKUP / RESTORE","WRITES (Generates test dumps in writable/backups)","NO","NO","NO","LOW (Operates in isolated test validation path)","DISASTER RECOVERY GATE","CURRENT","DR test suite","ACTIVE-RECOVERY","HIGH","backend/app/Commands/VerifyPhase18DisasterRecovery.php, STARTUP_COMMANDS.md:72","Proves zero-data-loss database and evidence recovery"
"NHTTP-PS1-001","backend/scripts/enable-php-extensions.ps1","PowerShell Script","enable-php-extensions.ps1","PowerShell","Configures WAMP php.ini with required mysqli and curl extensions","powershell -File backend/scripts/enable-php-extensions.ps1","Setup runbooks / Developer setup","WAMP php.ini editor","Setup","YES","NO","NO","WRITES (Updates php.ini)","NO","NO","NO","LOW","DEFENSE ENVIRONMENT SETUP","CURRENT","Manual execution","ACTIVE-SETUP","HIGH","backend/scripts/enable-php-extensions.ps1","Ensures WAMP PHP 8.2 extensions are properly enabled"
"NHTTP-PS1-002","backend/scripts/phase15-backend-regression.ps1","PowerShell Script","phase15-backend-regression.ps1","PowerShell","Executes master Phase 15 regression suite via PowerShell wrapper","powershell -File backend/scripts/phase15-backend-regression.ps1","Operator / CI","spark test:phase15-backend","Test","YES","YES","READ-ONLY","NO","NO","NO","YES","NONE","REGRESSION WRAPPER","CURRENT","Regression tests","ACTIVE-TEST","HIGH","backend/scripts/phase15-backend-regression.ps1","PowerShell wrapper around spark test:phase15-backend"
"NHTTP-PS1-003","backend/scripts/phase18-verify-backup.ps1","PowerShell Script","phase18-verify-backup.ps1","PowerShell","Verifies integrity and SHA-256 hashes of database backup snapshots","powershell -File backend/scripts/phase18-verify-backup.ps1","Disaster Recovery validation / Operator","Hash computation across backend/writable/backups","Backup Validation","NO","NO","NO","READ-ONLY","NO","NO","YES","NONE","DISASTER RECOVERY GATE","CURRENT","DR test suite","ACTIVE-BACKUP","HIGH","backend/scripts/phase18-verify-backup.ps1","Validates snapshot file integrity"
"NHTTP-PS1-004","backend/scripts/php.ps1","PowerShell Script","php.ps1","PowerShell","PowerShell alias invoking WAMP PHP 8.2 binary directly",".\backend\scripts\php.ps1 <args>","Developer terminal shortcut","C:\wamp64\bin\php\php8.2.29\php.exe","Developer Tooling","NO","NO","NO","NO","NO","NO","YES","NONE","CONVENIENCE ALIAS","CURRENT","Manual execution","ACTIVE-OPERATIONAL","HIGH","backend/scripts/php.ps1","Convenience wrapper for WAMP PHP"
"NHTTP-PS1-005","backend/scripts/spark.ps1","PowerShell Script","spark.ps1","PowerShell","PowerShell alias invoking spark CLI with WAMP PHP 8.2 binary",".\backend\scripts\spark.ps1 <command>","Developer terminal shortcut","C:\wamp64\bin\php\php8.2.29\php.exe spark","Developer Tooling","NO","NO","NO","NO","NO","NO","YES","NONE","CONVENIENCE ALIAS","CURRENT","Manual execution","ACTIVE-OPERATIONAL","HIGH","backend/scripts/spark.ps1","Convenience wrapper for Spark"
"NHTTP-PS1-006","frontend/scripts/phase16-department-audit.ps1","PowerShell Script","phase16-department-audit.ps1","PowerShell","Scans codebase to verify elimination of legacy department concepts","powershell -File frontend/scripts/phase16-department-audit.ps1","Phase 16 validation / Operator","ripgrep pattern searches","Validation","NO","NO","NO","READ-ONLY","NO","NO","YES","NONE","CODE QUALITY GATE","CURRENT","Phase 16 verification","ACTIVE-VALIDATION","HIGH","frontend/scripts/phase16-department-audit.ps1","Enforces College / Program / Unit terminology"
"NHTTP-PS1-007","frontend/scripts/phase16-frontend-regression.ps1","PowerShell Script","phase16-frontend-regression.ps1","PowerShell","Runs comprehensive frontend Vitest suite across all 29 test files","powershell -File frontend/scripts/phase16-frontend-regression.ps1","Operator / CI","npm test (Vitest)","Test","NO","NO","NO","NO","NO","NO","YES","NONE","FRONTEND REGRESSION GATE","CURRENT","Vitest 29/29 suites","ACTIVE-TEST","HIGH","frontend/scripts/phase16-frontend-regression.ps1","Authoritative frontend test runner wrapper"
"NHTTP-PS1-008","frontend/scripts/phase16-terminology-audit.ps1","PowerShell Script","phase16-terminology-audit.ps1","PowerShell","Scans frontend source code for forbidden legacy terms","powershell -File frontend/scripts/phase16-terminology-audit.ps1","Phase 16 validation","Static regex searches","Validation","NO","NO","NO","READ-ONLY","NO","NO","YES","NONE","CODE QUALITY GATE","CURRENT","Static audit","ACTIVE-VALIDATION","HIGH","frontend/scripts/phase16-terminology-audit.ps1","Static terminology compliance checker"
"NHTTP-PS1-009","frontend/scripts/phase17-secret-audit.ps1","PowerShell Script","phase17-secret-audit.ps1","PowerShell","Static secret audit verifying zero plaintext secrets or Supabase keys in frontend bundle","powershell -File frontend/scripts/phase17-secret-audit.ps1","STARTUP_COMMANDS.md:90 / Operator","Security scanning across frontend/src","Security Validation","NO","NO","NO","READ-ONLY","NO","NO","YES","NONE","OFFLINE SECURITY GATE","CURRENT","Security audit","ACTIVE-OFFLINE-DEFENSE","HIGH","frontend/scripts/phase17-secret-audit.ps1, STARTUP_COMMANDS.md:90","Proves zero hardcoded credentials or cloud secrets"
"NHTTP-NODE-001","frontend/scripts/run-phase16-browser-evidence.js","Node Script","run-phase16-browser-evidence.js","JavaScript","Orchestrates headless/browser test execution for visual evidence generation","node frontend/scripts/run-phase16-browser-evidence.js","Operator / Phase 16 validation","Playwright / Vitest browser runners","Validation","NO","NO","NO","WRITES (Evidence logs)","LOCAL (localhost:5173)","NO","YES","NONE","UI EVIDENCE GENERATOR","CURRENT","Browser evidence suites","ACTIVE-VALIDATION","HIGH","frontend/scripts/run-phase16-browser-evidence.js","Generates UI verification evidence"
"NHTTP-NODE-002","frontend/scripts/run-phase17-offline-validation.js","Node Script","run-phase17-offline-validation.js","JavaScript","Executes comprehensive offline defense network validation verifying zero cloud traffic","node frontend/scripts/run-phase17-offline-validation.js","Operator / Phase 17 validation","Offline network interceptors","Offline Validation","YES","YES","NO","NO","LOCAL (127.0.0.1 only)","NO","YES","NONE","OFFLINE DEFENSE GATE","CURRENT","Zero-call tests","ACTIVE-OFFLINE-DEFENSE","HIGH","frontend/scripts/run-phase17-offline-validation.js","Proves complete offline autonomy"
"NHTTP-HIST-001","backend/scripts/verify-admin-bootstrap-full.mjs","Node Script","verify-admin-bootstrap-full.mjs","JavaScript (ESM)","Historical admin bootstrap verification script against PostgreSQL/Supabase","node backend/scripts/verify-admin-bootstrap-full.mjs","Historical bootstrap tests (superseded by spark test:phase15-backend)","PostgreSQL client connection","Historical Test","YES (.env)","YES","READ-ONLY (Postgres)","NO","EXTERNAL (Supabase if configured)","YES (DB password)","YES","NONE","HISTORICAL ARTIFACT","SUPERSEDED","Historical tests","HISTORICAL","HIGH","backend/scripts/verify-admin-bootstrap-full.mjs","Historical verification script; preserved safely for Phase 10 review"
"NHTTP-HIST-002","backend/development/verify-admin-bootstrap-full.mjs","Node Script","verify-admin-bootstrap-full.mjs (dev copy)","JavaScript (ESM)","Duplicate historical development copy of admin bootstrap verification script","node backend/development/verify-admin-bootstrap-full.mjs","Historical development tests","PostgreSQL client connection","Historical Test","YES","YES","READ-ONLY (Postgres)","NO","EXTERNAL (Supabase if configured)","YES","YES","NONE","HISTORICAL ARTIFACT","DUPLICATE","Historical tests","DUPLICATE-CANDIDATE","HIGH","backend/development/verify-admin-bootstrap-full.mjs","Exact functional duplicate of backend/scripts/verify-admin-bootstrap-full.mjs"
"NHTTP-DOC-001","STARTUP_COMMANDS.md","Markdown Runbook","STARTUP_COMMANDS.md","Markdown","Authoritative operator runbook for WAMP PHP backend, React Vite frontend, and test execution","Manual operator instruction reference","Human developer / defense operator","WAMP PHP server, npm run dev, spark test suites","Runbook","NO","NO","NO","NO","NO","NO (References placeholder)","YES","NONE","AUTHORITATIVE OPERATOR RUNBOOK","CURRENT","Manual validation","DOCUMENTATION-RUNBOOK","HIGH","STARTUP_COMMANDS.md","Accurate, non-destructive startup and testing guide"
