"ActionID","BatchNumber","Category","ActionType","SourcePath","DestinationPath","ScopeDescription","Rationale","VerificationMethod","ValidationStatus","CommitHash","RiskLevel","Notes"
"ACT-026","3","Dead Code Removal","FILE_DELETE","frontend/src/models/AcademicStructureModel.js","N/A (Deleted)","Delete unreferenced legacy academic structure model","Superseded by OSADAcademicHierarchy and reference seeders","Vitest + Build + Lint","PASSED","2c8966b","LOW","0 callers in repository"
"ACT-027","3","Dead Code Removal","FILE_DELETE","frontend/src/components/common/ProtectedRoute.jsx","N/A (Deleted)","Delete unmounted protected route wrapper","Superseded by RouteAccessController and App.jsx routing guards","Vitest + Build + Lint","PASSED","2c8966b","LOW","0 callers in repository"
"ACT-028","3","Dead Code Removal","FILE_DELETE","frontend/src/components/osad/OSADQuickActions.jsx","N/A (Deleted)","Delete unused OSAD quick actions subcomponent","Superseded by OSADDashboardPage quick action strip","Vitest + Build + Lint","PASSED","2c8966b","LOW","0 callers in repository"
"ACT-029","4","Duplicate Script Removal","FILE_DELETE","backend/development/verify-admin-bootstrap-full.mjs","N/A (Deleted)","Delete duplicate bootstrap verifier in development/","Exact duplicate of backend/scripts/verify-admin-bootstrap-full.mjs","Spark route & syntax validation","PASSED","99f57a7","LOW","Retained canonical backend/scripts/ copy"
"ACT-030","5","Empty Folder Retirement","DIR_CLEANUP","frontend/src/pages/hr-admin/evaluation-submissions/evaluation/portfolio/","N/A (Retired)","Retire empty portfolio folder","Directory contains 0 files post-cleanup","Filesystem verify","PASSED","N/A (Git tree)","LOW","Folder retired"
"ACT-031","5","Empty Folder Retirement","DIR_CLEANUP","frontend/src/pages/personnel/program-coordinator/tabs/","N/A (Retired)","Retire empty coordinator tabs folder","Directory contains 0 files post-cleanup","Filesystem verify","PASSED","N/A (Git tree)","LOW","Folder retired"
"ACT-032","5","Empty Folder Retirement","DIR_CLEANUP","frontend/src/pages/personnel/department-secretary/","N/A (Retired)","Retire empty department secretary folder","Directory contains 0 files post-cleanup","Filesystem verify","PASSED","N/A (Git tree)","LOW","Folder retired"
"ACT-033","6","Documentation Reorganization","FILE_MOVE","AchieveNest_Phase_2_Pre_Execution_Migration_Code_Review.md","docs/history/AchieveNest_Phase_2_Pre_Execution_Migration_Code_Review.md","Move Phase 2 review to history/","Clean repository root per Phase 13 organization","Git status verify","PASSED","3f0e40f","LOW","100% rename match"
"ACT-034","6","Documentation Reorganization","FILE_MOVE","AchieveNest_Phase_4_Fresh_Disposable_Database_Build_Report.md","docs/reports/AchieveNest_Phase_4_Fresh_Disposable_Database_Build_Report.md","Move Phase 4 report to reports/","Clean repository root per Phase 13 organization","Git status verify","PASSED","3f0e40f","LOW","100% rename match"
"ACT-035","6","Documentation Reorganization","FILE_MOVE","AchieveNest_Phase_5_Reset_and_Replay_Validation_Report.md","docs/reports/AchieveNest_Phase_5_Reset_and_Replay_Validation_Report.md","Move Phase 5 report to reports/","Clean repository root per Phase 13 organization","Git status verify","PASSED","3f0e40f","LOW","100% rename match"
"ACT-036","6","Documentation Reorganization","FILE_MOVE","AchieveNest_Phase_6_Fresh_Build_vs_Current_Test_Reconciliation_Report.md","docs/reports/AchieveNest_Phase_6_Fresh_Build_vs_Current_Test_Reconciliation_Report.md","Move Phase 6 report to reports/","Clean repository root per Phase 13 organization","Git status verify","PASSED","3f0e40f","LOW","100% rename match"
"ACT-037","6","Documentation Reorganization","FILE_MOVE","AchieveNest_Phase_7_Test_Reconciliation_Report.md","docs/reports/AchieveNest_Phase_7_Test_Reconciliation_Report.md","Move Phase 7 report to reports/","Clean repository root per Phase 13 organization","Git status verify","PASSED","3f0e40f","LOW","100% rename match"
"ACT-038","6","Documentation Reorganization","FILE_MOVE","AchieveNest_Phase_8_Application_Security_and_Role_Based_E2E_Validation_Report.md","docs/reports/AchieveNest_Phase_8_Application_Security_and_Role_Based_E2E_Validation_Report.md","Move Phase 8 report to reports/","Clean repository root per Phase 13 organization","Git status verify","PASSED","3f0e40f","LOW","100% rename match"
"ACT-039","6","Documentation Reorganization","FILE_MOVE","AchieveNest_Phase_8_E2E_Test_Matrix.md","docs/reports/AchieveNest_Phase_8_E2E_Test_Matrix.md","Move Phase 8 matrix to reports/","Clean repository root per Phase 13 organization","Git status verify","PASSED","3f0e40f","LOW","100% rename match"
"ACT-040","6","Documentation Reorganization","FILE_MOVE","USER_WORKFLOW_AND_IMPROVEMENTS.md","docs/architecture/USER_WORKFLOW_AND_IMPROVEMENTS.md","Move workflow document to architecture/","Clean repository root per Phase 13 organization","Git status verify","PASSED","3f0e40f","LOW","100% rename match"
"ACT-041","6","Documentation Reorganization","FILE_MOVE","STARTUP_COMMANDS.md","docs/runbooks/STARTUP_COMMANDS.md","Move startup commands to runbooks/","Clean repository root per Phase 13 organization","Git status verify","PASSED","3f0e40f","LOW","Tracked and organized"
"ACT-042","7","Database Dump Archive","FILE_ARCHIVE_UNTRACK","AchieveNest-Test_Pre_Phase7_2026-08-28_0036.dump","archive/database/AchieveNest-Test_Pre_Phase7_2026-08-28_0036.dump","Archive database dump and untrack from git","Preserve byte-for-byte binary dump locally while untracking from VCS","SHA256 checksum comparison","PASSED","910fecf","LOW","SHA256 verified: 7EBF9B8CA823C504AA5CED2293AF65970A14841DF9AC669984B9BB79375EA95A"
"ACT-043","8","Dependency Untracking","GIT_UNTRACK","backend/development/node_modules/","backend/development/node_modules/","Untrack generated node modules from Git tracking","Avoid tracking build/development dependency tree in Git","Git status + .gitignore verify","PASSED","9d3455e","LOW","Untracked from git; added to .gitignore"
"ACT-044","8","Dependency Untracking","GIT_UNTRACK","node_modules/.vite/","node_modules/.vite/","Untrack Vite build cache from Git tracking","Avoid tracking generated Vite cache in Git","Git status + .gitignore verify","PASSED","9d3455e","LOW","Untracked from git; added to .gitignore"
