"route","http_method","controller_action","controller_file","service_files","tables","access","auth_scope"
"/api/v1/provisioning/manual-personnel","POST","Api\TargetProvisioningController::manualPersonnel","backend/app/Controllers/Api/TargetProvisioningController.php","AuthenticatedActorService;FacultyStatusService;PersonnelClassificationService;SupabaseAdminAuthService","academic_programs;account_lifecycle_events;administrative_unit_id;administrative_units;audit_logs;college_id;colleges;current_rank_title;faculty_engagement;local_auth_credentials;organizational_side;personnel_administrative_unit_affiliations;personnel_college_affiliations;personnel_group;personnel_profiles;personnel_program_affiliations;position_title;profile_roles;profiles;qualification_summary;roles;student_profiles;student_program_enrollments","WRITE_OR_ACTION","Controller/filter enforced; inspect mapped action"
"/api/v1/provisioning/availability","POST","Api\TargetProvisioningController::availability","backend/app/Controllers/Api/TargetProvisioningController.php","AuthenticatedActorService;FacultyStatusService;PersonnelClassificationService;SupabaseAdminAuthService","academic_programs;account_lifecycle_events;administrative_unit_id;administrative_units;audit_logs;college_id;colleges;current_rank_title;faculty_engagement;local_auth_credentials;organizational_side;personnel_administrative_unit_affiliations;personnel_college_affiliations;personnel_group;personnel_profiles;personnel_program_affiliations;position_title;profile_roles;profiles;qualification_summary;roles;student_profiles;student_program_enrollments","WRITE_OR_ACTION","Controller/filter enforced; inspect mapped action"
"/api/v1/provisioning/preview-roster","POST","Api\ProvisioningController::previewRoster","backend/app/Controllers/Api/ProvisioningController.php","AuthenticatedActorService;SupabaseAdminAuthService","account_lifecycle_events;degree_programs;profile_roles;profiles;roles","WRITE_OR_ACTION","Controller/filter enforced; inspect mapped action"
"/api/v1/provisioning/commit-roster","POST","Api\ProvisioningController::commitRoster","backend/app/Controllers/Api/ProvisioningController.php","AuthenticatedActorService;SupabaseAdminAuthService","account_lifecycle_events;degree_programs;profile_roles;profiles;roles","WRITE_OR_ACTION","Controller/filter enforced; inspect mapped action"
"/api/v1/accounts/(:segment)/suspend","POST","Api\AccountLifecycleController::suspend/$1","backend/app/Controllers/Api/AccountLifecycleController.php","AuthorizationService;LocalAuthService","account_lifecycle_events;audit_logs;local_auth_credentials;profiles","WRITE_OR_ACTION","Controller/filter enforced; inspect mapped action"
"/api/v1/accounts/(:segment)/archive","POST","Api\AccountLifecycleController::archive/$1","backend/app/Controllers/Api/AccountLifecycleController.php","AuthorizationService;LocalAuthService","account_lifecycle_events;audit_logs;local_auth_credentials;profiles","WRITE_OR_ACTION","Controller/filter enforced; inspect mapped action"
"/api/v1/accounts/(:segment)/restore","POST","Api\AccountLifecycleController::restore/$1","backend/app/Controllers/Api/AccountLifecycleController.php","AuthorizationService;LocalAuthService","account_lifecycle_events;audit_logs;local_auth_credentials;profiles","WRITE_OR_ACTION","Controller/filter enforced; inspect mapped action"
"/api/v1/accounts/(:segment)/reset-temporary-password","POST","Api\AccountLifecycleController::resetTemporaryPassword/$1","backend/app/Controllers/Api/AccountLifecycleController.php","AuthorizationService;LocalAuthService","account_lifecycle_events;audit_logs;local_auth_credentials;profiles","WRITE_OR_ACTION","Controller/filter enforced; inspect mapped action"
"/api/v1/accounts/(:segment)/audit-delivery-action","POST","Api\AccountLifecycleController::auditDeliveryAction/$1","backend/app/Controllers/Api/AccountLifecycleController.php","AuthorizationService;LocalAuthService","account_lifecycle_events;audit_logs;local_auth_credentials;profiles","WRITE_OR_ACTION","Controller/filter enforced; inspect mapped action"
"/api/v1/accounts/(:segment)/lifecycle","GET","Api\AccountLifecycleController::events/$1","backend/app/Controllers/Api/AccountLifecycleController.php","AuthorizationService;LocalAuthService","account_lifecycle_events;audit_logs;local_auth_credentials;profiles","READ","Controller/filter enforced; inspect mapped action"
"/api/v1/achievements","GET","Api\AchievementController::index","backend/app/Controllers/Api/AchievementController.php","AuthorizationService","portfolio_categories;profiles;student_portfolio_records;student_portfolio_verification_events","READ","Controller/filter enforced; inspect mapped action"
"/api/v1/achievements","POST","Api\AchievementController::create","backend/app/Controllers/Api/AchievementController.php","AuthorizationService","portfolio_categories;profiles;student_portfolio_records;student_portfolio_verification_events","WRITE_OR_ACTION","Controller/filter enforced; inspect mapped action"
"/api/v1/personnel/accomplishments","GET","Api\PersonnelAccomplishmentController::index","backend/app/Controllers/Api/PersonnelAccomplishmentController.php","AuthorizationService;LocalEvidenceStorageService;PersonnelEvidenceUploadService","personnel_accomplishment_evidence;personnel_accomplishments","READ","Controller/filter enforced; inspect mapped action"
"/api/v1/personnel/accomplishments","POST","Api\PersonnelAccomplishmentController::create","backend/app/Controllers/Api/PersonnelAccomplishmentController.php","AuthorizationService;LocalEvidenceStorageService;PersonnelEvidenceUploadService","personnel_accomplishment_evidence;personnel_accomplishments","WRITE_OR_ACTION","Controller/filter enforced; inspect mapped action"
"/api/v1/personnel/accomplishments/(:segment)","PUT","Api\PersonnelAccomplishmentController::update/$1","backend/app/Controllers/Api/PersonnelAccomplishmentController.php","AuthorizationService;LocalEvidenceStorageService;PersonnelEvidenceUploadService","personnel_accomplishment_evidence;personnel_accomplishments","WRITE_OR_ACTION","Controller/filter enforced; inspect mapped action"
"/api/v1/personnel/accomplishments/(:segment)","DELETE","Api\PersonnelAccomplishmentController::delete/$1","backend/app/Controllers/Api/PersonnelAccomplishmentController.php","AuthorizationService;LocalEvidenceStorageService;PersonnelEvidenceUploadService","personnel_accomplishment_evidence;personnel_accomplishments","WRITE_OR_ACTION","Controller/filter enforced; inspect mapped action"
"/api/v1/personnel/accomplishments/(:segment)/evidence","POST","Api\PersonnelAccomplishmentController::addEvidence/$1","backend/app/Controllers/Api/PersonnelAccomplishmentController.php","AuthorizationService;LocalEvidenceStorageService;PersonnelEvidenceUploadService","personnel_accomplishment_evidence;personnel_accomplishments","WRITE_OR_ACTION","Controller/filter enforced; inspect mapped action"
"/api/v1/personnel/portfolio/submit","POST","Api\PersonnelPortfolioSubmissionController::submit","backend/app/Controllers/Api/PersonnelPortfolioSubmissionController.php","AuthorizationService;PersonnelEvidenceVersioningService","evaluation_root_id;evidence_id;personnel_accomplishment_evidence;personnel_accomplishments;personnel_evaluation_deficiency_requests;personnel_evaluation_events;personnel_evaluation_items;personnel_evaluation_reports;personnel_evaluation_roots;personnel_evaluations;profiles","WRITE_OR_ACTION","Controller/filter enforced; inspect mapped action"
"/api/v1/personnel/portfolio/submissions/resubmit","POST","Api\PersonnelPortfolioSubmissionController::resubmit","backend/app/Controllers/Api/PersonnelPortfolioSubmissionController.php","AuthorizationService;PersonnelEvidenceVersioningService","evaluation_root_id;evidence_id;personnel_accomplishment_evidence;personnel_accomplishments;personnel_evaluation_deficiency_requests;personnel_evaluation_events;personnel_evaluation_items;personnel_evaluation_reports;personnel_evaluation_roots;personnel_evaluations;profiles","WRITE_OR_ACTION","Controller/filter enforced; inspect mapped action"
"/api/v1/personnel/portfolio/resubmit","POST","Api\PersonnelPortfolioSubmissionController::resubmit","backend/app/Controllers/Api/PersonnelPortfolioSubmissionController.php","AuthorizationService;PersonnelEvidenceVersioningService","evaluation_root_id;evidence_id;personnel_accomplishment_evidence;personnel_accomplishments;personnel_evaluation_deficiency_requests;personnel_evaluation_events;personnel_evaluation_items;personnel_evaluation_reports;personnel_evaluation_roots;personnel_evaluations;profiles","WRITE_OR_ACTION","Controller/filter enforced; inspect mapped action"
"/api/v1/personnel/portfolio/submissions/history","GET","Api\PersonnelPortfolioSubmissionController::getHistory","backend/app/Controllers/Api/PersonnelPortfolioSubmissionController.php","AuthorizationService;PersonnelEvidenceVersioningService","evaluation_root_id;evidence_id;personnel_accomplishment_evidence;personnel_accomplishments;personnel_evaluation_deficiency_requests;personnel_evaluation_events;personnel_evaluation_items;personnel_evaluation_reports;personnel_evaluation_roots;personnel_evaluations;profiles","READ","Controller/filter enforced; inspect mapped action"
"/api/v1/personnel/portfolio/history","GET","Api\PersonnelPortfolioSubmissionController::getHistory","backend/app/Controllers/Api/PersonnelPortfolioSubmissionController.php","AuthorizationService;PersonnelEvidenceVersioningService","evaluation_root_id;evidence_id;personnel_accomplishment_evidence;personnel_accomplishments;personnel_evaluation_deficiency_requests;personnel_evaluation_events;personnel_evaluation_items;personnel_evaluation_reports;personnel_evaluation_roots;personnel_evaluations;profiles","READ","Controller/filter enforced; inspect mapped action"
"/api/v1/personnel/portfolio/submission/latest","GET","Api\PersonnelPortfolioSubmissionController::getLatest","backend/app/Controllers/Api/PersonnelPortfolioSubmissionController.php","AuthorizationService;PersonnelEvidenceVersioningService","evaluation_root_id;evidence_id;personnel_accomplishment_evidence;personnel_accomplishments;personnel_evaluation_deficiency_requests;personnel_evaluation_events;personnel_evaluation_items;personnel_evaluation_reports;personnel_evaluation_roots;personnel_evaluations;profiles","READ","Controller/filter enforced; inspect mapped action"
"/api/v1/personnel/portfolio/submissions/(:segment)/return-for-revision","POST","Api\PersonnelPortfolioSubmissionController::returnForRevision/$1","backend/app/Controllers/Api/PersonnelPortfolioSubmissionController.php","AuthorizationService;PersonnelEvidenceVersioningService","evaluation_root_id;evidence_id;personnel_accomplishment_evidence;personnel_accomplishments;personnel_evaluation_deficiency_requests;personnel_evaluation_events;personnel_evaluation_items;personnel_evaluation_reports;personnel_evaluation_roots;personnel_evaluations;profiles","WRITE_OR_ACTION","Controller/filter enforced; inspect mapped action"
"/api/v1/personnel/portfolio/purge","POST","Api\PersonnelPortfolioSubmissionController::purge","backend/app/Controllers/Api/PersonnelPortfolioSubmissionController.php","AuthorizationService;PersonnelEvidenceVersioningService","evaluation_root_id;evidence_id;personnel_accomplishment_evidence;personnel_accomplishments;personnel_evaluation_deficiency_requests;personnel_evaluation_events;personnel_evaluation_items;personnel_evaluation_reports;personnel_evaluation_roots;personnel_evaluations;profiles","WRITE_OR_ACTION","Controller/filter enforced; inspect mapped action"
"/api/v1/personnel/portfolio/purge","DELETE","Api\PersonnelPortfolioSubmissionController::purge","backend/app/Controllers/Api/PersonnelPortfolioSubmissionController.php","AuthorizationService;PersonnelEvidenceVersioningService","evaluation_root_id;evidence_id;personnel_accomplishment_evidence;personnel_accomplishments;personnel_evaluation_deficiency_requests;personnel_evaluation_events;personnel_evaluation_items;personnel_evaluation_reports;personnel_evaluation_roots;personnel_evaluations;profiles","WRITE_OR_ACTION","Controller/filter enforced; inspect mapped action"
"/api/v1/personnel/portfolio/submissions/(:segment)","PUT","Api\PersonnelPortfolioSubmissionController::updateSubmission/$1","backend/app/Controllers/Api/PersonnelPortfolioSubmissionController.php","AuthorizationService;PersonnelEvidenceVersioningService","evaluation_root_id;evidence_id;personnel_accomplishment_evidence;personnel_accomplishments;personnel_evaluation_deficiency_requests;personnel_evaluation_events;personnel_evaluation_items;personnel_evaluation_reports;personnel_evaluation_roots;personnel_evaluations;profiles","WRITE_OR_ACTION","Controller/filter enforced; inspect mapped action"
"/api/v1/personnel/portfolio/submissions/(:segment)","DELETE","Api\PersonnelPortfolioSubmissionController::deleteSubmission/$1","backend/app/Controllers/Api/PersonnelPortfolioSubmissionController.php","AuthorizationService;PersonnelEvidenceVersioningService","evaluation_root_id;evidence_id;personnel_accomplishment_evidence;personnel_accomplishments;personnel_evaluation_deficiency_requests;personnel_evaluation_events;personnel_evaluation_items;personnel_evaluation_reports;personnel_evaluation_roots;personnel_evaluations;profiles","WRITE_OR_ACTION","Controller/filter enforced; inspect mapped action"
"/api/v1/personnel/portfolio/submissions/(:segment)/items/(:segment)","PUT","Api\PersonnelPortfolioSubmissionController::updateItem/$1/$2","backend/app/Controllers/Api/PersonnelPortfolioSubmissionController.php","AuthorizationService;PersonnelEvidenceVersioningService","evaluation_root_id;evidence_id;personnel_accomplishment_evidence;personnel_accomplishments;personnel_evaluation_deficiency_requests;personnel_evaluation_events;personnel_evaluation_items;personnel_evaluation_reports;personnel_evaluation_roots;personnel_evaluations;profiles","WRITE_OR_ACTION","Controller/filter enforced; inspect mapped action"
"/api/v1/personnel/portfolio/submissions/(:segment)/items/(:segment)","DELETE","Api\PersonnelPortfolioSubmissionController::deleteItem/$1/$2","backend/app/Controllers/Api/PersonnelPortfolioSubmissionController.php","AuthorizationService;PersonnelEvidenceVersioningService","evaluation_root_id;evidence_id;personnel_accomplishment_evidence;personnel_accomplishments;personnel_evaluation_deficiency_requests;personnel_evaluation_events;personnel_evaluation_items;personnel_evaluation_reports;personnel_evaluation_roots;personnel_evaluations;profiles","WRITE_OR_ACTION","Controller/filter enforced; inspect mapped action"
"/api/v1/verification/queue","GET","Api\VerificationQueueController::queue","backend/app/Controllers/Api/VerificationQueueController.php","AuthorizationService","portfolio_categories;profiles;student_portfolio_records;student_portfolio_verification_events","READ","Controller/filter enforced; inspect mapped action"
"/api/v1/verification/(:segment)/decide","POST","Api\VerificationQueueController::decide/$1","backend/app/Controllers/Api/VerificationQueueController.php","AuthorizationService","portfolio_categories;profiles;student_portfolio_records;student_portfolio_verification_events","WRITE_OR_ACTION","Controller/filter enforced; inspect mapped action"
"/api/v1/events","GET","Api\EventController::index","backend/app/Controllers/Api/EventController.php","AuthorizationService","events;portfolio_categories;student_portfolio_records","READ","Controller/filter enforced; inspect mapped action"
"/api/v1/events","POST","Api\EventController::create","backend/app/Controllers/Api/EventController.php","AuthorizationService","events;portfolio_categories;student_portfolio_records","WRITE_OR_ACTION","Controller/filter enforced; inspect mapped action"
"/api/v1/events/(:segment)/participants","POST","Api\EventController::addParticipants/$1","backend/app/Controllers/Api/EventController.php","AuthorizationService","events;portfolio_categories;student_portfolio_records","WRITE_OR_ACTION","Controller/filter enforced; inspect mapped action"
"/api/v1/hr/personnel","GET","Api\TargetHRPersonnelController::directory","backend/app/Controllers/Api/TargetHRPersonnelController.php","AuthorizationService;FacultyStatusService;PersonnelClassificationService","account_lifecycle_events;administrative_units;colleges;current_rank_title;dean_assignments;faculty_engagement;local_auth_credentials;organizational_side;personnel_administrative_unit_affiliations;personnel_college_affiliations;personnel_group;personnel_profiles;position_title;profiles;qualification_summary","READ","Controller/filter enforced; inspect mapped action"
"/api/v1/hr/personnel/(:segment)/classification","PUT","Api\TargetHRPersonnelController::updateClassification/$1","backend/app/Controllers/Api/TargetHRPersonnelController.php","AuthorizationService;FacultyStatusService;PersonnelClassificationService","account_lifecycle_events;administrative_units;colleges;current_rank_title;dean_assignments;faculty_engagement;local_auth_credentials;organizational_side;personnel_administrative_unit_affiliations;personnel_college_affiliations;personnel_group;personnel_profiles;position_title;profiles;qualification_summary","WRITE_OR_ACTION","Controller/filter enforced; inspect mapped action"
"/api/v1/hr/personnel/(:segment)/master-data","GET","Api\TargetHRPersonnelController::getMasterData/$1","backend/app/Controllers/Api/TargetHRPersonnelController.php","AuthorizationService;FacultyStatusService;PersonnelClassificationService","account_lifecycle_events;administrative_units;colleges;current_rank_title;dean_assignments;faculty_engagement;local_auth_credentials;organizational_side;personnel_administrative_unit_affiliations;personnel_college_affiliations;personnel_group;personnel_profiles;position_title;profiles;qualification_summary","READ","Controller/filter enforced; inspect mapped action"
"/api/v1/hr/personnel/(:segment)/master-data","PUT","Api\TargetHRPersonnelController::updateMasterData/$1","backend/app/Controllers/Api/TargetHRPersonnelController.php","AuthorizationService;FacultyStatusService;PersonnelClassificationService","account_lifecycle_events;administrative_units;colleges;current_rank_title;dean_assignments;faculty_engagement;local_auth_credentials;organizational_side;personnel_administrative_unit_affiliations;personnel_college_affiliations;personnel_group;personnel_profiles;position_title;profiles;qualification_summary","WRITE_OR_ACTION","Controller/filter enforced; inspect mapped action"
"/api/v1/hr/personnel/(:segment)/status","PUT","Api\TargetHRPersonnelController::updateMasterData/$1","backend/app/Controllers/Api/TargetHRPersonnelController.php","AuthorizationService;FacultyStatusService;PersonnelClassificationService","account_lifecycle_events;administrative_units;colleges;current_rank_title;dean_assignments;faculty_engagement;local_auth_credentials;organizational_side;personnel_administrative_unit_affiliations;personnel_college_affiliations;personnel_group;personnel_profiles;position_title;profiles;qualification_summary","WRITE_OR_ACTION","Controller/filter enforced; inspect mapped action"
"/api/v1/dean/annual-reviews","GET","Api\DeanAnnualReviewController::index","backend/app/Controllers/Api/DeanAnnualReviewController.php","AuthorizationService;DeanAnnualReviewService","account_lifecycle_events;personnel_annual_reviews","READ","Controller/filter enforced; inspect mapped action"
"/api/v1/dean/annual-reviews","POST","Api\DeanAnnualReviewController::create","backend/app/Controllers/Api/DeanAnnualReviewController.php","AuthorizationService;DeanAnnualReviewService","account_lifecycle_events;personnel_annual_reviews","WRITE_OR_ACTION","Controller/filter enforced; inspect mapped action"
"/api/v1/dean/annual-reviews/(:segment)","GET","Api\DeanAnnualReviewController::show/$1","backend/app/Controllers/Api/DeanAnnualReviewController.php","AuthorizationService;DeanAnnualReviewService","account_lifecycle_events;personnel_annual_reviews","READ","Controller/filter enforced; inspect mapped action"
"/api/v1/dean/annual-reviews/(:segment)/supersede","POST","Api\DeanAnnualReviewController::supersede/$1","backend/app/Controllers/Api/DeanAnnualReviewController.php","AuthorizationService;DeanAnnualReviewService","account_lifecycle_events;personnel_annual_reviews","WRITE_OR_ACTION","Controller/filter enforced; inspect mapped action"
"/api/v1/personnel/eligibility/current","GET","Api\PersonnelEligibilityController::current","backend/app/Controllers/Api/PersonnelEligibilityController.php","AuthorizationService;PersonnelEligibilityService","","READ","Controller/filter enforced; inspect mapped action"
"/api/v1/hr/personnel/(:segment)/eligibility","GET","Api\PersonnelEligibilityController::show/$1","backend/app/Controllers/Api/PersonnelEligibilityController.php","AuthorizationService;PersonnelEligibilityService","","READ","Controller/filter enforced; inspect mapped action"
"/api/v1/personnel/evaluation-scale","GET","Api\EvaluationScaleController::getAssignedScale","backend/app/Controllers/Api/EvaluationScaleController.php","AuthenticatedActorService;EvaluationScaleAssignmentService;PortfolioConfigurationService;PortfolioCriterionValidationService;RubricAdministrationService","evaluation_scale_areas;evaluation_scale_categories;evaluation_scale_change_events;evaluation_scale_subcategories;evaluation_scale_versions;evaluation_scales;personnel_profiles;profiles","READ","Controller/filter enforced; inspect mapped action"
"/api/v1/personnel/(:segment)/evaluation-scale","GET","Api\EvaluationScaleController::getPersonnelAssignedScale/$1","backend/app/Controllers/Api/EvaluationScaleController.php","AuthenticatedActorService;EvaluationScaleAssignmentService;PortfolioConfigurationService;PortfolioCriterionValidationService;RubricAdministrationService","evaluation_scale_areas;evaluation_scale_categories;evaluation_scale_change_events;evaluation_scale_subcategories;evaluation_scale_versions;evaluation_scales;personnel_profiles;profiles","READ","Controller/filter enforced; inspect mapped action"
"/api/v1/evaluation-instruments/assigned","GET","Api\EvaluationScaleController::getAssignedScale","backend/app/Controllers/Api/EvaluationScaleController.php","AuthenticatedActorService;EvaluationScaleAssignmentService;PortfolioConfigurationService;PortfolioCriterionValidationService;RubricAdministrationService","evaluation_scale_areas;evaluation_scale_categories;evaluation_scale_change_events;evaluation_scale_subcategories;evaluation_scale_versions;evaluation_scales;personnel_profiles;profiles","READ","Controller/filter enforced; inspect mapped action"
"/api/v1/personnel/portfolio/configuration","GET","Api\EvaluationScaleController::getPersonnelConfiguration","backend/app/Controllers/Api/EvaluationScaleController.php","AuthenticatedActorService;EvaluationScaleAssignmentService;PortfolioConfigurationService;PortfolioCriterionValidationService;RubricAdministrationService","evaluation_scale_areas;evaluation_scale_categories;evaluation_scale_change_events;evaluation_scale_subcategories;evaluation_scale_versions;evaluation_scales;personnel_profiles;profiles","READ","Controller/filter enforced; inspect mapped action"
"/api/v1/personnel/portfolio/configuration/areas/(:segment)","GET","Api\EvaluationScaleController::getAreaConfiguration/$1","backend/app/Controllers/Api/EvaluationScaleController.php","AuthenticatedActorService;EvaluationScaleAssignmentService;PortfolioConfigurationService;PortfolioCriterionValidationService;RubricAdministrationService","evaluation_scale_areas;evaluation_scale_categories;evaluation_scale_change_events;evaluation_scale_subcategories;evaluation_scale_versions;evaluation_scales;personnel_profiles;profiles","READ","Controller/filter enforced; inspect mapped action"
"/api/v1/personnel/portfolio/validate-entry","POST","Api\EvaluationScaleController::validateEntry","backend/app/Controllers/Api/EvaluationScaleController.php","AuthenticatedActorService;EvaluationScaleAssignmentService;PortfolioConfigurationService;PortfolioCriterionValidationService;RubricAdministrationService","evaluation_scale_areas;evaluation_scale_categories;evaluation_scale_change_events;evaluation_scale_subcategories;evaluation_scale_versions;evaluation_scales;personnel_profiles;profiles","WRITE_OR_ACTION","Controller/filter enforced; inspect mapped action"
"/api/v1/admin/evaluation-scales","GET","Api\EvaluationScaleController::listScales","backend/app/Controllers/Api/EvaluationScaleController.php","AuthenticatedActorService;EvaluationScaleAssignmentService;PortfolioConfigurationService;PortfolioCriterionValidationService;RubricAdministrationService","evaluation_scale_areas;evaluation_scale_categories;evaluation_scale_change_events;evaluation_scale_subcategories;evaluation_scale_versions;evaluation_scales;personnel_profiles;profiles","READ","Controller/filter enforced; inspect mapped action"
"/api/v1/admin/evaluation-scales/(:segment)/approve","POST","Api\EvaluationScaleController::approveVersion/$1","backend/app/Controllers/Api/EvaluationScaleController.php","AuthenticatedActorService;EvaluationScaleAssignmentService;PortfolioConfigurationService;PortfolioCriterionValidationService;RubricAdministrationService","evaluation_scale_areas;evaluation_scale_categories;evaluation_scale_change_events;evaluation_scale_subcategories;evaluation_scale_versions;evaluation_scales;personnel_profiles;profiles","WRITE_OR_ACTION","Controller/filter enforced; inspect mapped action"
"/api/v1/admin/evaluation-scales/(:segment)/retire","POST","Api\EvaluationScaleController::retireVersion/$1","backend/app/Controllers/Api/EvaluationScaleController.php","AuthenticatedActorService;EvaluationScaleAssignmentService;PortfolioConfigurationService;PortfolioCriterionValidationService;RubricAdministrationService","evaluation_scale_areas;evaluation_scale_categories;evaluation_scale_change_events;evaluation_scale_subcategories;evaluation_scale_versions;evaluation_scales;personnel_profiles;profiles","WRITE_OR_ACTION","Controller/filter enforced; inspect mapped action"
